id	MapId	Logic	Values	Score	Reward
int	int	int	mut,int#int,2	int	mut,int#int,1
1	100	1	100059#100061#100062#100063|1	100	null
2	101	2	10101|1	10	null
3	101	1	101030#101032#101033#101034|1	10	null
4	101	1	101094#101095#101096|1	10	null
5	101	1	101078#101080#101082#101084#101086#101088#101090#101091#101092#101103|1	10	null
6	101	7	0|1	5	null
7	101	7	0|3	10	null
8	101	7	0|5	15	null
9	101	7	0|7	20	null
10	101	3	0|10	10	null
11	102	2	10204#10205#10207|1	20	null
12	102	1	102024#102026#102028#102029#102030#102160#102162|1	10	null
13	102	1	102090#102092#102094#102096#102098#102100#102102#102104#102105#102106#102142#102144#102146#102148#102150#102151#102152#102185#102187#102189#102191#102193#102195#102197#102199#102201#102202#102203|1	15	null
14	102	1	102108#102110#102112#102114#102116#102118#102119#102120#102168#102205#102207#102209#102211#102213#102215#102217#102219#102221#102223#102224#102225|1	10	null
15	102	2	10206|5	15	null
16	102	7	0|2	5	null
17	102	7	0|4	10	null
18	102	7	0|6	15	null
19	103	2	10304|1	20	null
20	103	1	103014#103016#103018#103020#103022#103024#103026#103028#103029#103030|1	15	null
21	103	1	103042#103044#103045#103046|1	10	null
22	103	1	103178#103180#103181#103182|1	20	null
23	103	1	103102#103104#103106#103108#103110#103112#103114#103116#103118#103120#103121#103122#103124#103126#103128#103129#103130|1	10	null
24	103	7	0|1	10	null
25	103	7	0|3	15	null
26	104	2	10401|1	15	null
27	104	1	104010#104012#104014#104015#104016|1	10	null
28	104	1	104036#104037#104042#104043|1	10	null
29	104	1	104070#104071#104072#104073#104074#104075|1	10	null
30	104	1	104101#104102|1	15	null
31	104	1	104103|1	15	null
32	104	7	0|1	10	null
33	104	7	0|3	15	null
34	105	1	105002#105004#105006#105007#105008#105267|1	10	null
35	105	1	105123#105124|1	10	null
36	105	1	105141|1	10	null
37	105	1	105189#105190|1	15	null
38	105	1	105194#105196#105198#105199#105200|1	15	null
39	105	2	10502|3	5	null
40	105	7	0|1	10	null
41	105	7	0|3	25	null
42	106	1	106002#106004#106006#106007#106008|1	10	null
43	106	2	10601|1	20	null
44	106	2	10602|1	20	null
45	106	1	106066#106068#106070#106072#106074#106076#106119#106121#106122#106123#106098#106100#106102#106139#106140#106141|1	10	null
46	106	1	106133#106135#106136#106137|1	10	null
47	106	7	0|1	5	null
48	106	7	0|3	10	null
49	106	7	0|5	15	null
50	107	2	10701|1	10	null
51	107	2	10702|1	10	null
52	107	2	10703#10708|1	15	null
53	107	1	107157|1	10	null
54	107	2	10711|1	15	null
55	107	1	107263#107264#107265|1	10	null
56	107	3	0|10	10	null
57	107	7	0|1	10	null
58	107	7	0|3	10	null
59	108	1	108018#108020#108022#108024#108026#108028#108030#108032#108033#108034|1	10	null
60	108	2	10801|1	10	null
61	108	1	108083#108084#108095#108096|3	15	null
62	108	2	10802|1	10	null
63	108	1	108146#108147#108155#108156#108164#108165#108167#108169#108171#108173#108175#108177#108179#108181#108182#108183#108197#108189#108191|3	15	null
64	108	3	0|15	15	null
65	108	7	0|1	10	null
66	108	7	0|3	15	null
67	109	2	10901|1	10	null
68	109	2	10902|1	15	null
69	109	2	10903|3	15	null
70	109	1	109042#109044#109046#109048#109050#109051#109052|1	15	null
71	109	1	109090#109092#109094#109096#109097#109098|1	10	null
72	109	3	0|10	10	null
73	109	7	0|1	10	null
74	109	7	0|3	15	null
75	110	1	110002#110004#110006#110008#110010#110012#110014#110016#110018#110020#110022#110024#110025#110026|1	10	null
76	110	1	110036#110038#110040#110042#110044#110046#110048#110050#110051#110052|1	10	null
77	110	1	110063#110064|1	10	null
78	110	1	110072#110074#110076#110078#110080#110082#110084#110086#110087#110088|1	10	null
79	110	1	110102#110104#110106#110108#110110#110112#110114#110116#110118#110120#110122#110124#110126#110128#110130#110132#110134#110135#110136|1	10	null
80	110	1	110148#110150#110152#110153#110154|1	10	null
81	110	1	110093#110171#110172#110185#110189#110195#110199#110204|3	10	null
82	110	3	0|15	10	null
83	110	7	0|1	10	null
84	110	7	0|3	10	null
85	111	1	111008#111010#111012#111014#111016#111017#111018|1	5	null
86	111	1	111044#111045#111046|1	5	null
87	111	2	11102|1	10	null
88	111	1	111116#111118#111120#111122#111124#111126#111128#111129#111130|1	10	null
89	111	1	111153#111154|1	15	null
90	111	1	111177#111178|1	15	null
91	111	3	0|15	15	null
92	111	7	0|1	10	null
93	111	7	0|3	15	null
