Id	ActivityReward	RewardGroup	ActivityId
int	mut,int#int,1	mut,int#int,1	int
1	30000	1	1500
3	30000	1	22004
4	30000	1	33004
5	30010	1	21004
6	30010	1	32004
7	30010	1	36004
8	30000	1	37004
9	30020	1	9001
10	30030	2	9001
11	30000	1	1501
12	30040	1	9002
13	30050	2	9002
14	30060	3	9002
1502	30000	1	1502
1503	30000	1	1503
1504	30000	1	1504
1505	30000	1	1505
1506	30000	1	1506
1507	30000	1	1507
1508	30000	1	1508
1509	30000	1	1509
1510	30000	1	1510
1511	30000	1	1511
1512	30000	1	1512
1513	30000	1	1513
1514	30000	1	1514
1515	30000	1	1515
1516	30000	1	1516
1517	30000	1	1517
1518	30000	1	1518
1519	30000	1	1519
1520	30000	1	1520
1521	30000	1	1521
1522	30000	1	1522
1523	30000	1	1523
1524	30000	1	1524
1525	30000	1	1525
1526	30000	1	1526
1527	30000	1	1527
1528	30000	1	1528
610	30010	1	610
611	30010	1	611
612	30010	1	612
613	30010	1	613
614	30010	1	614
615	30010	1	615
616	30010	1	616
617	30010	1	617
618	30010	1	618
619	30010	1	619
620	30010	1	620
621	30010	1	621
622	30010	1	622
623	30010	1	623
