Id	ActivityId	MinRank	MaxRank	RankingReward
int	int	int	int	mut,int#int,2
1	10100	1	1	61#10|16#1000|6000088#2
2	10100	2	2	61#8|16#800|6000088#1
3	10100	3	3	61#7|16#500|6000088#1
4	10100	4	10	61#6|16#300
5	10100	11	20	61#5|16#150
6	10100	21	50	61#4|16#100
7	10100	51	100	61#3|16#100
8	10100	101	200	61#2|16#100
9	10100	201	-1	61#1|16#50
116	10600	1	1	61#10|16#1000|6000076#50
117	10600	2	2	61#8|16#800|6000076#50
118	10600	3	3	61#7|16#500|6000076#50
119	10600	4	10	61#6|16#300|81148#50
120	10600	11	20	61#5|16#150
121	10600	21	50	61#4|16#100
122	10600	51	100	61#3|16#100
123	10600	101	200	61#2|16#100
124	10600	201	-1	61#1|16#50
19	10200	1	1	61#10|16#1000|81004#2
20	10200	2	2	61#8|16#800|81004#1
21	10200	3	3	61#7|16#500|81004#1
22	10200	4	10	61#6|16#300
23	10200	11	20	61#5|16#150
24	10200	21	50	61#4|16#100
25	10200	51	100	61#3|16#100
26	10200	101	200	61#2|16#100
27	10200	201	-1	61#1|16#50
37	10300	1	1	61#10|16#1000|6000088#2
38	10300	2	2	61#8|16#800|6000088#1
39	10300	3	3	61#7|16#500|6000088#1
40	10300	4	10	61#6|16#300
41	10300	11	20	61#5|16#150
42	10300	21	50	61#4|16#100
43	10300	51	100	61#3|16#100
44	10300	101	200	61#2|16#100
45	10300	201	-1	61#1|16#50
55	10400	1	1	61#10|16#1000|6000088#2
56	10400	2	2	61#8|16#800|6000088#1
57	10400	3	3	61#7|16#500|6000088#1
58	10400	4	10	61#6|16#300
59	10400	11	20	61#5|16#150
60	10400	21	50	61#4|16#100
61	10400	51	100	61#3|16#100
62	10400	101	200	61#2|16#100
63	10400	201	-1	61#1|16#50
73	10500	1	1	61#10|16#1000|81004#2
74	10500	2	2	61#8|16#800|81004#1
75	10500	3	3	61#7|16#500|81004#1
76	10500	4	10	61#6|16#300
77	10500	11	20	61#5|16#150
78	10500	21	50	61#4|16#100
