Id	ActivityId	Values	Reward
int	int	mut,int#int,2	mut,int#int,2
1	56	1	16#200
2	56	2	10009#1
3	56	3	19#10
4	56	4	70034#1
5	56	5	72003#1
6	56	6	6000088#1
7	56	7	20#1
8	56	8	60419#1
11	1	2	16#50
12	1	10	14#50000
13	1	15	3#50000
14	1	20	10014#1
15	1	25	16#100
16	1	30	14#150000
17	1	40	3#150000
18	1	60	10031#1
19	1	90	16#200
20	1	120	14#300000
21	1	150	3#300000
22	1	180	19#5
5001	3	1011	60034#1|60049#1
5002	3	1051	19#1
5003	3	1101	60058#1|60055#1
5004	3	1151	6000014#30
5005	3	1201	60035#1|60056#1
5006	3	2051	6000050#30
5007	3	2101	60059#1|60050#1
5008	3	2201	6000032#30
5009	3	3101	19#5
5010	3	3201	60067#1|60082#1
5011	3	4101	60088#1|60091#1
5012	3	4151	6001020#50
5013	3	4201	60067#1|60082#1
5014	3	5101	60088#1|60091#1
5015	3	5201	6001020#50
5016	3	6101	60067#1|60082#1
5017	3	6201	60088#1|60091#1
5018	3	7101	19#5
5019	3	7201	60067#1|60082#1
5020	3	8101	60088#1|60091#1
5021	3	8201	6001020#50
5022	3	9101	60067#1|60082#1
5023	3	9201	60088#1|60091#1
5024	3	10101	60068#1|60083#1
5025	3	10201	6001020#50
5026	3	11101	60089#1|60092#1
5027	3	11201	60068#1|60083#1
5028	3	12101	60089#1|60092#1
5029	3	12201	6001020#50
5030	3	13101	60069#1|60090#1
5031	3	13201	60093#1|60084#1
5032	3	14101	60069#1|60090#1
5033	3	14201	6001020#50
5034	3	15101	60093#1|60084#1
5035	3	15201	60069#1|60090#1
5036	3	1102	60093#1|60084#1
5037	3	1202	6001020#50
5038	3	1302	60100#1|60135#1
5039	3	2102	60140#1|60125#1
5040	3	2202	60100#1|60135#1
5041	3	2302	60140#1|60125#1
5042	3	3102	6001020#50
5043	3	3202	60100#1|60135#1
5044	3	3302	60140#1|60125#1
5045	3	4102	60101#1|60136#1
5046	3	4202	6001020#50
5047	3	4302	60141#1|60126#1
5048	3	5102	60101#1|60136#1
5049	3	5202	60141#1|60126#1
5050	3	5302	6001020#50
5051	3	6102	60101#1|60136#1
5052	3	6202	60141#1|60126#1
5053	3	6302	60102#1|60137#1
5054	3	7102	6001020#50
5055	3	7202	60142#1|60127#1
5056	3	7302	60102#1|60137#1
5057	3	8102	60142#1|60127#1
5058	3	8202	6001020#50
5059	3	8302	60102#1|60137#1
5060	3	9102	60142#1|60127#1
5061	3	9202	60103#1|60138#1
5062	3	9302	6001020#50
5063	3	10102	60144#1|60128#1
5064	3	10202	60103#1|60138#1
5065	3	10302	60144#1|60128#1
5066	3	11102	60103#1|60138#1
5067	3	11202	6001020#50
5068	3	11302	60144#1|60128#1
5069	3	12102	60103#1|60138#1
5070	3	12202	60144#1|60128#1
5071	3	12302	6001020#50
5072	3	13102	60103#1|60138#1
5073	3	13202	60144#1|60128#1
5074	3	13302	60103#1|60138#1
5075	3	14102	6001020#50
5076	3	14202	60144#1|60128#1
5077	3	14302	60155#1|60190#1
5078	3	15102	60195#1|60180#1
5079	3	15202	6001020#50
5080	3	15302	60155#1|60190#1
5081	3	1103	60195#1|60180#1
5082	3	1203	60155#1|60190#1
5083	3	1303	6001020#50
5084	3	1403	60195#1|60180#1
5085	3	2103	60155#1|60190#1
5086	3	2203	60195#1|60180#1
5087	3	2303	6001020#50
5088	3	2403	60155#1|60190#1
5089	3	3103	60195#1|60180#1
5090	3	3203	60155#1|60190#1
5091	3	3303	60195#1|60180#1
5092	3	3403	6001020#50
5093	3	4103	60155#1|60190#1
5094	3	4203	60195#1|60180#1
5095	3	4303	60155#1|60190#1
5096	3	4403	6001020#50
5097	3	5103	60195#1|60180#1
5098	3	5203	60155#1|60190#1
5099	3	5303	60195#1|60180#1
5100	3	5403	6001020#50
5101	3	6103	60156#1|60191#1
5102	3	6203	60196#1|60181#1
5103	3	6303	60156#1|60191#1
5104	3	6403	6001020#50
5105	3	7103	60196#1|60181#1
10000	44	1101	19#3
10001	44	1151	4#500
10002	44	1201	19#10
10003	44	3051	60155#1
10004	44	4101	10041#1
10005	44	5101	4#1000
10006	44	6201	72001#200
10007	44	8101	38043#10
10008	44	9201	10065#1
10009	44	10201	1006905#1
10010	44	11201	10065#1
47	5	6#1	60448#1|19#5
48	5	6#2	60100#1|60140#1
49	5	6#3	60125#1|60135#1
50	5	100#1	60155#1|19#5
51	5	100#2	60180#1|20#1
52	5	100#3	60190#1|60195#1
98	13	12	16#120|19#1|72003#1|4#160
99	1301	12	16#120|19#1|72003#1|6000110#160
100	1302	12	16#120|19#1|60404#1|6000110#160
9800	13000	60	16#600|19#6|72003#3|4#800
9801	13001	60	16#600|19#6|72003#3|6000110#800
9802	13002	60	16#600|19#6|60404#3|6000110#800
101	14	6#1	4#250|3#100000|14#200000
102	14	6#2	19#2|3#200000|14#400000
103	14	6#3	60424#1|3#300000|14#600000
104	14	6#4	60#8|3#400000|14#800000
105	14	6#5	20#1|3#500000|14#1000000
106	14	6#6	81002#1|3#600000|14#1200000
107	14	6#7	6001020#50|3#700000|14#1400000
108	14	6#8	4#500|3#800000|14#1600000
109	14	6#9	6000110#500|3#900000|14#1800000
110	14	6#10	20#1|3#1000000|14#2000000
111	14	6#11	60#16|3#1100000|14#2200000
112	14	6#12	61#1|3#1200000|14#2400000
113	14	6#13	6001020#50|3#1300000|14#2600000
114	14	6#14	72001#100|3#1400000|14#2800000
115	14	6#15	60425#1|3#1500000|14#3000000
3000	6	15#1101	16#2176
3001	6	15#3101	16#2176
3002	6	15#5201	16#2176
3003	6	15#8101	16#2576
3004	6	15#10201	16#2576
3005	6	15#13101	16#2576
3006	6	15#15201	16#3976
3007	6	15#2202	16#3976
3008	6	15#4102	16#3976
3009	6	15#5302	16#3976
3100	601	15#5302	16#2176
3101	601	15#6302	16#2976
