Id	AdjutantId	Lvl	UpgradeLimit	ExpUpgrade	ShowExp	Cost	TotalAttr	AddExpAttr
int	int	int	int	int	int	mut,int#int,2	mut,int#int,2	mut,int#int,3
1	1	1	0	49	80	6000092#50|14#4900	1#200|2#40	12|1#56|2#10|10000
2	1	2	0	98	128	6000092#50|14#9800	1#580|2#163	8|1#40|2#7|3000,10|1#50|2#9|3500,12|1#58|2#10|3500
3	1	3	5	125	159	6000092#50|14#17640	1#1152|2#296	8|1#42|2#7|3000,10|1#52|2#9|3500,12|1#60|2#10|3500
4	1	4	8	152	190	6000092#51|14#27440	1#1912|2#441	8|1#44|2#7|3000,10|1#54|2#9|3500,12|1#62|2#10|3500
5	1	5	17	161	221	6000092#52|14#39200	1#2864|2#616	8|1#46|2#7|3000,10|1#56|2#9|3500,12|1#64|2#10|3500
6	1	6	25	151	252	6000092#53|14#52920	1#4006|2#811	8|1#48|2#8|3000,10|1#58|2#10|3500,12|1#66|2#11|3500
7	1	7	33	169	282	6000092#54|14#68600	1#5338|2#1018	8|1#50|2#8|3000,10|1#60|2#10|3500,12|1#68|2#11|3500
8	1	8	42	268	312	6000092#55|14#86240	1#6860|2#1235	8|1#52|2#8|3000,10|1#62|2#10|3500,12|1#70|2#11|3500
9	1	9	50	290	342	6000092#56|14#105840	1#8574|2#1464	9|1#54|2#8|3000,11|1#64|2#10|3500,13|1#72|2#11|3500
10	1	10	58	230	372	6000092#57|14#127400	1#10476|2#1704	10|1#56|2#8|3000,12|1#66|2#10|3500,14|1#74|2#11|3500
11	1	11	67	289	402	6000092#58|14#150920	1#12570|2#1956	11|1#58|2#9|3000,13|1#68|2#11|3500,15|1#76|2#12|3500
12	1	12	75	280	431	6000092#59|14#176400	1#14854|2#2218	12|1#60|2#9|3000,14|1#70|2#11|3500,16|1#78|2#12|3500
13	1	13	83	335	460	6000092#60|14#203840	1#17328|2#2492	13|1#62|2#9|3000,15|1#72|2#11|3500,17|1#80|2#12|3500
14	1	14	92	430	489	6000092#61|14#233240	1#19992|2#2777	14|1#64|2#9|3000,16|1#74|2#11|3500,18|1#82|2#12|3500
15	1	15	100	440	518	6000092#62|14#264600	1#22846|2#3064	15|1#66|2#9|3000,17|1#76|2#11|3500,19|1#84|2#12|3500
16	1	16	108	339	547	6000092#63|14#297920	1#25892|2#3363	16|1#68|2#10|3000,18|1#78|2#12|3500,20|1#86|2#13|3500
17	1	17	117	431	575	6000092#64|14#333200	1#29126|2#3674	17|1#70|2#10|3000,19|1#80|2#12|3500,21|1#88|2#13|3500
18	1	18	125	440	603	6000092#65|14#370440	1#32552|2#3995	18|1#72|2#10|3000,20|1#82|2#12|3500,22|1#90|2#13|3500
19	1	19	133	422	631	6000092#66|14#409640	1#36168|2#4328	19|1#74|2#10|3000,21|1#84|2#12|3500,23|1#92|2#13|3500
20	1	20	142	514	659	6000092#67|14#450800	1#39974|2#4672	20|1#76|2#10|3000,22|1#86|2#12|3500,24|1#94|2#13|3500
21	1	21	150	487	687	6000092#68|14#493920	1#43970|2#5027	21|1#78|2#11|3000,23|1#88|2#13|3500,25|1#96|2#14|3500
22	1	22	158	464	714	6000092#69|14#539000	1#48158|2#5394	22|1#80|2#11|3000,24|1#90|2#13|3500,26|1#98|2#14|3500
23	1	23	167	511	741	6000092#70|14#586040	1#52534|2#5771	23|1#82|2#11|3000,25|1#92|2#13|3500,27|1#100|2#14|3500
24	1	24	175	522	768	6000092#71|14#635040	1#57292|2#6160	24|1#84|2#11|3000,26|1#94|2#13|3500,28|1#102|2#14|3500
25	1	25	183	699	795	6000092#72|14#686000	1#62096|2#6572	25|1#86|2#11|3000,27|1#96|2#13|3500,29|1#104|2#14|3500
26	1	26	192	616	822	6000092#73|14#738920	1#66946|2#6995	26|1#88|2#12|3000,28|1#98|2#14|3500,30|1#106|2#15|3500
27	1	27	200	703	848	6000092#74|14#793800	1#71842|2#7430	27|1#90|2#12|3000,29|1#100|2#14|3500,31|1#108|2#15|3500
28	1	28	208	603	874	6000092#75|14#850640	1#76784|2#7876	28|1#92|2#12|3000,30|1#102|2#14|3500,32|1#110|2#15|3500
29	1	29	217	684	900	6000092#76|14#909440	1#81772|2#8333	29|1#94|2#12|3000,31|1#104|2#14|3500,33|1#112|2#15|3500
30	1	30	225	713	926	6000092#77|14#970200	1#86806|2#8802	30|1#96|2#12|3000,32|1#106|2#14|3500,34|1#114|2#15|3500
31	1	31	233	799	952	6000092#78|14#1032920	1#91886|2#9282	31|1#98|2#13|3000,33|1#108|2#15|3500,35|1#116|2#16|3500
32	1	32	242	684	978	6000092#79|14#1097600	1#97012|2#9774	32|1#100|2#13|3000,34|1#110|2#15|3500,36|1#118|2#16|3500
