Id	TeachLvl	NeedLvl	AdjutantId	Cost	AddType	AddValue
int	int	int	int	mut,int#int,2	int	int
1	0	4	1	6000097#1|6000098#4	0	0
2	1	4	1	6000097#1|6000098#4	62	50
3	2	4	1	6000097#1|6000098#4	61	50
4	3	4	1	6000097#1|6000098#4	53	50
5	4	4	1	6000097#1|6000098#4	60	50
6	5	4	1	6000097#1|6000098#4	56	50
7	6	10	1	6000097#2|6000098#8	5	5
8	7	10	1	6000097#2|6000098#8	62	50
9	8	10	1	6000097#2|6000098#8	61	50
10	9	10	1	6000097#2|6000098#8	53	50
11	10	10	1	6000097#2|6000098#8	60	50
12	11	10	1	6000097#2|6000098#8	56	50
13	12	16	1	6000097#3|6000098#12	5	5
14	13	16	1	6000097#3|6000098#12	62	50
15	14	16	1	6000097#3|6000098#12	61	50
16	15	16	1	6000097#3|6000098#12	53	50
17	16	16	1	6000097#3|6000098#12	60	50
18	17	16	1	6000097#3|6000098#12	56	50
19	18	22	1	6000097#4|6000098#16	5	5
20	19	22	1	6000097#4|6000098#16	62	50
21	20	22	1	6000097#4|6000098#16	61	50
22	21	22	1	6000097#4|6000098#16	53	50
23	22	22	1	6000097#4|6000098#16	60	50
24	23	22	1	6000097#4|6000098#16	56	50
25	24	28	1	6000097#5|6000098#20	5	5
26	25	28	1	6000097#5|6000098#20	62	50
27	26	28	1	6000097#5|6000098#20	61	50
28	27	28	1	6000097#5|6000098#20	53	50
29	28	28	1	6000097#5|6000098#20	60	50
30	29	28	1	6000097#5|6000098#20	56	50
31	30	34	1	6000097#6|6000098#24	5	5
32	31	34	1	6000097#6|6000098#24	62	50
33	32	34	1	6000097#6|6000098#24	61	50
34	33	34	1	6000097#6|6000098#24	53	50
35	34	34	1	6000097#6|6000098#24	60	50
36	35	34	1	6000097#6|6000098#24	56	50
37	36	40	1	6000097#7|6000098#28	5	5
38	37	40	1	6000097#7|6000098#28	62	50
39	38	40	1	6000097#7|6000098#28	61	50
40	39	40	1	6000097#7|6000098#28	53	50
41	40	40	1	6000097#7|6000098#28	60	50
42	41	40	1	6000097#7|6000098#28	56	50
43	42	46	1	6000097#8|6000098#32	5	5
44	43	46	1	6000097#8|6000098#32	62	50
45	44	46	1	6000097#8|6000098#32	61	50
46	45	46	1	6000097#8|6000098#32	53	50
47	46	46	1	6000097#8|6000098#32	60	50
48	47	46	1	6000097#8|6000098#32	56	50
49	48	52	1	6000097#9|6000098#36	5	5
50	49	52	1	6000097#9|6000098#36	62	50
51	50	52	1	6000097#9|6000098#36	61	50
52	51	52	1	6000097#9|6000098#36	53	50
53	52	52	1	6000097#9|6000098#36	60	50
54	53	52	1	6000097#9|6000098#36	56	50
55	54	58	1	6000097#10|6000098#40	5	5
56	55	58	1	6000097#10|6000098#40	62	50
57	56	58	1	6000097#10|6000098#40	61	50
58	57	58	1	6000097#10|6000098#40	53	50
59	58	58	1	6000097#10|6000098#40	60	50
60	59	58	1	6000097#10|6000098#40	56	50
61	60	64	1	6000097#11|6000098#44	5	5
62	61	64	1	6000097#11|6000098#44	62	50
63	62	64	1	6000097#11|6000098#44	61	50
64	63	64	1	6000097#11|6000098#44	53	50
65	64	64	1	6000097#11|6000098#44	60	50
66	65	64	1	6000097#11|6000098#44	56	50
67	66	70	1	6000097#12|6000098#48	5	5
68	67	70	1	6000097#12|6000098#48	62	50
69	68	70	1	6000097#12|6000098#48	61	50
70	69	70	1	6000097#12|6000098#48	53	50
71	70	70	1	6000097#12|6000098#48	60	50
72	71	70	1	6000097#12|6000098#48	56	50
73	72	0	1	null	5	5
74	0	4	2	6000097#1|6000098#4	0	0
75	1	4	2	6000097#1|6000098#4	62	50
76	2	4	2	6000097#1|6000098#4	61	50
77	3	4	2	6000097#1|6000098#4	156	50
78	4	4	2	6000097#1|6000098#4	60	50
79	5	4	2	6000097#1|6000098#4	171	100
80	6	10	2	6000097#2|6000098#8	5	5
81	7	10	2	6000097#2|6000098#8	62	50
82	8	10	2	6000097#2|6000098#8	61	50
83	9	10	2	6000097#2|6000098#8	156	50
84	10	10	2	6000097#2|6000098#8	60	50
85	11	10	2	6000097#2|6000098#8	171	100
86	12	16	2	6000097#3|6000098#12	5	5
87	13	16	2	6000097#3|6000098#12	62	50
88	14	16	2	6000097#3|6000098#12	61	50
89	15	16	2	6000097#3|6000098#12	156	50
90	16	16	2	6000097#3|6000098#12	60	50
91	17	16	2	6000097#3|6000098#12	171	100
92	18	22	2	6000097#4|6000098#16	5	5
93	19	22	2	6000097#4|6000098#16	62	50
94	20	22	2	6000097#4|6000098#16	61	50
95	21	22	2	6000097#4|6000098#16	156	50
96	22	22	2	6000097#4|6000098#16	60	50
97	23	22	2	6000097#4|6000098#16	171	100
98	24	28	2	6000097#5|6000098#20	5	5
99	25	28	2	6000097#5|6000098#20	62	50
100	26	28	2	6000097#5|6000098#20	61	50
101	27	28	2	6000097#5|6000098#20	156	50
102	28	28	2	6000097#5|6000098#20	60	50
103	29	28	2	6000097#5|6000098#20	171	100
104	30	34	2	6000097#6|6000098#24	5	5
105	31	34	2	6000097#6|6000098#24	62	50
