Id	AreaName	OpenLevel	SystemBoss	SystemBossTime	BaseRewardGroup	RandomRewardGroup	UpgradeConsume	InvasionBoss	InvasionBossReward	InvasionBossTime	InvasionBossRefresh	InvasionBossHolding
int	string	mut,int#int,1	int	int	mut,int#int,1	mut,int#int,2	mut,int#int,2	mut,int#int,3	mut,int#int,3	int	int	int
1	起源之地	17#59#73	25001	300	101#151#191	91|81|71	14#1000000|14#5000000	601011#400|601012#600,601021#400|601022#600,601031#400|601032#600	601011#210101|601012#210101|602011#210201|602012#210201|603011#210301|603012#210301|604011#210401|604012#210401|605011#210501|605012#210501|606011#210601|606012#210601|607011#210701|607012#210701|608011#210801|608012#210801,601021#210102|601022#210102|602021#210202|602022#210202|603021#210302|603022#210302|604021#210402|604022#210402|605021#210502|605022#210502|606021#210602|606022#210602|607021#210702|607022#210702|608021#210802|608022#210802,601031#210103|601032#210103|602031#210203|602032#210203|603031#210303|603032#210303|604031#210403|604032#210403|605031#210503|605032#210503|606031#210603|606032#210603|607031#210703|607032#210703|608031#210803|608032#210803	180	3600	10800
2	遗忘之路	25#61#75	25002	300	102#152#192	92|82|72	14#1500000|14#6000000	602011#400|602012#600,602021#400|602022#600,602031#400|602032#600	601011#210101|601012#210101|602011#210201|602012#210201|603011#210301|603012#210301|604011#210401|604012#210401|605011#210501|605012#210501|606011#210601|606012#210601|607011#210701|607012#210701|608011#210801|608012#210801,601021#210102|601022#210102|602021#210202|602022#210202|603021#210302|603022#210302|604021#210402|604022#210402|605021#210502|605022#210502|606021#210602|606022#210602|607021#210702|607022#210702|608021#210802|608022#210802,601031#210103|601032#210103|602031#210203|602032#210203|603031#210303|603032#210303|604031#210403|604032#210403|605031#210503|605032#210503|606031#210603|606032#210603|607031#210703|607032#210703|608031#210803|608032#210803	180	3600	10800
3	后悔石室	32#63#77	25003	300	103#153#193	93|83|73	14#2000000|14#7000000	603011#400|603012#600,603021#400|603022#600,603031#400|603032#600	601011#210101|601012#210101|602011#210201|602012#210201|603011#210301|603012#210301|604011#210401|604012#210401|605011#210501|605012#210501|606011#210601|606012#210601|607011#210701|607012#210701|608011#210801|608012#210801,601021#210102|601022#210102|602021#210202|602022#210202|603021#210302|603022#210302|604021#210402|604022#210402|605021#210502|605022#210502|606021#210602|606022#210602|607021#210702|607022#210702|608021#210802|608022#210802,601031#210103|601032#210103|602031#210203|602032#210203|603031#210303|603032#210303|604031#210403|604032#210403|605031#210503|605032#210503|606031#210603|606032#210603|607031#210703|607032#210703|608031#210803|608032#210803	180	3600	10800
4	罪罚神殿	40#65#79	25004	300	104#154#194	94|84|74	14#2500000|14#8000000	604011#400|604012#600,604021#400|604022#600,604031#400|604032#600	601011#210101|601012#210101|602011#210201|602012#210201|603011#210301|603012#210301|604011#210401|604012#210401|605011#210501|605012#210501|606011#210601|606012#210601|607011#210701|607012#210701|608011#210801|608012#210801,601021#210102|601022#210102|602021#210202|602022#210202|603021#210302|603022#210302|604021#210402|604022#210402|605021#210502|605022#210502|606021#210602|606022#210602|607021#210702|607022#210702|608021#210802|608022#210802,601031#210103|601032#210103|602031#210203|602032#210203|603031#210303|603032#210303|604031#210403|604032#210403|605031#210503|605032#210503|606031#210603|606032#210603|607031#210703|607032#210703|608031#210803|608032#210803	180	3600	10800
5	祈祷圣所	46#67#81	25005	300	105#155#195	95|85|75	14#3000000|14#9000000	605011#400|605012#600,605021#400|605022#600,605031#400|605032#600	601011#210101|601012#210101|602011#210201|602012#210201|603011#210301|603012#210301|604011#210401|604012#210401|605011#210501|605012#210501|606011#210601|606012#210601|607011#210701|607012#210701|608011#210801|608012#210801,601021#210102|601022#210102|602021#210202|602022#210202|603021#210302|603022#210302|604021#210402|604022#210402|605021#210502|605022#210502|606021#210602|606022#210602|607021#210702|607022#210702|608021#210802|608022#210802,601031#210103|601032#210103|602031#210203|602032#210203|603031#210303|603032#210303|604031#210403|604032#210403|605031#210503|605032#210503|606031#210603|606032#210603|607031#210703|607032#210703|608031#210803|608032#210803	180	3600	10800
6	永劫业火	50#69#83	25006	300	106#156#196	96|86|76	14#3500000|14#10000000	606011#400|606012#600,606021#400|606022#600,606031#400|606032#600	601011#210101|601012#210101|602011#210201|602012#210201|603011#210301|603012#210301|604011#210401|604012#210401|605011#210501|605012#210501|606011#210601|606012#210601|607011#210701|607012#210701|608011#210801|608012#210801,601021#210102|601022#210102|602021#210202|602022#210202|603021#210302|603022#210302|604021#210402|604022#210402|605021#210502|605022#210502|606021#210602|606022#210602|607021#210702|607022#210702|608021#210802|608022#210802,601031#210103|601032#210103|602031#210203|602032#210203|603031#210303|603032#210303|604031#210403|604032#210403|605031#210503|605032#210503|606031#210603|606032#210603|607031#210703|607032#210703|608031#210803|608032#210803	180	3600	10800
7	无生密室	53#70#84	25007	300	107#157#197	97|87|77	14#4000000|14#11000000	607011#400|607012#600,607021#400|607022#600,607031#400|607032#600	601011#210101|601012#210101|602011#210201|602012#210201|603011#210301|603012#210301|604011#210401|604012#210401|605011#210501|605012#210501|606011#210601|606012#210601|607011#210701|607012#210701|608011#210801|608012#210801,601021#210102|601022#210102|602021#210202|602022#210202|603021#210302|603022#210302|604021#210402|604022#210402|605021#210502|605022#210502|606021#210602|606022#210602|607021#210702|607022#210702|608021#210802|608022#210802,601031#210103|601032#210103|602031#210203|602032#210203|603031#210303|603032#210303|604031#210403|604032#210403|605031#210503|605032#210503|606031#210603|606032#210603|607031#210703|607032#210703|608031#210803|608032#210803	180	3600	10800
8	万神黄昏	56#71#90	25008	300	108#158#198	98|88|78	14#4500000|14#12000000	608011#400|608012#600,608021#400|608022#600,608031#400|608032#600	601011#210101|601012#210101|602011#210201|602012#210201|603011#210301|603012#210301|604011#210401|604012#210401|605011#210501|605012#210501|606011#210601|606012#210601|607011#210701|607012#210701|608011#210801|608012#210801,601021#210102|601022#210102|602021#210202|602022#210202|603021#210302|603022#210302|604021#210402|604022#210402|605021#210502|605022#210502|606021#210602|606022#210602|607021#210702|607022#210702|608021#210802|608022#210802,601031#210103|601032#210103|602031#210203|602032#210203|603031#210303|603032#210303|604031#210403|604032#210403|605031#210503|605032#210503|606031#210603|606032#210603|607031#210703|607032#210703|608031#210803|608032#210803	180	3600	10800
0		0	0	0	null	null	null	null	null	0	0	0
