Id	MinRank	MaxRank	DailyReward
int	int	int	mut,int#int,2
1	1	1	21#30|1001#80000
2	2	2	21#28|1001#70000
3	3	3	21#26|1001#60000
4	4	4	21#24|1001#50000
5	5	5	21#22|1001#50000
6	6	6	21#20|1001#40000
7	7	7	21#18|1001#40000
8	8	8	21#16|1001#40000
9	9	9	21#14|1001#40000
10	10	10	21#12|1001#40000
11	11	20	21#10|1001#30000
12	21	40	21#8|1001#30000
13	41	50	21#6|1001#30000
14	51	80	21#4|1001#30000
15	81	100	21#4|1001#30000
16	101	300	21#4|1001#20000
17	301	500	21#4|1001#20000
18	501	999	21#4|1001#10000
19	1000	0	21#2|1001#5000
0	0	0	null
0	0	0	null
0	0	0	null
0	0	0	null
0	0	0	null
0	0	0	null
0	0	0	null
0	0	0	null
0	0	0	null
