Id	AlameinId	PreId	StarCondServer	FirstAward	AutoAward	MonsterGroup	IsBoss
int	int	int	mut,int#int,2	mut,int#int,2	mut,int#int,2	int	int
10101	1	10102	7#0|2#1#2#1|3#8	117191#1|16#50|10443#4	10444#5|10443#2	910001	0
10102	1	10103	7#0|2#2#2#1|3#8	117191#1|16#50|10443#4	10444#5|10443#2	910002	0
10103	1	10104	7#0|2#3#2#1|3#8	117191#1|16#50|10443#4	10444#5|10443#2	910003	0
10104	1	10105	7#0|6#1|3#8	117191#1|16#50|10443#4	10444#5|10443#2	910004	0
10105	1	10106	7#0|2#4#2#1|4#5000	117191#1|16#50|10443#4	10444#5|10443#2	910005	0
10106	1	10107	7#0|2#5#2#1|3#8	117191#1|16#50|10443#4	10444#5|10443#2	910006	0
10107	1	10108	7#0|1#3#2#1|3#8	117191#1|16#50|10443#4	10444#5|10443#2	910007	0
10108	1	10109	7#0|1#1#2#1|3#8	117191#1|16#50|10443#4	10444#5|10443#2	910008	0
10109	1	10110	7#0|1#2#2#1|3#8	117191#1|16#50|10443#4	10444#5|10443#2	910009	0
10110	1	10201	7#0|1#4#2#1|5#0	117191#1|16#50|10443#4	10444#5|10443#2	910010	1
10201	2	10202	7#0|2#1#1#3|3#8	117192#1|16#50|10443#4	10444#6|10443#2	910011	0
10202	2	10203	7#0|2#2#1#3|3#8	117192#1|16#50|10443#4	10444#6|10443#2	910012	0
10203	2	10204	7#0|2#3#1#3|3#8	117192#1|16#50|10443#4	10444#6|10443#2	910013	0
10204	2	10205	7#0|6#2|3#8	117192#1|16#50|10443#4	10444#6|10443#2	910014	0
10205	2	10206	7#0|2#4#1#3|4#5000	117192#1|16#50|10443#4	10444#6|10443#2	910015	0
10206	2	10207	7#0|2#5#1#3|3#8	117192#1|16#50|10443#4	10444#6|10443#2	910016	0
10207	2	10208	7#0|1#3#1#3|3#8	117192#1|16#50|10443#4	10444#6|10443#2	910017	0
10208	2	10209	7#0|1#1#1#3|3#8	117192#1|16#50|10443#4	10444#6|10443#2	910018	0
10209	2	10210	7#0|1#2#1#3|3#8	117192#1|16#50|10443#4	10444#6|10443#2	910019	0
10210	2	10301	7#0|1#4#1#3|5#0	117192#1|16#50|10443#4	10444#6|10443#2	910020	1
10301	3	10302	7#0|2#1#2#1|3#8	10444#22|16#50|10443#4	10444#7|10443#2	910021	0
10302	3	10303	7#0|2#2#2#1|3#8	10444#22|16#50|10443#4	10444#7|10443#2	910022	0
10303	3	10304	7#0|2#3#2#1|3#8	10444#22|16#50|10443#4	10444#7|10443#2	910023	0
10304	3	10305	7#0|6#3|3#8	10444#22|16#50|10443#4	10444#7|10443#2	910024	0
10305	3	10306	7#0|2#4#2#1|4#5000	10444#22|16#50|10443#4	10444#7|10443#2	910025	0
10306	3	10307	7#0|2#5#2#1|3#8	10444#22|16#50|10443#4	10444#7|10443#2	910026	0
10307	3	10308	7#0|1#3#2#1|3#8	10444#22|16#50|10443#4	10444#7|10443#2	910027	0
10308	3	10309	7#0|1#1#2#1|3#8	10444#22|16#50|10443#4	10444#7|10443#2	910028	0
10309	3	10310	7#0|1#2#2#1|3#8	10444#22|16#50|10443#4	10444#7|10443#2	910029	0
10310	3	10401	7#0|1#4#2#1|5#0	10444#22|16#50|10443#4	10444#7|10443#2	910030	1
10401	4	10402	7#0|2#1#1#3|3#8	10444#25|16#50|10443#4	10444#8|10443#2	910031	0
10402	4	10403	7#0|2#2#1#3|3#8	10444#25|16#50|10443#4	10444#8|10443#2	910032	0
10403	4	10404	7#0|2#3#1#3|3#8	10444#25|16#50|10443#4	10444#8|10443#2	910033	0
10404	4	10405	7#0|6#4|3#8	10444#25|16#50|10443#4	10444#8|10443#2	910034	0
10405	4	10406	7#0|2#4#1#3|4#5000	10444#25|16#50|10443#4	10444#8|10443#2	910035	0
10406	4	10407	7#0|2#5#1#3|3#8	10444#25|16#50|10443#4	10444#8|10443#2	910036	0
10407	4	10408	7#0|1#3#1#3|3#8	10444#25|16#50|10443#4	10444#8|10443#2	910037	0
10408	4	10409	7#0|1#1#1#3|3#8	10444#25|16#50|10443#4	10444#8|10443#2	910038	0
10409	4	10410	7#0|1#2#1#3|3#8	10444#25|16#50|10443#4	10444#8|10443#2	910039	0
10410	4	10501	7#0|1#4#1#3|5#0	10444#25|16#50|10443#4	10444#8|10443#2	910040	1
10501	5	10502	7#0|2#1#2#1|3#8	10444#28|16#50|10443#7	10444#9|10443#3	910041	0
10502	5	10503	7#0|2#2#2#1|3#8	10444#28|16#50|10443#7	10444#9|10443#3	910042	0
10503	5	10504	7#0|2#3#2#1|3#8	10444#28|16#50|10443#7	10444#9|10443#3	910043	0
10504	5	10505	7#0|6#5|3#8	10444#28|16#50|10443#7	10444#9|10443#3	910044	0
10505	5	10506	7#0|2#4#2#1|4#5000	10444#28|16#50|10443#7	10444#9|10443#3	910045	0
10506	5	10507	7#0|2#5#2#1|3#8	10444#28|16#50|10443#7	10444#9|10443#3	910046	0
10507	5	10508	7#0|1#3#2#1|3#8	10444#28|16#50|10443#7	10444#9|10443#3	910047	0
10508	5	10509	7#0|1#1#2#1|3#8	10444#28|16#50|10443#7	10444#9|10443#3	910048	0
10509	5	10510	7#0|1#2#2#1|3#8	10444#28|16#50|10443#7	10444#9|10443#3	910049	0
10510	5	10601	7#0|1#4#2#1|5#0	10444#28|16#50|10443#7	10444#9|10443#3	910050	1
10601	6	10602	7#0|2#1#1#3|3#8	10444#31|16#50|10443#7	10444#10|10443#3	910051	0
10602	6	10603	7#0|2#2#1#3|3#8	10444#31|16#50|10443#7	10444#10|10443#3	910052	0
10603	6	10604	7#0|2#3#1#3|3#8	10444#31|16#50|10443#7	10444#10|10443#3	910053	0
10604	6	10605	7#0|6#6|3#8	10444#31|16#50|10443#7	10444#10|10443#3	910054	0
10605	6	10606	7#0|2#4#1#3|4#5000	10444#31|16#50|10443#7	10444#10|10443#3	910055	0
10606	6	10607	7#0|2#5#1#3|3#8	10444#31|16#50|10443#7	10444#10|10443#3	910056	0
10607	6	10608	7#0|1#3#1#3|3#8	10444#31|16#50|10443#7	10444#10|10443#3	910057	0
10608	6	10609	7#0|1#1#1#3|3#8	10444#31|16#50|10443#7	10444#10|10443#3	910058	0
10609	6	10610	7#0|1#2#1#3|3#8	10444#31|16#50|10443#7	10444#10|10443#3	910059	0
10610	6	10701	7#0|1#4#1#3|5#0	10444#31|16#50|10443#7	10444#10|10443#3	910060	1
10701	7	10702	7#0|2#1#2#1|3#8	10444#34|16#50|10443#7	10444#11|10443#3	910061	0
10702	7	10703	7#0|2#2#2#1|3#8	10444#34|16#50|10443#7	10444#11|10443#3	910062	0
10703	7	10704	7#0|2#3#2#1|3#8	10444#34|16#50|10443#7	10444#11|10443#3	910063	0
10704	7	10705	7#0|6#1|3#8	10444#34|16#50|10443#7	10444#11|10443#3	910064	0
10705	7	10706	7#0|2#4#2#1|4#5000	10444#34|16#50|10443#7	10444#11|10443#3	910065	0
10706	7	10707	7#0|2#5#2#1|3#8	10444#34|16#50|10443#7	10444#11|10443#3	910066	0
10707	7	10708	7#0|1#3#2#1|3#8	10444#34|16#50|10443#7	10444#11|10443#3	910067	0
10708	7	10709	7#0|1#1#2#1|3#8	10444#34|16#50|10443#7	10444#11|10443#3	910068	0
10709	7	10710	7#0|1#2#2#1|3#8	10444#34|16#50|10443#7	10444#11|10443#3	910069	0
10710	7	10801	7#0|1#4#2#1|5#0	10444#34|16#50|10443#7	10444#11|10443#3	910070	1
10801	8	10802	7#0|2#1#1#3|3#8	10444#37|16#50|10443#7	10444#12|10443#3	910071	0
10802	8	10803	7#0|2#2#1#3|3#8	10444#37|16#50|10443#7	10444#12|10443#3	910072	0
10803	8	10804	7#0|2#3#1#3|3#8	10444#37|16#50|10443#7	10444#12|10443#3	910073	0
10804	8	10805	7#0|6#2|3#8	10444#37|16#50|10443#7	10444#12|10443#3	910074	0
10805	8	10806	7#0|2#4#1#3|4#5000	10444#37|16#50|10443#7	10444#12|10443#3	910075	0
10806	8	10807	7#0|2#5#1#3|3#8	10444#37|16#50|10443#7	10444#12|10443#3	910076	0
10807	8	10808	7#0|1#3#1#3|3#8	10444#37|16#50|10443#7	10444#12|10443#3	910077	0
10808	8	10809	7#0|1#1#1#3|3#8	10444#37|16#50|10443#7	10444#12|10443#3	910078	0
10809	8	10810	7#0|1#2#1#3|3#8	10444#37|16#50|10443#7	10444#12|10443#3	910079	0
10810	8	10901	7#0|1#4#1#3|5#0	10444#37|16#50|10443#7	10444#12|10443#3	910080	1
10901	9	10902	7#0|2#1#2#1|3#8	10444#40|16#50|10443#10	10444#13|10443#4	910081	0
10902	9	10903	7#0|2#2#2#1|3#8	10444#40|16#50|10443#10	10444#13|10443#4	910082	0
10903	9	10904	7#0|2#3#2#1|3#8	10444#40|16#50|10443#10	10444#13|10443#4	910083	0
10904	9	10905	7#0|6#3|3#8	10444#40|16#50|10443#10	10444#13|10443#4	910084	0
10905	9	10906	7#0|2#4#2#1|4#5000	10444#40|16#50|10443#10	10444#13|10443#4	910085	0
10906	9	10907	7#0|2#5#2#1|3#8	10444#40|16#50|10443#10	10444#13|10443#4	910086	0
10907	9	10908	7#0|1#3#2#1|3#8	10444#40|16#50|10443#10	10444#13|10443#4	910087	0
