Id	MinRank	MaxRank	DailyReward	SeasonReward
int	int	int	mut,int#int,2	mut,int#int,2
1	1	1	24#500|16#200	24#5000|16#600
2	2	2	24#400|16#150	24#4000|16#400
3	3	3	24#300|16#120	24#3000|16#300
4	4	5	24#250|16#100	24#2500|16#260
5	6	10	24#220|16#80	24#2000|16#200
6	11	20	24#200|16#60	24#1500|16#160
7	21	50	24#180|16#50	24#1000|16#140
8	51	100	24#160|16#40	24#750|16#120
9	101	200	24#140|16#30	24#500|16#100
10	201	500	24#120|16#20	24#400|16#80
11	501	1000	24#100|16#10	24#300|16#60
12	1001	999999	24#80|16#5	24#200|16#40
