Id	ActivityId	Values	ValuesII	Reward
int	int	int	mut,int#int,2	mut,int#int,2
1	6200	2	5|5	6001010#30|14#100000|1300#5
2	6200	2	5|10	6001010#30|14#100000|1300#5
3	6200	2	5|15	6001010#30|14#100000|1300#5
4	6200	2	5|20	6001010#30|14#100000|1300#5
5	6200	2	5|25	6001010#30|14#100000|1300#5
6	6200	2	5|30	6001010#30|14#100000|1300#5
7	6200	2	5|35	6001010#30|14#100000|1300#5
8	6200	2	5|40	6001010#30|14#100000|1300#5
9	6200	2	5|45	6001010#30|14#100000|1300#5
10	6200	2	5|50	19#1|14#100000|1300#5
11	6200	2	6|1	19#1|72001#25|1300#25
12	6200	2	6|2	19#1|72001#25|1300#25
13	6200	2	6|3	19#1|72001#25|1300#25
14	6200	2	6|4	19#1|72001#25|1300#25
15	6200	2	6|5	19#1|72001#25|1300#30
16	6200	2	6|6	19#1|72001#25|1300#30
17	6200	2	7|1	19#1|6000110#250|1300#30
18	6200	2	7|2	19#1|6000110#250|1300#30
19	6200	2	7|3	19#1|6000110#250|1300#30
20	6200	2	7|4	19#1|6000110#250|1300#30
21	6200	2	7|5	19#1|6000110#250|1300#30
22	6200	2	8|1	19#2|72001#50|1300#60
23	6200	2	8|2	19#2|72001#50|1300#60
24	6200	2	8|3	19#2|6000110#500|1300#60
25	6200	2	8|4	19#2|6000110#500|1300#60
26	6200	2	9|1	20#1|72001#100|1300#200
27	6200	2	9|2	20#1|6000110#1000|1300#200
28	6200	2	9|3	20#2|72002#12|1300#200
29	6200	2	10|1	20#2|16#2000|1300#500
30	30004	2	5|1	6001010#5|14#100000|1300#5
31	30004	2	5|2	6001010#5|14#100000|1300#5
32	30004	2	5|3	6001010#10|14#100000|1300#5
33	30004	2	5|4	6001010#10|14#100000|1300#5
34	30004	2	5|5	6001010#10|14#100000|1300#5
35	30004	2	5|6	6001010#10|14#100000|1300#5
36	30004	2	5|7	6001010#10|14#100000|1300#5
37	30004	2	5|8	6001010#10|14#100000|1300#5
38	30004	2	5|9	6001010#10|14#100000|1300#5
39	30004	2	5|10	6001010#10|14#100000|1300#5
40	30004	2	6|1	19#1|60429#1|1300#25
41	30004	2	6|2	19#1|60429#1|1300#25
42	30004	2	6|3	19#1|60429#1|1300#25
43	30004	2	6|4	19#1|60429#1|1300#25
44	30004	2	6|5	19#1|60429#1|1300#30
45	30004	2	6|6	19#1|60429#1|1300#30
46	30004	2	7|1	19#1|60429#1|1300#30
47	30004	2	7|2	19#1|60429#1|1300#30
48	30004	2	7|3	19#1|60429#1|1300#30
49	30004	2	7|4	19#1|60429#1|1300#30
50	30004	2	7|5	19#1|60429#1|1300#30
51	30004	2	8|1	19#2|60430#1|1300#60
52	30004	2	8|2	19#2|60430#1|1300#60
53	30004	2	8|3	19#2|60430#1|1300#60
54	30004	2	8|4	19#2|60430#1|1300#60
55	30004	2	9|1	20#1|60431#1|1300#200
56	30004	2	9|2	20#1|60431#1|1300#200
57	30004	2	9|3	20#2|60431#1|1300#200
58	30004	2	10|1	20#2|16#2000|1300#500
59	34004	2	5|1	6001010#5|14#100000|1300#5
60	34004	2	5|2	6001010#5|14#100000|1300#5
61	34004	2	5|3	6001010#10|14#100000|1300#5
62	34004	2	5|4	6001010#10|14#100000|1300#5
63	34004	2	5|5	6001010#10|14#100000|1300#5
64	34004	2	5|6	6001010#10|14#100000|1300#5
65	34004	2	5|7	6001010#10|14#100000|1300#5
