ID	RefineLevel	PropertyId	Value	ConsumeItem	UnlockFactor
int	int	int	int	mut,int#int,2	int
1	0	62	0	72005#1|72004#4	2
2	1	62	100	72005#1|72004#4	2
3	2	61	100	72005#1|72004#4	2
4	3	155	100	72005#1|72004#4	2
5	4	156	100	72005#1|72004#4	2
6	5	55	100	72005#1|72004#4	2
7	6	60	100	72005#1|72004#4	2
8	7	53	100	72005#1|72004#4	2
9	8	54	100	72005#1|72004#4	2
10	9	56	200	72005#1|72004#4	2
11	10	5	8	72005#1|72004#4	2
12	11	62	100	72005#3|72004#9	4
13	12	61	100	72005#3|72004#9	4
14	13	155	100	72005#3|72004#9	4
15	14	156	100	72005#3|72004#9	4
16	15	55	100	72005#3|72004#9	4
17	16	60	100	72005#3|72004#9	4
18	17	53	100	72005#3|72004#9	4
19	18	54	100	72005#3|72004#9	4
20	19	56	200	72005#3|72004#9	4
21	20	5	8	72005#3|72004#9	4
22	21	62	100	72005#5|72004#15	6
23	22	61	100	72005#5|72004#15	6
24	23	155	100	72005#5|72004#15	6
25	24	156	100	72005#5|72004#15	6
26	25	55	100	72005#5|72004#15	6
27	26	60	100	72005#5|72004#15	6
28	27	53	100	72005#5|72004#15	6
29	28	54	100	72005#5|72004#15	6
30	29	56	200	72005#5|72004#15	6
31	30	5	8	72005#5|72004#15	6
32	31	62	100	72005#7|72004#22	8
33	32	61	100	72005#7|72004#22	8
34	33	155	100	72005#7|72004#22	8
35	34	156	100	72005#7|72004#22	8
36	35	55	100	72005#7|72004#22	8
37	36	60	100	72005#7|72004#22	8
38	37	53	100	72005#7|72004#22	8
39	38	54	100	72005#7|72004#22	8
40	39	56	200	72005#7|72004#22	8
41	40	5	8	72005#7|72004#22	8
42	41	62	100	72005#10|72004#30	10
43	42	61	100	72005#10|72004#30	10
44	43	155	100	72005#10|72004#30	10
45	44	156	100	72005#10|72004#30	10
46	45	55	100	72005#10|72004#30	10
47	46	60	100	72005#10|72004#30	10
48	47	53	100	72005#10|72004#30	10
49	48	54	100	72005#10|72004#30	10
50	49	56	200	72005#10|72004#30	10
51	50	5	8	72005#10|72004#30	10
52	51	62	100	72005#13|72004#39	12
53	52	61	100	72005#13|72004#39	12
54	53	155	100	72005#13|72004#39	12
55	54	156	100	72005#13|72004#39	12
56	55	55	100	72005#13|72004#39	12
57	56	60	100	72005#13|72004#39	12
58	57	53	100	72005#13|72004#39	12
59	58	54	100	72005#13|72004#39	12
60	59	56	200	72005#13|72004#39	12
61	60	5	8	72005#13|72004#39	12
62	61	62	100	72005#16|72004#49	14
63	62	61	100	72005#16|72004#49	14
64	63	155	100	72005#16|72004#49	14
65	64	156	100	72005#16|72004#49	14
66	65	55	100	72005#16|72004#49	14
67	66	60	100	72005#16|72004#49	14
68	67	53	100	72005#16|72004#49	14
69	68	54	100	72005#16|72004#49	14
70	69	56	200	72005#16|72004#49	14
71	70	5	8	72005#16|72004#49	14
72	71	62	100	72005#20|72004#60	16
73	72	61	100	72005#20|72004#60	16
74	73	155	100	72005#20|72004#60	16
75	74	156	100	72005#20|72004#60	16
76	75	55	100	72005#20|72004#60	16
77	76	60	100	72005#20|72004#60	16
78	77	53	100	72005#20|72004#60	16
79	78	54	100	72005#20|72004#60	16
80	79	56	200	72005#20|72004#60	16
81	80	5	8	72005#20|72004#60	16
82	81	62	100	72005#24|72004#72	18
83	82	61	100	72005#24|72004#72	18
84	83	155	100	72005#24|72004#72	18
85	84	156	100	72005#24|72004#72	18
86	85	55	100	72005#24|72004#72	18
87	86	60	100	72005#24|72004#72	18
88	87	53	100	72005#24|72004#72	18
89	88	54	100	72005#24|72004#72	18
90	89	56	200	72005#24|72004#72	18
91	90	5	8	72005#24|72004#72	18
92	91	62	100	72005#28|72004#85	20
93	92	61	100	72005#28|72004#85	20
94	93	155	100	72005#28|72004#85	20
95	94	156	100	72005#28|72004#85	20
96	95	55	100	72005#28|72004#85	20
97	96	60	100	72005#28|72004#85	20
98	97	53	100	72005#28|72004#85	20
99	98	54	100	72005#28|72004#85	20
100	99	56	200	72005#28|72004#85	20
101	100	5	8	72005#28|72004#85	20
102	101	62	100	72005#33|72004#99	22
103	102	61	100	72005#33|72004#99	22
104	103	155	100	72005#33|72004#99	22
105	104	156	100	72005#33|72004#99	22
106	105	55	100	72005#33|72004#99	22
107	106	60	100	72005#33|72004#99	22
108	107	53	100	72005#33|72004#99	22
109	108	54	100	72005#33|72004#99	22
110	109	56	200	72005#33|72004#99	22
111	110	5	8	72005#33|72004#99	22
112	111	62	100	72005#38|72004#114	24
113	112	61	100	72005#38|72004#114	24
114	113	155	100	72005#38|72004#114	24
115	114	156	100	72005#38|72004#114	24
116	115	55	100	72005#38|72004#114	24
117	116	60	100	72005#38|72004#114	24
118	117	53	100	72005#38|72004#114	24
119	118	54	100	72005#38|72004#114	24
120	119	56	200	72005#38|72004#114	24
121	120	5	8	72005#43|72004#129	24
122	121	62	100	72005#43|72004#129	24
123	122	61	100	72005#43|72004#129	24
124	123	155	100	72005#43|72004#129	24
125	124	156	100	72005#43|72004#129	24
126	125	55	100	72005#43|72004#129	24
127	126	60	100	72005#43|72004#129	24
128	127	53	100	72005#43|72004#129	24
129	128	54	100	72005#43|72004#129	24
130	129	56	200	72005#43|72004#129	24
131	130	5	8	72005#48|72004#144	24
132	131	62	100	72005#48|72004#144	24
133	132	61	100	72005#48|72004#144	24
134	133	155	100	72005#48|72004#144	24
135	134	156	100	72005#48|72004#144	24
136	135	55	100	72005#48|72004#144	24
137	136	60	100	72005#48|72004#144	24
138	137	53	100	72005#48|72004#144	24
139	138	54	100	72005#48|72004#144	24
140	139	56	200	72005#48|72004#144	24
141	140	5	8	72005#53|72004#159	24
142	141	62	100	72005#53|72004#159	24
143	142	61	100	72005#53|72004#159	24
144	143	155	100	72005#53|72004#159	24
145	144	156	100	72005#53|72004#159	24
146	145	55	100	72005#53|72004#159	24
147	146	60	100	72005#53|72004#159	24
148	147	53	100	72005#53|72004#159	24
149	148	54	100	72005#53|72004#159	24
150	149	56	200	72005#53|72004#159	24
151	150	5	8	72005#58|72004#174	24
152	151	62	100	72005#58|72004#174	24
153	152	61	100	72005#58|72004#174	24
154	153	155	100	72005#58|72004#174	24
155	154	156	100	72005#58|72004#174	24
156	155	55	100	72005#58|72004#174	24
157	156	60	100	72005#58|72004#174	24
158	157	53	100	72005#58|72004#174	24
159	158	54	100	72005#58|72004#174	24
160	159	56	200	72005#58|72004#174	24
161	160	5	8	72005#63|72004#189	24
162	161	62	100	72005#63|72004#189	24
163	162	61	100	72005#63|72004#189	24
164	163	155	100	72005#63|72004#189	24
165	164	156	100	72005#63|72004#189	24
166	165	55	100	72005#63|72004#189	24
167	166	60	100	72005#63|72004#189	24
168	167	53	100	72005#63|72004#189	24
169	168	54	100	72005#63|72004#189	24
170	169	56	200	72005#63|72004#189	24
171	170	5	8	72005#68|72004#204	24
172	171	62	100	72005#68|72004#204	24
173	172	61	100	72005#68|72004#204	24
174	173	155	100	72005#68|72004#204	24
175	174	156	100	72005#68|72004#204	24
176	175	55	100	72005#68|72004#204	24
177	176	60	100	72005#68|72004#204	24
178	177	53	100	72005#68|72004#204	24
179	178	54	100	72005#68|72004#204	24
180	179	56	200	72005#68|72004#204	24
181	180	5	8	72005#73|72004#219	24
182	181	62	100	72005#73|72004#219	24
183	182	61	100	72005#73|72004#219	24
184	183	155	100	72005#73|72004#219	24
185	184	156	100	72005#73|72004#219	24
186	185	55	100	72005#73|72004#219	24
187	186	60	100	72005#73|72004#219	24
188	187	53	100	72005#73|72004#219	24
189	188	54	100	72005#73|72004#219	24
190	189	56	200	72005#73|72004#219	24
191	190	5	8	72005#78|72004#234	24
192	191	62	100	72005#78|72004#234	24
