Id	Type	Level	NextId	BaseLimit	Cost	PropertyAdd	LevelUpReward
int	int	int	int	int	mut,int#int,1	mut,int#int,2	mut,int#int,2
101	1	1	102	1	19002#15	1#0	null
102	1	2	103	2	19002#45	1#2000	null
103	1	3	104	3	19002#90	1#4000	null
104	1	4	105	4	19002#150	1#6000	null
105	1	5	106	5	19002#225	1#8000	null
106	1	6	107	6	19002#315	1#11000	null
107	1	7	108	7	19002#420	1#14000	null
108	1	8	109	8	19002#540	1#18000	null
109	1	9	110	9	19002#675	1#22000	null
110	1	10	111	10	19002#825	1#27000	null
111	1	11	112	11	19002#990	1#32000	null
112	1	12	113	12	19002#1170	1#38000	null
113	1	13	114	13	19002#1365	1#44000	null
114	1	14	115	14	19002#1575	1#51000	null
115	1	15	116	15	19002#1800	1#58000	null
116	1	16	117	16	19002#2040	1#66000	null
117	1	17	118	17	19002#2295	1#74000	null
118	1	18	119	18	19002#2565	1#82000	null
119	1	19	120	19	19002#2850	1#90000	null
120	1	20	-1	20	null	1#100000	null
201	2	1	202	1	19002#15	2#0	null
202	2	2	203	2	19002#45	2#150	null
203	2	3	204	3	19002#90	2#300	null
204	2	4	205	4	19002#150	2#500	null
205	2	5	206	5	19002#225	2#750	null
206	2	6	207	6	19002#315	2#1050	null
207	2	7	208	7	19002#420	2#1400	null
208	2	8	209	8	19002#540	2#1800	null
209	2	9	210	9	19002#675	2#2300	null
210	2	10	211	10	19002#825	2#2900	null
211	2	11	212	11	19002#990	2#3600	null
212	2	12	213	12	19002#1170	2#4400	null
213	2	13	214	13	19002#1365	2#5300	null
214	2	14	215	14	19002#1575	2#6300	null
215	2	15	216	15	19002#1800	2#7400	null
216	2	16	217	16	19002#2040	2#8600	null
217	2	17	218	17	19002#2295	2#9900	null
218	2	18	219	18	19002#2565	2#11300	null
219	2	19	220	19	19002#2850	2#13000	null
220	2	20	-1	20	null	2#15000	null
301	3	1	302	1	19002#15	3#0	null
302	3	2	303	2	19002#45	3#60	null
303	3	3	304	3	19002#90	3#90	null
304	3	4	305	4	19002#150	3#120	null
305	3	5	306	5	19002#225	3#150	null
306	3	6	307	6	19002#315	3#180	null
307	3	7	308	7	19002#420	3#210	null
308	3	8	309	8	19002#540	3#240	null
309	3	9	310	9	19002#675	3#270	null
310	3	10	311	10	19002#825	3#300	null
311	3	11	312	11	19002#990	3#330	null
312	3	12	313	12	19002#1170	3#360	null
313	3	13	314	13	19002#1365	3#390	null
314	3	14	315	14	19002#1575	3#420	null
315	3	15	316	15	19002#1800	3#460	null
316	3	16	317	16	19002#2040	3#500	null
317	3	17	318	17	19002#2295	3#540	null
318	3	18	319	18	19002#2565	3#580	null
319	3	19	320	19	19002#2850	3#620	null
320	3	20	-1	20	null	3#660	null
401	4	1	402	1	19002#15	5#0	null
402	4	2	403	2	19002#45	5#10	null
403	4	3	404	3	19002#90	5#15	null
404	4	4	405	4	19002#150	5#20	null
405	4	5	406	5	19002#225	5#25	null
406	4	6	407	6	19002#315	5#30	null
407	4	7	408	7	19002#420	5#35	null
408	4	8	409	8	19002#540	5#40	null
409	4	9	410	9	19002#675	5#45	null
410	4	10	411	10	19002#825	5#50	null
411	4	11	412	11	19002#990	5#60	null
412	4	12	413	12	19002#1170	5#70	null
413	4	13	414	13	19002#1365	5#80	null
414	4	14	415	14	19002#1575	5#90	null
415	4	15	416	15	19002#1800	5#100	null
416	4	16	417	16	19002#2040	5#110	null
417	4	17	418	17	19002#2295	5#120	null
418	4	18	419	18	19002#2565	5#130	null
419	4	19	420	19	19002#2850	5#140	null
420	4	20	-1	20	null	5#150	null
501	5	1	502	1	19003#100	null	19004#1
502	5	2	503	2	19003#300	null	19004#1
503	5	3	504	3	19003#900	null	19004#1
504	5	4	505	4	19003#1800	null	19004#1
505	5	5	506	5	19003#3000	null	19004#1
506	5	6	507	6	19003#4500	null	19004#1
507	5	7	508	7	19003#6300	null	19004#1
508	5	8	509	8	19003#8400	null	19004#1
509	5	9	510	9	19003#10800	null	19004#1
510	5	10	511	10	19003#13500	null	19004#1
511	5	11	512	11	19003#16500	null	19004#1
512	5	12	513	12	19003#19800	null	19004#1
513	5	13	514	13	19003#23400	null	19004#1
514	5	14	515	14	19003#27300	null	19004#1
515	5	15	516	15	19003#31500	null	19004#1
516	5	16	517	16	19003#36000	null	19004#1
517	5	17	518	17	19003#40800	null	19004#1
518	5	18	519	18	19003#45900	null	19004#1
519	5	19	520	19	19003#51300	null	19004#1
520	5	20	-1	20	null	null	19004#1
