Id	Type	Values	Reward	OpenCond
int	int	mut,int#int,2	mut,int#int,2	int
1	51	0|5	16#10	1
2	10	0|120000	16#10	1
3	10	0|180000	16#10	1
4	10	0|280000	16#10	1
5	10	0|600000	16#10	1
6	10	0|1600000	16#10	1
7	47	5|10	16#10	1
8	100	0|10	16#10	24
9	100	0|50	16#10	24
10	1013	0|500	16#10	24
11	33	0|1	16#10	33
12	33	0|5	16#10	33
13	33	0|20	16#10	33
14	1021	0|3	16#10	33
15	1041	20001|1	16#10	91
16	1044	0|5	16#10	91
17	1044	0|10	16#10	91
18	1014	0|1	16#10	86
19	1015	0|1	16#10	86
20	1016	0|1	16#10	86
21	1012	0|4	14#20000	1
22	1012	0|24	14#20000	1
23	1012	0|100	14#20000	1
24	1012	0|200	14#20000	1
25	14	5201|1	14#20000	1
26	14	7051|1	14#20000	1
27	14	8201|1	14#20000	1
28	14	10201|1	14#20000	1
29	20	0|10	14#20000	1
30	20	0|30	14#20000	1
31	1043	0|1000000	14#20000	1
32	20	0|150	14#20000	1
33	52	1|1	14#20000	20
34	52	2|5	14#20000	78
35	1019	2|50	14#20000	78
36	83	1|100	14#20000	61
37	83	2|20	14#20000	61
38	1022	0|50	14#20000	61
39	75	5|5	3#20000	1
40	75	5|20	3#20000	1
41	75	5|100	3#20000	1
42	75	4|10	3#20000	1
43	75	4|50	3#20000	1
44	75	1|20	3#20000	1
45	75	1|50	3#20000	1
46	75	1|200	3#20000	1
47	75	6|2	3#20000	1
48	75	6|10	3#20000	1
49	22	0|10	14#20000	66
50	22	0|100	14#20000	66
51	22	0|500	14#20000	66
52	1075	12|1	14#20000	66
53	1076	12|1	14#20000	66
54	1077	12|1	14#20000	66
55	1078	12|1	14#20000	66
56	1075	14|1	14#20000	66
57	1076	14|1	14#20000	66
58	1077	14|1	14#20000	66
59	1078	14|1	14#20000	66
60	1075	16|1	14#20000	66
61	1076	16|1	14#20000	66
62	1077	16|1	14#20000	66
63	1078	16|1	14#20000	66
64	1017	0|1	6000110#10	66
65	1017	0|10	6000110#10	66
66	1031	0|10	6000110#10	66
67	1017	4|2	6000110#10	66
68	1017	5|1	6000110#10	66
69	1024	0|1	6000110#10	66
70	1025	0|5	6000110#10	66
71	1025	5|1	10444#5	66
72	1067	0|3	10444#2	89
73	1067	0|30	10444#5	89
74	1001	0|5	16#10	79
75	1026	1|10	16#10	79
76	1026	1|30	16#10	79
77	1026	2|10	16#10	79
78	1026	3|5	16#10	79
79	1026	4|5	16#10	79
80	1027	0|3	16#10	77
81	1028	0|10	16#10	77
82	1071	0|1	16#10	77
83	1029	0|5	16#10	77
84	1072	0|5	16#10	76
85	1073	0|5	16#10	76
86	1074	0|5	16#10	76
87	1036	2|5	16#10	90
88	1036	1|5	16#10	90
89	1034	0|4	16#10	90
90	7	0|10	16#10	8
91	28	0|20	16#10	8
92	7	0|100	16#10	8
93	28	0|150	16#10	8
94	1062	0|-500	16#10	8
95	1062	0|-100	16#10	8
96	8	0|2000	16#10	8
97	52	4|5	16#10	20
98	1020	79|10000	80#1	60
99	1020	79|50000	80#1	60
100	1020	79|500000	80#1	60
101	76	4|10	80#1	60
102	76	5|10	80#1	60
103	76	6|10	80#1	60
104	77	0|5	80#1	60
105	77	0|30	80#1	60
106	1037	0|3	16#10	67
107	1038	0|20	16#10	67
108	1038	0|40	16#10	67
109	1037	1|9	16#10	67
110	1037	2|9	16#10	68
111	1037	3|9	16#10	69
112	1037	4|9	16#10	70
113	1037	5|9	16#10	71
114	1039	1|20	4#20	85
115	1039	1|100	4#20	85
116	1039	1|200	4#20	85
117	1039	1|300	4#20	85
118	1039	1|500	4#20	85
119	1040	0|10	4#20	85
120	1041	10001|1	4#20	85
121	1039	1|399	4#20	85
122	1039	2|50	4#20	85
123	1041	10002|1	4#20	85
124	69	0|1	65#20	4
125	79	0|3	65#20	4
126	1046	0|10	65#20	4
127	52	12|25	65#20	4
128	1046	0|15	65#20	4
129	1050	0|5	65#20	4
130	79	0|10	65#20	4
131	1051	0|30	65#20	4
132	1050	0|10	65#20	4
133	1046	0|100	65#20	4
134	1007	0|10	16#10	44
135	1042	1|4	16#10	44
136	1042	2|5	16#10	44
137	1045	0|100	16#10	44
138	1045	0|300	16#10	44
139	135	0|50	16#10	83
140	1047	0|50	16#10	83
141	1048	0|30	16#10	83
142	52	60|10	16#10	83
143	1049	0|3	16#10	83
144	116	0|3	16#10	82
145	1054	5|1	16#10	82
146	1053	3|1	16#10	82
147	1053	2|1	16#10	82
148	1053	1|1	16#10	82
149	1057	0|3	16#10	30
150	1058	0|50	16#10	30
151	1059	31|10	16#10	30
152	1059	43|5	16#10	30
153	1060	0|20	16#10	30
154	52	8|10	16#10	30
155	1061	0|100	16#10	30
156	1063	0|3	16#10	74
157	1063	0|6	16#10	74
158	1068	0|2	16#10	89
159	1069	0|3	16#10	89
160	1070	0|50	16#10	89
