Id	TaskType	TaskValue	Reward
int	int	mut,int#int,2	mut,int#int,2
1	14	1011|1	14#15000|3#500
2	1	0|1	14#15000|3#500
3	3	10|1	14#15000|3#500
4	14	1021|1	14#15000|3#500
5	14	1031|1	14#15000|3#500
6	14	1041|1	14#15000|3#500
7	14	1051|1	14#15000|3#500
8	40	0|1	14#15000|3#500
9	27	0|1	14#15000|3#500
10	46	0|1	14#15000|3#500
11	10	0|6000	14#15000|3#500
12	14	1101|1	14#15000|3#500
13	20	0|1	14#15000|3#500
14	14	1151|1	14#15000|3#500
15	10	0|10000	14#15000|3#500
16	14	1201|1	14#15000|3#500
17	71	0|1	14#15000|3#500
18	45	0|1	14#15000|3#500
19	14	2051|1	14#15000|3#500
20	9	0|13	14#15000|3#500
21	10	0|14000	14#15000|3#500
22	14	2151|1	14#15000|3#500
23	57	0|1	14#15000|3#500
24	1	0|10	14#15000|3#500
25	9	0|15	14#15000|3#500
26	10	0|25000	14#15000|3#500
27	14	3051|1	14#15000|3#500
28	57	0|10	14#15000|3#500
29	36	0|1	14#15000|3#500
30	46	0|5	14#15000|3#500
31	14	3101|1	14#15000|3#500
32	10	0|35000	14#15000|3#500
33	15	101|1	14#15000|3#500
34	14	3151|1	14#15000|3#500
35	4	0|1	14#15000|3#500
36	14	3181|1	14#15000|3#500
37	18	0|10	14#15000|3#500
38	14	3201|1	14#15000|3#500
39	7	0|3	14#15000|3#500
40	36	0|2	14#15000|3#500
41	14	4051|1	14#15000|3#500
42	69	0|1	14#15000|3#500
43	57	0|20	14#15000|3#500
44	14	4101|1	14#15000|3#500
45	60	0|1	14#15000|3#500
46	9	0|18	14#15000|3#500
47	14	4151|1	14#15000|3#500
48	14	4201|1	14#15000|3#500
49	9	0|20	14#15000|3#500
50	15	102|1	14#15000|3#500
51	10	0|50000	14#15000|3#500
52	41	0|1	14#15000|3#500
53	14	5051|1	14#15000|3#500
54	14	5101|1	14#15000|3#500
55	10	0|60000	14#15000|3#500
56	60	0|200	14#15000|3#500
57	57	0|30	14#15000|3#500
58	8	0|1050	14#15000|3#500
59	14	5151|1	14#15000|3#500
60	14	5201|1	14#15000|3#500
61	15	103|1	14#15000|3#500
62	10	0|70000	14#15000|3#500
63	14	6051|1	14#15000|3#500
64	9	0|24	14#15000|3#500
65	14	6101|1	14#15000|3#500
66	10	0|80000	14#15000|3#500
67	57	0|40	14#15000|3#500
68	14	6151|1	14#15000|3#500
69	14	6201|1	14#15000|3#500
70	33	0|1	14#15000|3#500
71	15	104|1	14#15000|3#500
72	14	7051|1	14#15000|3#500
73	14	7101|1	14#15000|3#500
74	9	0|27	14#15000|3#500
75	60	0|300	14#15000|3#500
76	57	0|50	14#15000|3#500
77	14	7151|1	14#15000|3#500
78	14	7201|1	14#15000|3#500
79	15	105|1	14#15000|3#500
80	9	0|28	14#15000|3#500
81	14	8101|1	14#15000|3#500
82	10	0|90000	14#15000|3#500
83	14	8201|1	14#15000|3#500
84	15	106|1	14#15000|3#500
85	14	9101|1	14#15000|3#500
86	60	0|400	14#15000|3#500
87	57	0|55	14#15000|3#500
88	10	0|100000	14#15000|3#500
89	14	9151|1	14#15000|3#500
90	9	0|32	14#15000|3#500
91	60	0|500	14#15000|3#500
92	14	9201|1	14#15000|3#500
93	10	0|110000	14#15000|3#500
94	57	0|60	14#15000|3#500
95	9	0|35	14#15000|3#500
96	14	10201|1	14#15000|3#500
97	60	0|600	14#15000|3#500
98	57	0|65	14#15000|3#500
99	14	11101|1	14#15000|3#500
100	16	1#301|1	14#15000|3#500
101	14	11201|1	14#15000|3#500
102	15	107|1	14#15000|3#500
103	60	0|700	14#15000|3#500
104	14	12101|1	14#15000|3#500
105	57	0|70	14#15000|3#500
106	14	12201|1	14#15000|3#500
107	16	2#301|1	14#15000|3#500
108	60	0|800	14#15000|3#500
109	14	13101|1	14#15000|3#500
110	57	0|72	14#15000|3#500
111	14	13201|1	14#15000|3#500
112	60	0|900	14#15000|3#500
113	14	14101|1	14#15000|3#500
114	57	0|76	14#15000|3#500
115	14	14201|1	14#15000|3#500
116	16	3#301|1	14#15000|3#500
117	60	0|1000	14#15000|3#500
118	14	15101|1	14#15000|3#500
119	57	0|80	14#15000|3#500
120	14	15201|1	14#15000|3#500
121	31	0|5	14#15000|3#500
