Id	Rank	Stage	Score	Reward
int	int	int	int	mut,int#int,2
1	1	1	500	19#1|16#30|14#5000|3#1000
2	1	2	650	19#1|16#40|14#7000|3#2000
3	1	3	800	19#1|16#50|14#9000|3#3000
4	2	1	1000	19#3|16#100|14#14000|3#5000
5	2	2	1300	19#3|16#130|14#17000|3#6000
6	2	3	1600	19#3|16#160|14#20000|3#7000
7	3	1	2000	19#5|16#200|14#30000|3#10000
8	3	2	2300	19#5|16#230|14#35000|3#12000
9	3	3	2600	19#5|16#260|14#40000|3#15000
10	4	1	3000	21#10|16#350|14#55000|3#20000
11	4	2	3300	21#10|16#380|14#63000|3#23000
12	4	3	3600	21#10|16#400|14#71000|3#26000
13	5	1	4000	21#10|16#500|14#100000|3#32000
14	5	2	4500	21#15|16#530|14#110000|3#36000
15	5	3	5000	21#15|16#550|14#120000|3#40000
16	5	4	5500	21#15|16#600|14#130000|3#45000
17	6	1	6000	21#20|16#700|14#180000|3#55000
18	6	2	6500	21#20|16#720|14#200000|3#60000
19	6	3	7000	21#20|16#730|14#220000|3#65000
20	6	4	7500	21#20|16#750|14#240000|3#70000
21	7	1	8000	20#10|16#800|14#290000|3#85000
22	7	2	8500	20#10|16#830|14#320000|3#90000
23	7	3	9000	20#10|16#850|14#350000|3#95000
24	7	4	9500	20#10|16#900|14#380000|3#100000
25	8	1	10000	20#15|16#1000|14#500000|3#110000
26	8	2	11000	20#15|16#1100|14#550000|3#120000
27	8	3	12000	20#15|16#1200|14#600000|3#130000
28	8	4	13000	20#15|16#1300|14#650000|3#140000
29	8	5	14000	20#20|16#1500|14#700000|3#160000
