Id	Type	Param1	Param2	Param3	Reward
int	int	int	int	mut,int#int,2	mut,int#int,2
1001	1	1	1	null	16#1000|60447#2|61#1|14#1000000
1002	1	2	2	null	16#800|60447#1|61#1|14#800000
1003	1	3	3	null	16#500|60447#1|61#1|14#600000
2001	2	1	73	0|1	1009#50
2002	2	2	2001	0|1	1009#50|14#50000
2003	2	2	2001	0|10	1009#50|14#100000
2004	2	2	2002	0|5	1009#50|14#50000
2005	2	2	2002	0|20	1009#100|14#200000
2006	2	2	2002	0|50	1009#200|19#1
2007	2	2	2003	0|10	1009#100|14#50000
2008	2	2	2003	0|20	1009#200|19#1
2009	2	2	2005	0|100	1009#100|14#50000
2010	2	2	2005	0|200	1009#200|14#100000
2011	2	2	2005	0|500	1009#300|14#200000
2012	2	2	2005	0|1000	1009#400|19#1
2013	2	2	2005	0|2000	1009#500|20#1
3001	3	1	1	null	16#200|1009#500
3002	3	2	2	null	16#160|1009#400
3003	3	3	3	null	16#140|1009#350
3004	3	4	10	null	16#120|1009#300
3005	3	11	20	null	16#100|1009#250
3006	3	21	30	null	16#80|1009#200
3007	3	31	50	null	16#70|1009#150
3008	3	51	100	null	16#60|1009#100
3009	3	101	200	null	16#50|1009#50
3010	3	201	9999	null	16#40
4101	4	1	1	1	20018#1|16#1000|1009#6000|14#1000000
4102	4	1	2	2	20019#1|16#800|1009#4800|14#800000
4103	4	1	3	3	20020#1|16#700|1009#4200|14#600000
4104	4	1	4	5	16#600|1009#3600|14#500000
4105	4	1	6	10	16#500|1009#3000|14#450000
4106	4	1	11	20	16#400|1009#2400|14#400000
4107	4	1	21	50	16#300|1009#1800|14#350000
4108	4	1	51	100	16#200|1009#1200|14#300000
4109	4	1	101	9999	16#100|1009#600|14#250000
4201	4	2	1	1	20021#1|16#1000|1009#6000|14#1000000
4202	4	2	2	2	20022#1|16#800|1009#4800|14#800000
4203	4	2	3	3	20023#1|16#700|1009#4200|14#600000
4204	4	2	4	5	16#600|1009#3600|14#500000
4205	4	2	6	10	16#500|1009#3000|14#450000
4206	4	2	11	20	16#400|1009#2400|14#400000
4207	4	2	21	50	16#300|1009#1800|14#350000
4208	4	2	51	100	16#200|1009#1200|14#300000
4209	4	2	101	9999	16#100|1009#600|14#250000
4301	4	3	1	1	20024#1|16#1000|1009#6000|14#1000000
4302	4	3	2	2	20025#1|16#800|1009#4800|14#800000
4303	4	3	3	3	20026#1|16#700|1009#4200|14#600000
4304	4	3	4	5	16#600|1009#3600|14#500000
4305	4	3	6	10	16#500|1009#3000|14#450000
4306	4	3	11	20	16#400|1009#2400|14#400000
4307	4	3	21	50	16#300|1009#1800|14#350000
4308	4	3	51	100	16#200|1009#1200|14#300000
4309	4	3	101	9999	16#100|1009#600|14#250000
