Id	MapId	Type	DifficultType	OpenRule	Time	MapTime	ReviveTime	MostTime	Deaths	IsExplore	SweepingOpenRule	SweepingStoreProbability	SweepingStoreId	SweepingMonsterProbability	SweepingMonsterId
int	int	int	int	mut,int#int,2	int	int	mut,int#int,1	int	int	int	mut,int#int,1	mut,int#int,2	int	mut,int#int,2	int
100	100	1	1	0#0	240	2147483647	0#0#0#5	600	2	1	1#3	null	0	null	0
101	101	1	1	3101#0	120	1200	0#0#0#5	90	2	1	1#3	null	0	null	0
102	102	1	1	4201#0	180	1200	0#0#0#5	90	2	1	1#3	null	0	null	0
103	103	1	1	5201#0	180	1200	0#0#0#5	90	2	1	1#3	null	0	null	0
104	104	1	1	6201#0	240	1200	0#0#0#5	90	2	1	1#3	null	0	null	0
105	105	1	1	7201#0	240	1200	0#0#0#5	90	2	1	1#3	null	0	null	0
106	106	1	1	8201#0	240	1200	0#0#0#5	90	2	1	1#3	null	0	null	0
107	107	1	1	10201#0	240	1200	0#0#0#5	90	2	1	1#3	null	0	null	0
108	108	1	1	14201#0	240	1200	0#0#0#5	90	2	1	1#3	null	0	null	0
109	109	1	1	3102#0	240	1200	0#0#0#5	90	2	1	1#3	null	0	null	0
110	110	1	1	6202#0	240	1200	0#0#0#5	90	2	1	1#3	null	0	null	0
111	111	1	1	10202#0	240	1200	0#0#0#5	90	2	1	1#3	null	0	null	0
112	112	1	1	15102#0	240	1200	0#0#0#5	90	2	1	1#3	null	0	null	0
113	113	1	1	3403#0	240	1200	0#0#0#5	90	2	1	1#3	null	0	null	0
114	114	1	1	7203#0	240	1200	0#0#0#5	90	2	1	1#3	null	0	null	0
115	115	1	1	10403#0	240	1200	0#0#0#5	90	2	1	1#3	null	0	null	0
116	116	1	1	14203#0	240	1200	0#0#0#5	90	2	1	1#3	null	0	null	0
117	117	1	1	3254#0	240	1200	0#0#0#5	90	2	1	1#3	null	0	null	0
118	118	1	1	7154#0	240	1200	0#0#0#5	90	2	1	1#3	null	0	null	0
119	119	1	1	12254#0	240	1200	0#0#0#5	90	2	1	1#3	null	0	null	0
120	120	1	1	1055#0	240	1200	0#0#0#5	90	2	1	1#3	null	0	null	0
201	201	2	1	0#15	240	1200	0#0#0#5	90	4	1	1#3	null	0	null	0
202	202	2	1	0#20	240	1200	0#0#0#5	90	4	1	1#3	null	0	null	0
203	203	2	1	0#26	240	1200	0#0#0#5	90	4	1	1#3	null	0	null	0
204	204	2	1	0#31	240	1200	0#0#0#5	90	4	1	1#3	null	0	null	0
205	205	2	1	0#35	240	1200	0#0#0#5	90	4	1	1#3	null	0	null	0
206	206	2	1	0#38	240	1200	0#0#0#5	90	4	1	1#3	null	0	null	0
207	207	2	1	0#42	240	1200	0#0#0#5	90	4	1	1#3	null	0	null	0
208	208	2	1	0#44	240	1200	0#0#0#5	90	4	1	1#3	null	0	null	0
209	209	2	1	0#47	240	1200	0#0#0#5	90	4	1	1#3	null	0	null	0
210	210	2	1	0#49	240	1200	0#0#0#5	90	4	1	1#3	null	0	null	0
211	211	2	1	0#51	240	1200	0#0#0#5	90	4	1	1#3	null	0	null	0
212	212	2	1	0#54	240	1200	0#0#0#5	90	4	1	1#3	null	0	null	0
213	213	2	1	0#55	240	1200	0#0#0#5	90	4	1	1#3	null	0	null	0
214	214	2	1	0#57	240	1200	0#0#0#5	90	4	1	1#3	null	0	null	0
215	215	2	1	0#59	240	1200	0#0#0#5	90	4	1	1#3	null	0	null	0
2000	2000	2	1	0#0	240	999999999	0#0#0#5	90	4	0	1#3	null	0	null	0
2001	2001	2	1	0#0	240	999999999	0#0#0#5	90	4	0	1#3	null	0	null	0
2002	2002	2	1	0#0	240	999999999	0#0#0#5	90	4	0	1#3	null	0	null	0
2003	2003	2	1	0#0	240	999999999	0#0#0#5	90	4	0	1#3	null	0	null	0
3011	301	3	1	12201#0	240	1800	0#0#0#5	90	4	0	2#7	1#100|0#700	3	1#100|0#1300	30101
3012	301	3	2	12201#0	240	1800	0#0#0#5	90	4	0	2#13	1#100|0#700	3	1#100|0#1300	30102
3013	301	3	3	12201#0	240	1800	0#0#0#5	90	4	0	2#18	1#100|0#700	3	1#100|0#1300	30103
3014	301	3	4	12201#0	240	1800	0#0#0#5	90	4	0	2#23	1#100|0#700	3	1#100|0#1300	30104
3021	302	3	1	14201#0	240	1800	0#0#0#5	90	4	0	2#6	1#100|0#700	3	1#100|0#1300	30201
3022	302	3	2	14201#0	240	1800	0#0#0#5	90	4	0	2#11	1#100|0#700	3	1#100|0#1300	30202
3023	302	3	3	14201#0	240	1800	0#0#0#5	90	4	0	2#15	1#100|0#700	3	1#100|0#1300	30203
3024	302	3	4	14201#0	240	1800	0#0#0#5	90	4	0	2#20	1#100|0#700	3	1#100|0#1300	30204
3031	303	3	1	2302#0	240	1800	0#0#0#5	90	4	0	2#6	1#100|0#700	9	1#100|0#1300	30301
3032	303	3	2	2302#0	240	1800	0#0#0#5	90	4	0	2#11	1#100|0#700	9	1#100|0#1300	30302
3033	303	3	3	2302#0	240	1800	0#0#0#5	90	4	0	2#17	1#100|0#700	9	1#100|0#1300	30303
3034	303	3	4	2302#0	240	1800	0#0#0#5	90	4	0	2#23	1#100|0#700	9	1#100|0#1300	30304
3041	304	3	1	6202#0	240	1800	0#0#0#5	90	4	0	2#4	1#100|0#700	9	1#100|0#1300	30401
3042	304	3	2	6202#0	240	1800	0#0#0#5	90	4	0	2#8	1#100|0#700	9	1#100|0#1300	30402
3043	304	3	3	6202#0	240	1800	0#0#0#5	90	4	0	2#13	1#100|0#700	9	1#100|0#1300	30403
3044	304	3	4	6202#0	240	1800	0#0#0#5	90	4	0	2#19	1#100|0#700	9	1#100|0#1300	30404
3051	305	3	1	12202#0	240	1800	0#0#0#5	90	4	0	2#4	1#100|0#700	9	1#100|0#1300	30501
3052	305	3	2	12202#0	240	1800	0#0#0#5	90	4	0	2#8	1#100|0#700	9	1#100|0#1300	30502
3053	305	3	3	12202#0	240	1800	0#0#0#5	90	4	0	2#11	1#100|0#700	9	1#100|0#1300	30503
3054	305	3	4	12202#0	240	1800	0#0#0#5	90	4	0	2#13	1#100|0#700	9	1#100|0#1300	30504
4001	401	4	1	0#1	240	2147483647	0#0#0#5	90	4	0	1#3	null	0	null	0
4002	401	4	1	0#1	240	2147483647	0#0#0#5	90	4	0	1#3	null	0	null	0
4003	401	4	1	0#1	240	2147483647	0#0#0#5	90	4	0	1#3	null	0	null	0
