MapId	MissionId	Size	Refresh	IfRank	SweepingAward	Position
int	int	mut,int#int,1	int	int	mut,int#int,1	mut,int#int,1
11	1	40#23	0	0	null	17#13
12	1	30#30	0	0	null	1#1
100	1	15#20	0	0	2000	6#16
101	2	15#20	0	0	2001#40001#40001#40001#40001#40001	13#11
102	3	21#26	0	0	2002#40002#40002#40002#40002#40002#40002#40002	17#9
103	4	15#15	0	0	2003#40003#40003#40003#40003#40003#52#52	13#7
104	5	21#26	0	0	2004#40004#40004#40004#40004#40004#40004#53	6#12
105	6	20#30	0	0	2005#40005#40005#40005#40005#40005#40005#40005#53#53	4#27
106	7	15#20	0	0	2006#40006#40006#40006#40006#40006#40006#40006#54	4#4
107	8	10#20	0	0	2007#40007#40007#40007#40007#40007#40007#40007#55	5#10
108	9	10#20	0	0	2008#40008#40008#40008#40008#40008#40008#40008#55#55	5#10
109	10	10#20	0	0	2009#40009#40009#40009#40009#40009#40009#40009#56	8#10
110	11	10#20	0	0	2010#40010#40010#40010#40010#40010#40010#40010#56#56	9#6
111	12	15#20	0	0	2011#40011#40011#40011#40011#40011#40011#40011#57#57	10#8
112	13	15#20	0	0	2012#40012#40012#40012#40012#40012#40012#40012#58	11#16
113	14	15#20	0	0	2013#40013#40013#40013#40013#40013#40013#40013#58#58	9#11
114	15	15#20	0	0	2014#40014#40014#40014#40014#40014#40014#40014#59	6#16
115	16	15#20	0	0	2015#40015#40015#40015#40015#40015#40015#40015#59#59	7#6
116	17	21#26	0	0	2016#40016#40016#40016#40016#40016#40016#40016#850	6#7
117	18	10#20	0	0	2017#40017#40017#40017#40017#40017#40017#40017#850	2#6
118	19	10#20	0	0	2018#40018#40018#40018#40018#40018#40018#40018#850#850	4#11
119	20	15#20	0	0	2019#40019#40019#40019#40019#40019#40019#40019#850#850	3#4
120	21	10#20	0	0	2020#40020#40020#40020#40020#40020#40020#40020#850#850	2#18
201	101	10#12	0	1	null	5#5
202	102	15#20	0	1	null	6#6
203	103	21#26	0	1	null	4#8
204	104	20#15	0	1	null	8#6
205	105	15#20	0	1	null	2#5
206	106	20#30	0	1	null	2#2
207	107	15#20	0	1	null	9#8
208	108	20#15	0	1	null	4#3
209	109	10#20	0	1	null	5#5
210	110	15#20	0	1	null	4#7
211	111	21#26	0	1	null	5#4
212	112	10#20	0	1	null	6#11
213	113	20#15	0	1	null	8#4
214	114	20#30	0	1	null	3#3
215	115	21#26	0	1	null	2#13
2000	101	10#12	0	0	null	10#1
2001	101	10#12	0	0	null	10#1
2002	101	10#12	0	0	null	10#1
2003	101	10#12	0	0	null	10#12
3011	2011	10#12	0	0	1501#1501#1501#1101#1501#1501#1501#1101#1501#1501#1501#1161#1161	7#12
3012	2012	10#12	0	0	1502#1502#1502#1102#1502#1502#1502#1102#1502#1502#1502#1162#1162#1181	7#12
3013	2013	10#12	0	0	1503#1503#1503#1103#1503#1503#1503#1103#1503#1503#1503#1163#1163	7#12
3014	2014	10#12	0	0	1504#1504#1504#1104#1504#1504#1504#1104#1504#1504#1504#1164#1164#1181	7#12
3021	2021	10#12	0	0	1505#1505#1205#1505#1505#1205#1505#1505#1205#1505#1505#1505#1105#1505#1505#1505#1505#55049#901#1125#1165	2#2
3022	2022	10#12	0	0	1506#1506#1206#1506#1506#1206#1506#1506#1206#1506#1506#1506#1106#1506#1506#1506#1506#55051#902#1126#1166	2#2
3023	2023	10#12	0	0	1507#1507#1207#1507#1507#1207#1507#1507#1207#1507#1507#1507#1107#1507#1507#1507#1507#55053#903#1127#1167	2#2
3024	2024	10#12	0	0	1508#1508#1208#1508#1508#1208#1508#1508#1208#1508#1508#1508#1108#1508#1508#1508#1508#55055#904#1128#1168	2#2
