Id	MissionNum	Reward
int	int	mut,int#int,1
1	1	2000
2	5	2001
3	3	2002
4	6	2003
5	5	2004
6	8	2005
7	6	2006
8	8	2007
9	10	2008
10	9	2009
11	6	2010
12	6	2011
13	7	2012
14	5	2013
15	6	2014
16	5	2015
17	10	2016
18	8	2017
19	9	2018
20	8	2019
21	13	2020
101	2	null
102	2	null
103	3	null
104	3	null
105	4	null
106	3	null
107	4	null
108	2	null
109	3	null
110	4	null
111	3	null
112	3	null
113	2	null
114	4	null
115	3	null
2011	2	null
2012	2	null
2013	2	null
2014	2	null
2021	1	null
2022	1	null
2023	1	null
2024	1	null
2031	1	null
2032	1	null
2033	1	null
2034	1	null
2041	6	null
2042	6	null
2043	6	null
2044	6	null
2051	2	null
2052	2	null
2053	2	null
2054	2	null
2061	2	null
2062	2	null
2063	2	null
2064	2	null
