Id	JumpType
int	int
100001	1
100002	4
200800	1
200801	1
200802	1
200803	4
200900	1
200901	1
200902	4
201000	1
201001	1
201002	1
201003	4
201100	1
201101	4
402350	1
402351	1
402352	4
201300	1
201301	1
201302	1
201303	1
201304	4
201400	1
201401	1
201402	1
201403	1
201404	4
500010	1
500011	1
500012	1
500013	4
500020	1
500021	1
500022	1
500023	4
500025	1
500026	4
500030	4
500040	4
500050	4
500060	1
500061	1
500062	1
500063	4
500070	1
500071	1
500072	1
500073	1
500074	1
500075	1
500076	5
400100	1
400101	1
400102	4
201600	1
201601	1
201602	1
201603	4
400300	1
400301	4
400400	1
400401	1
400402	4
400500	4
402400	1
402401	1
402402	4
200100	4
200200	4
200500	1
200501	4
200600	1
200601	1
200602	1
200603	4
200700	1
200701	1
200702	4
201700	4
201800	4
201500	1
201501	4
201900	1
201901	4
201200	1
201201	1
201202	1
201203	4
200400	1
200401	4
202000	1
202001	1
202002	4
202100	1
202101	1
202102	1
202103	4
202200	1
202201	1
202202	1
202203	1
202204	4
202300	1
202301	1
202302	4
202400	1
202401	1
202402	1
202403	4
202500	1
202501	4
202600	1
202601	1
202602	1
202603	4
202700	1
202701	1
202702	1
202703	4
202800	1
202801	1
202802	4
202900	1
202901	1
202902	4
203000	1
203001	4
203100	1
203101	1
203102	1
203103	4
203200	1
203201	4
203300	1
203301	4
