Id	NeedItems	NeedCost	GoalItems	Type
int	mut,int#int,2	mut,int#int,2	mut,int#int,2	int
60100	60100#1	16#150	60101#1	1
60125	60125#1	16#150	60126#1	1
60135	60135#1	16#150	60136#1	1
60140	60140#1	16#150	60141#1	1
60101	60101#1	16#250	60102#1	2
60126	60126#1	16#250	60127#1	2
60136	60136#1	16#250	60137#1	2
60141	60141#1	16#250	60142#1	2
60102	60102#1	16#450	60103#1	3
60127	60127#1	16#450	60103#1	3
60137	60137#1	16#450	60103#1	3
60142	60142#1	16#450	60103#1	3
60103	60103#1	16#750	60155#1	4
60128	60128#1	16#750	60180#1	4
60138	60138#1	16#750	60190#1	4
60144	60144#1	16#750	60195#1	4
60155	60155#1	16#1200	60156#1	5
60180	60180#1	16#1200	60181#1	5
60190	60190#1	16#1200	60191#1	5
60195	60195#1	16#1200	60196#1	5
60156	60156#1	16#2000	60157#1	6
60181	60181#1	16#2000	60182#1	6
60191	60191#1	16#2000	60192#1	6
60196	60196#1	16#2000	60197#1	6
60157	60157#1	16#4000	60158#1	7
60182	60182#1	16#4000	60158#1	7
60192	60192#1	16#4000	60158#1	7
60197	60197#1	16#4000	60158#1	7
60158	60158#1	16#6000	60159#1	8
60183	60183#1	16#6000	60184#1	8
60193	60193#1	16#6000	60194#1	8
60198	60198#1	16#6000	60199#1	8
60159	60159#1	16#10000	60160#1	9
60184	60184#1	16#10000	60185#1	9
60194	60194#1	16#10000	60200#1	9
60199	60199#1	16#10000	60201#1	9
