Id	Type	Values	Reward	OpenLevel	MazePoint
int	int	mut,int#int,2	mut,int#int,2	int	mut,int#int,2
1	73	0|1	16#20|30#5	1	null
2	54	0|5	69#100|30#5	25	null
3	107	0|3	16#20|30#10	1	null
4	87	0|2	60#1|30#10	67	null
5	76	0|3	80#1|30#10	60	null
6	36	0|5	16#30|30#10	26	null
7	7	0|3	23#2|30#10	8	null
9	125	0|3	65#30|30#10	4	null
10	79	0|1	91#1|30#5	4	null
11	134	0|3	4#30|30#10	85	null
12	135	0|3	23#2|30#10	83	null
13	20	0|2	16#20|30#5	1	null
14	108	14|100000	80#1|30#5	78	null
15	83	0|3	60#1|30#10	61	null
16	117	0|1	60#3|30#10	41	null
17	108	16|100	6000114#1|30#5	76	null
18	1019	2|2	14#30000|30#5	78	null
19	22	0|1	14#30000|30#5	66	null
20	1007	0|1	14#30000|30#10	44	null
21	1081	0|5	16#30|30#10	55	null
22	1064	0|1	16#30|30#10	73	null
10001	103	0|25	16#20|14#10000	1	null
10002	103	0|50	16#30|91#2	1	null
10003	103	0|75	16#50|60#1	1	null
10004	103	0|100	16#100|14#50000	1	null
