Id	ActivityId	PoolId	Reward	InitializeWeight	ExtractWeight	LimitNum
int	int	int	mut,int#int,1	int	int	int
1	30	1	6000110#20	1500	2800	0
2	30	1	6000110#30	3000	2800	0
3	30	1	72001#1	1500	2800	0
4	30	1	72001#2	3000	2800	0
5	30	1	72001#3	1000	2800	0
6	30	2	6001010#30	3000	400	1
7	30	2	6001011#30	1000	400	1
8	30	2	6001012#30	1000	400	1
9	30	2	6001013#30	1000	400	1
10	30	2	6001014#30	500	400	1
11	30	2	6001015#30	500	400	1
12	30	2	6000008#50	500	200	1
13	30	2	6000008#50	500	200	1
14	30	2	6000023#50	500	200	1
15	30	2	6000038#50	500	200	1
16	30	2	6000038#50	500	200	1
17	30	2	6001020#50	500	100	1
18	30	3	91#1	1000	1200	0
19	30	3	91#2	1000	1200	0
20	30	3	91#3	500	1200	0
21	30	3	23#1	1000	1200	0
22	30	3	23#2	1000	1200	0
23	30	3	23#3	500	1200	0
24	30	3	91#1	1000	1200	0
25	30	3	91#2	1000	1200	0
26	30	3	91#3	500	1200	0
27	30	3	92#2	1000	1200	0
28	30	3	92#3	1000	1200	0
29	30	3	92#5	500	1200	0
30	30	4	60068#1	1000	1000	1
31	30	4	60083#1	1000	1000	1
32	30	4	60089#1	1000	1000	1
33	30	4	60092#1	1000	1000	1
34	30	4	60067#1	1500	1500	1
35	30	4	60082#1	1500	1500	1
36	30	4	60088#1	1500	1500	1
37	30	4	60091#1	1500	1500	1
38	30	5	3#20000	2000	2800	0
39	30	5	3#25000	3000	2800	0
40	30	5	3#30000	3000	2800	0
41	30	5	3#40000	2000	2800	0
42	30	6	60100#1	1000	500	1
43	30	6	60125#1	1000	500	1
44	30	6	60135#1	1000	500	1
45	30	6	60140#1	1000	500	1
46	30	6	60069#1	1500	1000	1
47	30	6	60084#1	1500	1000	1
48	30	6	60090#1	1500	1000	1
49	30	6	60093#1	1500	1000	1
50	30	7	14#40000	2000	2800	0
51	30	7	14#50000	3000	2800	0
52	30	7	14#60000	3000	2800	0
53	30	7	14#80000	2000	2800	0
54	30	8	6000110#150	3000	1500	1
55	30	8	6000110#100	4000	1000	1
56	30	8	6000086#1	3000	500	1
57	31	1	20#1	10000	100	0
58	31	2	6001021#50	500	200	1
59	31	2	6001022#50	500	200	1
60	31	2	6001023#50	500	200	1
61	31	2	6001024#50	250	100	1
62	31	2	6001025#50	250	100	1
63	31	2	6000007#50	1000	200	1
64	31	2	6000009#50	1000	200	1
65	31	2	6000022#50	1000	200	1
66	31	2	6000027#50	1000	200	1
67	31	2	6000043#50	1000	200	1
68	31	2	6000044#50	1000	200	1
69	31	2	6000060#50	1000	200	1
70	31	2	6000079#50	1000	200	1
71	31	3	72002#5	6000	2800	0
72	31	3	72003#1	4000	2800	0
73	31	4	60101#1	1000	600	1
74	31	4	60126#1	1000	600	1
75	31	4	60136#1	1000	600	1
76	31	4	60141#1	1000	600	1
77	31	4	60100#1	1500	1200	1
78	31	4	60125#1	1500	1200	1
79	31	4	60135#1	1500	1200	1
80	31	4	60140#1	1500	1200	1
81	31	5	6000087#1	6000	2800	0
82	31	5	6000110#500	4000	2800	0
83	31	6	60155#1	1500	200	1
84	31	6	60180#1	1500	200	1
85	31	6	60190#1	1500	200	1
86	31	6	60195#1	1500	200	1
87	31	6	60103#1	500	400	1
88	31	6	60128#1	500	400	1
89	31	6	60138#1	500	400	1
90	31	6	60144#1	500	400	1
91	31	6	60102#1	500	800	1
92	31	6	60127#1	500	800	1
93	31	6	60137#1	500	800	1
94	31	6	60142#1	500	800	1
95	31	7	14#1500000	2000	1800	0
96	31	7	14#2000000	3000	1800	0
97	31	7	14#2500000	3000	1800	0
98	31	7	14#3000000	2000	1800	0
99	31	8	6001014#30	6000	1200	1
100	31	8	6001015#30	4000	1200	1
