Id	SurelyTimes	SurelyPools	Seasons
int	int	int	int
1	20	2	1
2	20	3	2
3	20	4	3
4	20	5	4
5	20	6	5
6	20	7	6
7	20	2	7
8	20	3	8
9	20	4	9
10	20	5	10
11	20	6	11
12	20	7	12
13	20	2	13
14	20	3	14
15	20	4	15
16	20	5	16
17	20	6	17
18	20	7	18
19	20	2	19
20	20	3	20
21	20	4	21
22	20	5	22
23	20	6	23
24	20	7	24
25	20	2	25
26	20	3	26
27	20	4	27
28	20	5	28
29	20	6	29
30	20	7	30
31	20	2	31
32	20	3	32
33	20	4	33
34	20	5	34
35	20	6	35
36	20	7	36
37	20	2	37
38	20	3	38
39	20	4	39
40	20	5	40
41	20	6	41
42	20	7	42
43	20	2	43
44	20	3	44
45	20	4	45
46	20	5	46
47	20	6	47
48	20	7	48
49	20	2	49
50	20	3	50
51	20	4	51
52	20	5	52
53	20	6	53
54	20	7	54
55	20	2	55
56	20	3	56
