Id	MainCost	SecondaryCost	LevelLimit	ExtraItem	SeasonTimes	SeasonOpen	SeasonEnd	RandomPool	LimitPrivigele
int	mut,int#int,2	int	int	mut,int#int,1	int	string	string	int	int
1	21#1	1	0	22#1	1	20190510 100000	20190517 100000	8	6
2	21#10	10	0	22#11	1	20190510 100000	20190517 100000	8	6
3	21#1	1	0	22#1	2	20190517 100000	20190524 100000	8	6
4	21#10	10	0	22#11	2	20190517 100000	20190524 100000	8	6
5	21#1	1	0	22#1	3	20190524 100000	20190531 100000	8	6
6	21#10	10	0	22#11	3	20190524 100000	20190531 100000	8	6
7	21#1	1	0	22#1	4	20190531 100000	20190601 100000	8	6
8	21#10	10	0	22#11	4	20190531 100000	20190601 100000	8	6
9	21#1	1	0	22#1	5	20190601 100000	20190608 100000	8	6
10	21#10	10	0	22#11	5	20190601 100000	20190608 100000	8	6
11	21#1	1	0	22#1	6	20190608 100000	20190615 100000	8	6
12	21#10	10	0	22#11	6	20190608 100000	20190615 100000	8	6
13	21#1	1	0	22#1	7	20190615 100000	20190622 100000	8	6
14	21#10	10	0	22#11	7	20190615 100000	20190622 100000	8	6
15	21#1	1	0	22#1	8	20190622 100000	20190701 100000	8	6
16	21#10	10	0	22#11	8	20190622 100000	20190701 100000	8	6
17	21#1	1	0	22#1	9	20190701 100000	20190708 100000	8	6
18	21#10	10	0	22#11	9	20190701 100000	20190708 100000	8	6
19	21#1	1	0	22#1	10	20190708 100000	20190715 100000	8	6
20	21#10	10	0	22#11	10	20190708 100000	20190715 100000	8	6
21	21#1	1	0	22#1	11	20190715 100000	20190722 100000	8	6
22	21#10	10	0	22#11	11	20190715 100000	20190722 100000	8	6
23	21#1	1	0	22#1	12	20190722 100000	20190729 100000	8	6
24	21#10	10	0	22#11	12	20190722 100000	20190729 100000	8	6
25	21#1	1	0	22#1	13	20190729 100000	20190805 100000	8	6
26	21#10	10	0	22#11	13	20190729 100000	20190805 100000	8	6
27	21#1	1	0	22#1	14	20190805 100000	20190812 100000	8	6
28	21#10	10	0	22#11	14	20190805 100000	20190812 100000	8	6
29	21#1	1	0	22#1	15	20190812 100000	20190819 100000	8	6
30	21#10	10	0	22#11	15	20190812 100000	20190819 100000	8	6
31	21#1	1	0	22#1	16	20190819 100000	20190826 100000	8	6
32	21#10	10	0	22#11	16	20190819 100000	20190826 100000	8	6
33	21#1	1	0	22#1	17	20190826 100000	20190902 100000	8	6
34	21#10	10	0	22#11	17	20190826 100000	20190902 100000	8	6
35	21#1	1	0	22#1	18	20190902 100000	20190909 100000	8	6
36	21#10	10	0	22#11	18	20190902 100000	20190909 100000	8	6
37	21#1	1	0	22#1	19	20190909 100000	20190916 100000	8	6
38	21#10	10	0	22#11	19	20190909 100000	20190916 100000	8	6
39	21#1	1	0	22#1	20	20190916 100000	20190923 100000	8	6
40	21#10	10	0	22#11	20	20190916 100000	20190923 100000	8	6
41	21#1	1	0	22#1	21	20190923 100000	20190930 100000	8	6
42	21#10	10	0	22#11	21	20190923 100000	20190930 100000	8	6
43	21#1	1	0	22#1	22	20190930 100000	20191007 100000	8	6
44	21#10	10	0	22#11	22	20190930 100000	20191007 100000	8	6
45	21#1	1	0	22#1	23	20191007 100000	20191014 100000	8	6
46	21#10	10	0	22#11	23	20191007 100000	20191014 100000	8	6
47	21#1	1	0	22#1	24	20191014 100000	20191021 100000	8	6
48	21#10	10	0	22#11	24	20191014 100000	20191021 100000	8	6
49	21#1	1	0	22#1	25	20191021 100000	20191028 100000	8	6
50	21#10	10	0	22#11	25	20191021 100000	20191028 100000	8	6
51	21#1	1	0	22#1	26	20191028 100000	20191104 100000	8	6
52	21#10	10	0	22#11	26	20191028 100000	20191104 100000	8	6
53	21#1	1	0	22#1	27	20191104 100000	20191111 100000	8	6
54	21#10	10	0	22#11	27	20191104 100000	20191111 100000	8	6
55	21#1	1	0	22#1	28	20191111 100000	20191118 100000	8	6
56	21#10	10	0	22#11	28	20191111 100000	20191118 100000	8	6
57	21#1	1	0	22#1	29	20191118 100000	20191125 100000	8	6
58	21#10	10	0	22#11	29	20191118 100000	20191125 100000	8	6
59	21#1	1	0	22#1	30	20191125 100000	20191202 100000	8	6
60	21#10	10	0	22#11	30	20191125 100000	20191202 100000	8	6
61	21#1	1	0	22#1	31	20191202 100000	20191209 100000	8	6
62	21#10	10	0	22#11	31	20191202 100000	20191209 100000	8	6
63	21#1	1	0	22#1	32	20191209 100000	20191216 100000	8	6
64	21#10	10	0	22#11	32	20191209 100000	20191216 100000	8	6
65	21#1	1	0	22#1	33	20191216 100000	20191223 100000	8	6
66	21#10	10	0	22#11	33	20191216 100000	20191223 100000	8	6
67	21#1	1	0	22#1	34	20191223 100000	20191230 100000	8	6
68	21#10	10	0	22#11	34	20191223 100000	20191230 100000	8	6
69	21#1	1	0	22#1	35	20191230 100000	20200106 100000	8	6
70	21#10	10	0	22#11	35	20191230 100000	20200106 100000	8	6
71	21#1	1	0	22#1	36	20200106 100000	20200113 100000	8	6
72	21#10	10	0	22#11	36	20200106 100000	20200113 100000	8	6
73	21#1	1	0	22#1	37	20200113 100000	20200120 100000	8	6
74	21#10	10	0	22#11	37	20200113 100000	20200120 100000	8	6
75	21#1	1	0	22#1	38	20200120 100000	20200127 100000	8	6
76	21#10	10	0	22#11	38	20200120 100000	20200127 100000	8	6
77	21#1	1	0	22#1	39	20200127 100000	20200203 100000	8	6
78	21#10	10	0	22#11	39	20200127 100000	20200203 100000	8	6
79	21#1	1	0	22#1	40	20200203 100000	20200210 100000	8	6
80	21#10	10	0	22#11	40	20200203 100000	20200210 100000	8	6
81	21#1	1	0	22#1	41	20200210 100000	20200217 100000	8	6
82	21#10	10	0	22#11	41	20200210 100000	20200217 100000	8	6
83	21#1	1	0	22#1	42	20200217 100000	20200224 100000	8	6
84	21#10	10	0	22#11	42	20200217 100000	20200224 100000	8	6
85	21#1	1	0	22#1	43	20200224 100000	20200302 100000	8	6
86	21#10	10	0	22#11	43	20200224 100000	20200302 100000	8	6
87	21#1	1	0	22#1	44	20200302 100000	20200309 100000	8	6
88	21#10	10	0	22#11	44	20200302 100000	20200309 100000	8	6
89	21#1	1	0	22#1	45	20200309 100000	20200316 100000	8	6
90	21#10	10	0	22#11	45	20200309 100000	20200316 100000	8	6
91	21#1	1	0	22#1	46	20200316 100000	20200323 100000	8	6
92	21#10	10	0	22#11	46	20200316 100000	20200323 100000	8	6
93	21#1	1	0	22#1	47	20200323 100000	20200330 100000	8	6
94	21#10	10	0	22#11	47	20200323 100000	20200330 100000	8	6
95	21#1	1	0	22#1	48	20200330 100000	20200406 100000	8	6
96	21#10	10	0	22#11	48	20200330 100000	20200406 100000	8	6
97	21#1	1	0	22#1	49	20200406 100000	20200413 100000	8	6
98	21#10	10	0	22#11	49	20200406 100000	20200413 100000	8	6
99	21#1	1	0	22#1	50	20200413 100000	20200420 100000	8	6
100	21#10	10	0	22#11	50	20200413 100000	20200420 100000	8	6
101	21#1	1	0	22#1	51	20200420 100000	20200427 100000	8	6
102	21#10	10	0	22#11	51	20200420 100000	20200427 100000	8	6
103	21#1	1	0	22#1	52	20200427 100000	20200504 100000	8	6
104	21#10	10	0	22#11	52	20200427 100000	20200504 100000	8	6
105	21#1	1	0	22#1	53	20200504 100000	20200511 100000	8	6
106	21#10	10	0	22#11	53	20200504 100000	20200511 100000	8	6
107	21#1	1	0	22#1	54	20200511 100000	20200518 100000	8	6
108	21#10	10	0	22#11	54	20200511 100000	20200518 100000	8	6
109	21#1	1	0	22#1	55	20200518 100000	20200525 100000	8	6
110	21#10	10	0	22#11	55	20200518 100000	20200525 100000	8	6
111	21#1	1	0	22#1	56	20200525 100000	20200601 100000	8	6
112	21#10	10	0	22#11	56	20200525 100000	20200601 100000	8	6
