Id	EncouragePlan	Level	TaskRequire	FreeReward	PrivilegeReward
int	int	int	int	mut,int#int,2	mut,int#int,2
1001	1	1	60	3#100000	4#300|6001020#10
1002	1	2	70	3#100000	4#300|6001020#10
1003	1	3	80	3#100000|4#100	16#500|6001020#50
1004	1	4	90	3#100000	4#300|6001020#10
1005	1	5	100	3#100000	4#300|6001020#10
1006	1	6	120	3#100000|4#100	16#500|6001020#50
1007	1	7	140	3#100000	4#300|6001020#10
1008	1	8	160	3#100000	4#300|6001020#10
1009	1	9	180	3#100000	4#300|6001020#10
1010	1	10	200	3#100000	4#300|6001020#10
1011	1	11	220	3#100000	4#300|6001020#10
1012	1	12	240	3#100000	4#300|6001020#10
1013	1	13	250	3#100000|4#100	16#500|6001020#50
2001	2	1	260	3#200000	4#500|6001020#10
2002	2	2	270	3#200000	4#500|6001020#10
2003	2	3	280	3#200000|4#100	16#500|6001020#50
2004	2	4	290	3#200000	4#500|6001020#10
2005	2	5	300	3#200000	4#500|6001020#10
2006	2	6	320	3#200000|4#100	16#500|6001020#50
2007	2	7	340	3#200000	4#500|6001020#10
2008	2	8	360	3#200000	4#500|6001020#10
2009	2	9	380	3#200000	4#500|6001020#10
2010	2	10	400	3#200000	4#500|6001020#10
2011	2	11	420	3#200000	4#500|6001020#10
2012	2	12	440	3#200000	4#500|6001020#10
2013	2	13	450	3#200000|4#100	16#500|6001020#50
3001	3	1	460	14#1000000	4#500|60402#1
3002	3	2	470	14#1000000	4#500|60402#1
3003	3	3	480	14#1000000|4#100	16#500|60403#1
3004	3	4	490	14#1000000	4#500|60402#1
3005	3	5	500	14#1000000	4#500|60402#1
3006	3	6	510	14#1000000	4#500|60402#1
3007	3	7	520	14#1000000|4#100	16#500|60403#1
3008	3	8	540	14#1000000	4#500|60402#1
3009	3	9	560	14#1000000	4#500|60402#1
3010	3	10	580	14#1000000	4#500|60402#1
3011	3	11	600	14#1000000|4#100	16#500|60403#1
4001	4	1	610	14#1500000	4#500|60402#1
4002	4	2	620	14#1500000	4#500|60402#1
4003	4	3	630	14#1500000|4#100	16#500|60403#1
4004	4	4	640	14#1500000	4#500|60402#1
4005	4	5	650	14#1500000	4#500|60402#1
4006	4	6	660	14#1500000	4#500|60402#1
4007	4	7	670	14#1500000|4#100	16#500|60403#1
4008	4	8	690	14#1500000	4#500|60402#1
4009	4	9	710	14#1500000	4#500|60402#1
4010	4	10	730	14#1500000	4#500|60402#1
4011	4	11	750	14#1500000|4#100	16#500|60403#1
5001	5	1	760	14#2000000	4#500|60402#1
5002	5	2	770	14#2000000	4#500|60402#1
5003	5	3	780	14#2000000|4#100	16#500|60403#1
5004	5	4	790	14#2000000	4#500|60402#1
5005	5	5	800	14#2000000	4#500|60402#1
5006	5	6	810	14#2000000	4#500|60402#1
5007	5	7	820	14#2000000|4#100	16#500|60403#1
5008	5	8	840	14#2000000	4#500|60402#1
5009	5	9	860	14#2000000	4#500|60402#1
5010	5	10	880	14#2000000	4#500|60402#1
5011	5	11	900	14#2000000|4#100	16#500|60403#1
6001	6	1	910	14#2000000	4#500|60402#1
6002	6	2	920	14#2000000	4#500|60402#1
6003	6	3	930	14#2000000|4#100	16#500|60403#1
6004	6	4	940	14#2000000	4#500|60402#1
6005	6	5	950	14#2000000	4#500|60402#1
6006	6	6	960	14#2000000	4#500|60402#1
6007	6	7	970	14#2000000|4#100	16#500|60403#1
6008	6	8	990	14#2000000	4#500|60402#1
6009	6	9	1010	14#2000000	4#500|60402#1
6010	6	10	1030	14#2000000	4#500|60402#1
6011	6	11	1050	14#2000000|4#100	16#500|60403#1
7001	7	1	1060	14#2000000	4#500|60402#1
7002	7	2	1070	14#2000000	4#500|60402#1
7003	7	3	1080	14#2000000|4#100	16#500|60403#1
7004	7	4	1090	14#2000000	4#500|60402#1
7005	7	5	1100	14#2000000	4#500|60402#1
7006	7	6	1110	14#2000000	4#500|60402#1
7007	7	7	1120	14#2000000|4#100	16#500|60403#1
7008	7	8	1140	14#2000000	4#500|60402#1
7009	7	9	1160	14#2000000	4#500|60402#1
7010	7	10	1180	14#2000000	4#500|60402#1
7011	7	11	1200	14#2000000|4#100	16#500|60403#1
