Id	Level	EquipTalismanaLevel	Star	Rank	EquipList	EquipSign	Props	HeroRankId	HeroStarId
int	int	int	int	int	mut,int#int,1	mut,int#int,1	mut,int#int,2	int	int
10001	255	25	10	6	60155#60180#60190#60195	5000007#5000011#5000016#5000032#5000038#5000046#5000047#5000048#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10002	255	25	10	6	60155#60180#60190#60195	5000007#5000011#5000016#5000032#5000038#5000046#5000047#5000048#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10003	255	25	10	6	60155#60180#60190#60195	5000005#5000010#5000015#5000016#5000028#5000047#5000052#5000053#5000051#5000055	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10004	255	25	10	6	60155#60180#60190#60195	5000005#5000008#5000011#5000016#5000022#5000038#5000045#5000047#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10005	255	25	10	6	60155#60180#60190#60195	5000009#5000011#5000016#5000032#5000038#5000047#5000048#5000049#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10006	255	25	10	6	60155#60180#60190#60195	5000007#5000011#5000016#5000032#5000038#5000046#5000047#5000049#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10007	255	25	10	6	60155#60180#60190#60195	5000005#5000008#5000011#5000016#5000022#5000038#5000045#5000047#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10008	255	25	10	6	60155#60180#60190#60195	5000007#5000011#5000016#5000032#5000037#5000038#5000047#5000048#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10009	255	25	10	6	60155#60180#60190#60195	5000011#5000016#5000021#5000028#5000032#5000038#5000047#5000049#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10010	255	25	10	6	60155#60180#60190#60195	5000005#5000008#5000015#5000018#5000028#5000047#5000052#5000053#5000051#5000055	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10011	255	25	10	6	60155#60180#60190#60195	5000007#5000011#5000016#5000032#5000037#5000038#5000047#5000049#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10012	255	25	10	6	60155#60180#60190#60195	5000007#5000011#5000016#5000032#5000037#5000038#5000047#5000048#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10013	255	25	10	6	60155#60180#60190#60195	5000011#5000016#5000021#5000032#5000037#5000038#5000047#5000049#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10014	255	25	10	6	60155#60180#60190#60195	5000011#5000016#5000025#5000038#5000039#5000040#5000043#5000047#5000052#5000055	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10015	255	25	10	6	60155#60180#60190#60195	5000011#5000032#5000035#5000038#5000041#5000046#5000047#5000049#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10016	255	25	10	6	60155#60180#60190#60195	5000005#5000008#5000015#5000016#5000028#5000047#5000052#5000053#5000051#5000055	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10017	255	25	10	6	60155#60180#60190#60195	5000011#5000032#5000035#5000038#5000041#5000046#5000047#5000049#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10018	255	25	10	6	60155#60180#60190#60195	5000005#5000008#5000011#5000016#5000022#5000038#5000045#5000047#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10019	255	25	10	6	60155#60180#60190#60195	5000005#5000008#5000015#5000018#5000028#5000047#5000052#5000053#5000051#5000055	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10020	255	25	10	6	60155#60180#60190#60195	5000011#5000016#5000020#5000036#5000038#5000042#5000046#5000047#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10021	255	25	10	6	60155#60180#60190#60195	5000011#5000016#5000020#5000032#5000037#5000038#5000047#5000049#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10022	255	25	10	6	60155#60180#60190#60195	5000007#5000016#5000020#5000032#5000038#5000046#5000047#5000048#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10023	255	25	10	6	60155#60180#60190#60195	5000011#5000016#5000037#5000038#5000042#5000046#5000047#5000048#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10024	255	25	10	6	60155#60180#60190#60195	5000005#5000008#5000011#5000016#5000022#5000038#5000045#5000047#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10025	205	25	9	6	60103#60128#60138#60144	5000011#5000016#5000032#5000038#5000042#5000046#5000047#5000048#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	10
10026	255	25	10	6	60155#60180#60190#60195	5000007#5000011#5000016#5000032#5000037#5000038#5000047#5000049#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10027	205	25	9	6	60103#60128#60138#60144	5000009#5000016#5000032#5000038#5000042#5000046#5000047#5000049#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	10
10028	205	25	9	6	60103#60128#60138#60144	5000011#5000016#5000032#5000038#5000042#5000046#5000047#5000049#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	10
10029	205	25	9	6	60103#60128#60138#60144	5000011#5000016#5000020#5000036#5000038#5000042#5000046#5000047#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	10
10030	205	25	9	6	60103#60128#60138#60144	5000007#5000011#5000016#5000032#5000038#5000046#5000047#5000049#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	10
10031	205	25	9	6	60103#60128#60138#60144	5000011#5000016#5000032#5000037#5000038#5000046#5000047#5000048#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	10
10032	205	25	9	6	60103#60128#60138#60144	5000007#5000011#5000016#5000032#5000037#5000038#5000047#5000048#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	10
10033	255	25	10	6	60155#60180#60190#60195	5000011#5000013#5000016#5000038#5000042#5000046#5000047#5000050#5000051#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10034	205	25	9	6	60103#60128#60138#60144	5000011#5000016#5000032#5000037#5000038#5000046#5000047#5000048#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	10
10035	205	25	9	6	60103#60128#60138#60144	5000011#5000032#5000035#5000038#5000041#5000046#5000047#5000049#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	10
10036	205	25	9	6	60103#60128#60138#60144	5000007#5000011#5000016#5000020#5000038#5000042#5000046#5000047#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	10
10037	205	25	9	6	60103#60128#60138#60144	5000007#5000011#5000016#5000030#5000038#5000046#5000047#5000049#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	10
10038	205	25	9	6	60103#60128#60138#60144	5000011#5000016#5000029#5000032#5000033#5000034#5000038#5000047#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	10
10039	205	25	9	6	60103#60128#60138#60144	5000011#5000016#5000037#5000038#5000042#5000046#5000047#5000048#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	10
10041	255	25	10	6	60155#60180#60190#60195	5000011#5000016#5000032#5000033#5000034#5000038#5000046#5000047#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10042	255	25	10	6	60155#60180#60190#60195	5000007#5000011#5000016#5000032#5000038#5000046#5000047#5000049#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10043	255	25	10	6	60155#60180#60190#60195	5000011#5000013#5000016#5000038#5000042#5000046#5000047#5000050#5000051#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10044	205	25	9	6	60103#60128#60138#60144	5000011#5000016#5000032#5000038#5000042#5000046#5000047#5000048#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	10
10045	205	25	9	6	60103#60128#60138#60144	5000011#5000013#5000016#5000038#5000042#5000046#5000047#5000050#5000051#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	10
10046	205	25	9	6	60103#60128#60138#60144	5000011#5000016#5000025#5000038#5000039#5000040#5000043#5000047#5000052#5000055	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	10
10087	255	25	10	6	60155#60180#60190#60195	5000011#5000016#5000025#5000038#5000039#5000040#5000043#5000047#5000052#5000055	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10088	255	25	10	6	60155#60180#60190#60195	5000011#5000016#5000020#5000012#5000032#5000038#5000047#5000048#5000050#5000052	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
10089	255	25	10	6	60155#60180#60190#60195	5000005#5000008#5000015#5000016#5000028#5000038#5000047#5000051#5000052#5000055	1#1800000|2#200000|3#60000|4#60000|53#10000|57#10000|58#15000	5	11
