Id	SuiteID	Quality	ProfessionLimit	Position	Star	Property	PropertyMin	PropertyMax	PassiveSkill	Pool	SecondNumMin	SecondNumMax	limit	Formula	Resource	Range	SkillPoolId	InitialLevel	IfClear	Score	IfAdjust	Adjustlimit
int	int	int	int	int	int	mut,int#int,2	mut,int#int,1	mut,int#int,1	mut,int#int,1	mut,int#int,1	int	int	int	mut,int#int,2	mut,int#int,2	mut,int#int,1	mut,int#int,1	int	int	int	int	int
60001	0	2	0	1	1	2#44	2#44	2#44	null	null	0	0	0	null	null	null	null	0	0	88	0	0
60002	0	2	0	1	2	2#53	2#53	2#53	null	null	0	0	0	null	null	null	null	0	0	106	0	0
60016	0	2	0	2	1	2#29	2#29	2#29	null	null	0	0	0	null	null	null	null	0	0	58	0	0
60017	0	2	0	2	2	2#35	2#35	2#35	null	null	0	0	0	null	null	null	null	0	0	70	0	0
60022	0	2	0	3	1	1#218	1#218	1#218	null	null	0	0	0	null	null	null	null	0	0	87	0	0
60023	0	2	0	3	2	1#263	1#263	1#263	null	null	0	0	0	null	null	null	null	0	0	105	0	0
60025	0	2	0	4	1	1#326	1#326	1#326	null	null	0	0	0	null	null	null	null	0	0	130	0	0
60026	0	2	0	4	2	1#395	1#395	1#395	null	null	0	0	0	null	null	null	null	0	0	158	0	0
60034	0	3	0	1	3	2#89	2#89	2#89	null	null	0	0	0	null	null	null	null	0	0	178	0	0
60035	0	3	0	1	4	2#114	2#114	2#114	null	null	0	0	0	null	null	null	null	0	0	228	0	0
60049	0	3	0	2	3	2#60	2#60	2#60	null	null	0	0	0	null	null	null	null	0	0	120	0	0
60050	0	3	0	2	4	2#75	2#75	2#75	null	null	0	0	0	null	null	null	null	0	0	150	0	0
60055	0	3	0	3	3	1#448	1#448	1#448	null	null	0	0	0	null	null	null	null	0	0	179	0	0
60056	0	3	0	3	4	1#567	1#567	1#567	null	null	0	0	0	null	null	null	null	0	0	227	0	0
60058	0	3	0	4	3	1#672	1#672	1#672	null	null	0	0	0	null	null	null	null	0	0	269	0	0
60059	0	3	0	4	4	1#850	1#850	1#850	null	null	0	0	0	null	null	null	null	0	0	340	0	0
60067	0	4	0	1	5	2#224	2#224	2#224	null	null	0	0	0	null	null	null	null	0	0	448	0	0
60068	0	4	0	1	6	2#289	2#289	2#289	null	null	0	0	0	null	null	null	null	0	0	578	0	0
60069	1	4	0	1	7	2#356	2#356	2#356	null	null	0	0	0	null	null	null	null	0	0	712	0	0
60082	0	4	0	2	5	2#149	2#149	2#149	null	null	0	0	0	null	null	null	null	0	0	298	0	0
60083	0	4	0	2	6	2#193	2#193	2#193	null	null	0	0	0	null	null	null	null	0	0	386	0	0
60084	1	4	0	2	7	2#237	2#237	2#237	null	null	0	0	0	null	null	null	null	0	0	474	0	0
60088	0	4	0	3	5	1#1120	1#1120	1#1120	null	null	0	0	0	null	null	null	null	0	0	448	0	0
60089	0	4	0	3	6	1#1450	1#1450	1#1450	null	null	0	0	0	null	null	null	null	0	0	580	0	0
60090	1	4	0	3	7	1#1779	1#1779	1#1779	null	null	0	0	0	null	null	null	null	0	0	712	0	0
60091	0	4	0	4	5	1#1680	1#1680	1#1680	null	null	0	0	0	null	null	null	null	0	0	672	0	0
60092	0	4	0	4	6	1#2174	1#2174	1#2174	null	null	0	0	0	null	null	null	null	0	0	870	0	0
60093	1	4	0	4	7	1#2668	1#2668	1#2668	null	null	0	0	0	null	null	null	null	0	0	1067	0	0
60100	2	5	0	1	8	2#547	2#547	2#547	null	null	0	0	0	null	null	null	null	0	0	1094	0	0
60101	3	5	0	1	9	2#665	2#665	2#665	null	null	0	0	0	null	null	null	null	0	0	1330	0	0
60102	4	5	0	1	10	2#784	2#784	2#784	null	null	0	0	0	null	null	null	null	0	0	1568	0	0
60103	5	5	0	1	11	2#896	2#896	2#896	null	null	0	0	0	null	null	null	null	0	0	1792	0	0
60125	2	5	0	2	8	2#364	2#364	2#364	null	null	0	0	0	null	null	null	null	0	0	728	0	0
60126	3	5	0	2	9	2#444	2#444	2#444	null	null	0	0	0	null	null	null	null	0	0	888	0	0
60127	4	5	0	2	10	2#523	2#523	2#523	null	null	0	0	0	null	null	null	null	0	0	1046	0	0
60128	5	5	0	2	11	2#597	2#597	2#597	null	null	0	0	0	null	null	null	null	0	0	1194	0	0
60135	2	5	0	3	8	1#2735	1#2735	1#2735	null	null	0	0	0	null	null	null	null	0	0	1094	0	0
60136	3	5	0	3	9	1#3327	1#3327	1#3327	null	null	0	0	0	null	null	null	null	0	0	1331	0	0
60137	4	5	0	3	10	1#3920	1#3920	1#3920	null	null	0	0	0	null	null	null	null	0	0	1568	0	0
60138	5	5	0	3	11	1#4480	1#4480	1#4480	null	null	0	0	0	null	null	null	null	0	0	1792	0	0
60140	2	5	0	4	8	1#4101	1#4101	1#4101	null	null	0	0	0	null	null	null	null	0	0	1640	0	0
60141	3	5	0	4	9	1#4991	1#4991	1#4991	null	null	0	0	0	null	null	null	null	0	0	1996	0	0
60142	4	5	0	4	10	1#5881	1#5881	1#5881	null	null	0	0	0	null	null	null	null	0	0	2352	0	0
60144	5	5	0	4	11	1#6720	1#6720	1#6720	null	null	0	0	0	null	null	null	null	0	0	2688	0	0
60155	6	6	0	1	12	2#1205	2#1205	2#1205	null	null	0	0	0	null	null	null	null	0	0	2410	1	1
60156	7	6	0	1	13	2#1475	2#1475	2#1475	null	null	0	0	0	null	null	null	null	0	0	2950	1	2
60157	8	6	0	1	14	2#1739|62#100	2#1739	2#1739	null	null	0	0	0	null	null	null	null	0	0	3513	1	3
60158	9	6	0	1	15	2#2002|62#200	2#2002	2#2002	null	null	0	0	0	null	null	null	null	0	0	4084	1	4
60159	10	6	0	1	16	2#3248|62#400	2#3248	2#3248	null	null	0	0	0	null	null	null	null	0	0	6756	1	5
60160	11	6	0	1	17	2#4882|62#700	2#4882	2#4882	null	null	0	0	0	null	null	null	null	0	0	10447	1	6
60180	6	6	0	2	12	2#803	2#803	2#803	null	null	0	0	0	null	null	null	null	0	0	1606	1	1
60181	7	6	0	2	13	2#983	2#983	2#983	null	null	0	0	0	null	null	null	null	0	0	1966	1	2
60182	8	6	0	2	14	2#1159|62#100	2#1159	2#1159	null	null	0	0	0	null	null	null	null	0	0	2341	1	3
60183	9	6	0	2	15	2#1335|62#200	2#1335	2#1335	null	null	0	0	0	null	null	null	null	0	0	2723	1	4
60184	10	6	0	2	16	2#2165|62#400	2#2165	2#2165	null	null	0	0	0	null	null	null	null	0	0	4503	1	5
60185	11	6	0	2	17	2#3255|62#700	2#3255	2#3255	null	null	0	0	0	null	null	null	null	0	0	6966	1	6
60190	6	6	0	3	12	1#6028	1#6028	1#6028	null	null	0	0	0	null	null	null	null	0	0	2411	1	1
60191	7	6	0	3	13	1#7380	1#7380	1#7380	null	null	0	0	0	null	null	null	null	0	0	2952	1	2
60192	8	6	0	3	14	1#8697|61#100	1#8697	1#8697	null	null	0	0	0	null	null	null	null	0	0	3514	1	3
60193	9	6	0	3	15	1#10015|61#200	1#10015	1#10015	null	null	0	0	0	null	null	null	null	0	0	4086	1	4
60194	10	6	0	3	16	1#16241|61#400	1#16241	1#16241	null	null	0	0	0	null	null	null	null	0	0	6756	1	5
60195	6	6	0	4	12	1#9043	1#9043	1#9043	null	null	0	0	0	null	null	null	null	0	0	3617	1	1
60196	7	6	0	4	13	1#11069	1#11069	1#11069	null	null	0	0	0	null	null	null	null	0	0	4428	1	2
60197	8	6	0	4	14	1#13046|61#100	1#13046	1#13046	null	null	0	0	0	null	null	null	null	0	0	5271	1	3
60198	9	6	0	4	15	1#15022|61#200	1#15022	1#15022	null	null	0	0	0	null	null	null	null	0	0	6129	1	4
60199	10	6	0	4	16	1#24361|61#400	1#24361	1#24361	null	null	0	0	0	null	null	null	null	0	0	10134	1	5
60200	11	6	0	3	17	1#24411|61#700	1#24411	1#24411	null	null	0	0	0	null	null	null	null	0	0	10448	1	6
60201	11	6	0	4	17	1#36616|61#700	1#36616	1#36616	null	null	0	0	0	null	null	null	null	0	0	15672	1	6
5000001	0	4	0	5	0	56#500	56#500	56#500	null	null	0	0	0	null	14#20000	0	null	0	0	7200	0	0
5000002	0	4	0	5	0	2#300	2#300	2#300	1000002	null	0	0	0	null	14#20000	0	null	0	0	7200	0	0
5000003	0	4	0	5	0	1#2000	1#2000	1#2000	1000003	null	0	0	0	null	14#20000	0	null	0	0	7200	0	0
5000004	0	4	0	5	0	3#100	3#100	3#100	1000004#1000060#1000062	null	0	0	0	null	14#20000	0	null	0	0	7200	0	0
5000005	0	4	0	5	0	60#800	60#800	60#800	null	null	0	0	0	null	14#20000	0	null	0	0	7200	0	0
5000006	0	4	0	5	0	55#800	55#800	55#800	null	null	0	0	0	null	14#20000	0	null	0	0	7200	0	0
5000007	0	4	0	5	0	51#500	51#500	51#500	null	null	0	0	0	null	14#20000	0	null	0	0	7200	0	0
5000008	0	4	0	5	0	52#500	52#500	52#500	null	null	0	0	0	null	14#20000	0	null	0	0	7200	0	0
5000009	0	5	0	5	0	null	null	null	1000009	null	0	0	0	null	14#20000	10005#10027	null	0	0	24000	0	0
5000010	0	5	0	5	0	null	null	null	1000010	null	0	0	0	null	14#20000	10003	null	0	0	24000	0	0
5000011	0	5	0	5	0	51#1200	51#1200	51#1200	null	null	0	0	0	null	14#20000	0	null	0	0	24000	0	0
5000012	0	5	0	5	0	null	null	null	1000012	null	0	0	0	null	14#20000	10011#10008#10002#10006#10003#10005#10020#10044#10031#10028#10045#10085#10023#10022#10010#10089#10033#10015#10012#10034#10039#10029#10030#10086#10001#10014#10016#10009#10021#10017#10087#10046#10032#10035#10036#10040#10088#10026#10019#10042#10043#10013#10041#10025#10037#10027#10038#10090	null	0	0	24000	0	0
