id	PropertyId	Max	Min	PoolNum	Weight
int	int	int	int	int	int
1001	5	65	53	1	100
1002	5	76	69	2	100
1003	5	88	80	3	100
1004	53	233	100	4	100
1005	53	367	293	5	100
1006	53	500	427	6	100
1007	53	146	63	7	100
1008	53	229	183	8	100
1009	53	313	267	9	100
1010	55	117	50	10	100
1011	55	183	147	11	100
1012	55	250	213	12	100
1013	56	117	50	13	100
1014	56	183	147	14	100
1015	56	250	213	15	100
1016	1	484	396	16	100
1017	1	572	495	17	100
1018	1	660	583	18	100
1019	60	140	60	19	100
1020	60	220	176	20	100
1021	60	300	256	21	100
1022	1	242	198	22	100
1023	1	286	248	23	100
1024	1	330	292	24	100
1025	3	44	36	25	100
1026	3	52	45	26	100
1027	3	60	53	27	100
1028	4	44	36	28	100
1029	4	52	45	29	100
1030	4	60	53	30	100
1031	3	44	36	31	100
1032	3	52	45	32	100
1033	3	60	53	33	100
1034	4	44	36	34	100
1035	4	52	45	35	100
1036	4	60	53	36	100
1037	1	484	396	37	100
1038	1	572	495	38	100
1039	1	660	583	39	100
1040	3	44	36	40	100
1041	3	52	45	41	100
1042	3	60	53	42	100
1043	4	44	36	43	100
1044	4	52	45	44	100
1045	4	60	53	45	100
1046	2	44	36	46	100
1047	2	52	45	47	100
1048	2	60	53	48	100
1049	3	44	36	49	100
1050	3	52	45	50	100
1051	3	60	53	51	100
1052	4	44	36	52	100
1053	4	52	45	53	100
1054	4	60	53	54	100
1055	5	88	72	55	100
1056	5	104	92	56	100
1057	5	120	108	57	100
1058	53	667	500	58	100
1059	53	833	727	59	100
1060	53	1000	893	60	100
1061	53	333	250	61	100
1062	53	417	363	62	100
1063	53	500	447	63	100
1064	55	333	250	64	100
1065	55	417	363	65	100
1066	55	500	447	66	100
1067	56	333	250	67	100
1068	56	417	363	68	100
1069	56	500	447	69	100
1070	1	807	660	70	100
1071	1	953	818	71	100
1072	1	1100	964	72	100
1073	60	400	300	73	100
1074	60	500	436	74	100
1075	60	600	536	75	100
1076	58	351	302	76	100
1077	58	401	381	77	100
1078	58	450	431	78	100
1079	57	351	302	79	100
1080	57	401	381	80	100
1081	57	450	431	81	100
1082	1	403	330	82	100
1083	1	477	409	83	100
1084	1	550	482	84	100
1085	58	351	302	85	100
1086	58	401	381	86	100
1087	58	450	431	87	100
1088	57	351	302	88	100
1089	57	401	381	89	100
1090	57	450	431	90	100
1091	3	73	60	91	100
1092	3	87	74	92	100
1093	3	100	88	93	100
1094	4	73	60	94	100
1095	4	87	74	95	100
1096	4	100	88	96	100
1097	55	133	100	97	100
1098	55	167	145	98	100
1099	55	200	179	99	100
1100	56	133	100	100	100
1101	56	167	145	101	100
1102	56	200	179	102	100
1103	3	73	60	103	100
1104	3	87	74	104	100
1105	3	100	88	105	100
1106	4	73	60	106	100
1107	4	87	74	107	100
1108	4	100	88	108	100
1109	58	468	402	109	100
1110	58	534	508	110	100
1111	58	600	574	111	100
1112	57	468	402	112	100
1113	57	534	508	113	100
1114	57	600	574	114	100
1115	55	200	150	115	100
1116	55	250	218	116	100
1117	55	300	268	117	100
1118	56	200	150	118	100
1119	56	250	218	119	100
1120	56	300	268	120	100
1121	61	197	170	121	100
1122	61	223	222	122	100
1123	61	250	248	123	100
1124	1	807	660	124	100
1125	1	953	818	125	100
1126	1	1100	964	126	100
1127	3	73	60	127	100
1128	3	87	74	128	100
1129	3	100	88	129	100
1130	4	73	60	130	100
1131	4	87	74	131	100
1132	4	100	88	132	100
1133	2	73	60	133	100
1134	2	87	74	134	100
1135	2	100	88	135	100
1136	61	197	170	136	100
1137	61	223	222	137	100
1138	61	250	248	138	100
1139	3	73	60	139	100
1140	3	87	74	140	100
1141	3	100	88	141	100
1142	4	73	60	142	100
1143	4	87	74	143	100
1144	4	100	88	144	100
1145	5	143	126	145	100
1146	5	160	147	146	100
1147	5	176	164	147	100
1148	5	193	180	148	100
1149	5	210	197	149	100
1150	53	1104	1005	150	100
1151	53	1203	1124	151	100
1152	53	1302	1223	152	100
1153	53	1401	1322	153	100
1154	53	1500	1421	154	100
1155	53	581	529	155	100
1156	53	633	592	156	100
1157	53	685	644	157	100
1158	53	737	696	158	100
1159	53	789	748	159	100
1160	55	552	503	160	100
1161	55	602	562	161	100
1162	55	651	612	162	100
1163	55	701	661	163	100
1164	55	750	711	164	100
1165	56	552	503	165	100
1166	56	602	562	166	100
1167	56	651	612	167	100
1168	56	701	661	168	100
1169	56	750	711	169	100
1170	101	360	300	170	100
1171	101	420	370	171	100
1172	101	480	430	172	100
1173	101	540	490	173	100
1174	101	600	550	174	100
1175	102	360	300	170	100
1176	102	420	370	171	100
1177	102	480	430	172	100
1178	102	540	490	173	100
1179	102	600	550	174	100
1180	103	360	300	170	100
1181	103	420	370	171	100
1182	103	480	430	172	100
1183	103	540	490	173	100
1184	103	600	550	174	100
1185	104	360	300	170	100
1186	104	420	370	171	100
1187	104	480	430	172	100
1188	104	540	490	173	100
1189	104	600	550	174	100
1190	105	360	300	170	100
1191	105	420	370	171	100
1192	105	480	430	172	100
1193	105	540	490	173	100
1194	105	600	550	174	100
1195	106	360	300	170	100
1196	106	420	370	171	100
1197	106	480	430	172	100
1198	106	540	490	173	100
1199	106	600	550	174	100
1200	1	1663	1502	200	100
1201	1	1825	1718	201	100
1202	1	1987	1880	202	100
1203	1	2148	2042	203	100
1204	1	2310	2203	204	100
1205	60	662	603	205	100
1206	60	722	674	206	100
1207	60	781	734	207	100
1208	60	841	793	208	100
1209	60	900	853	209	100
1210	58	480	450	210	100
1211	58	510	495	211	100
1212	58	540	525	212	100
1213	58	570	555	213	100
1214	58	600	585	214	100
1215	57	480	450	215	100
1216	57	510	495	216	100
1217	57	540	525	217	100
1218	57	570	555	218	100
1219	57	600	585	219	100
1220	107	360	300	220	100
1221	107	420	370	221	100
1222	107	480	430	222	100
1223	107	540	490	223	100
1224	107	600	550	224	100
1225	108	360	300	220	100
1226	108	420	370	221	100
1227	108	480	430	222	100
1228	108	540	490	223	100
1229	108	600	550	224	100
1230	109	360	300	220	100
1231	109	420	370	221	100
1232	109	480	430	222	100
1233	109	540	490	223	100
1234	109	600	550	224	100
1235	110	360	300	220	100
1236	110	420	370	221	100
1237	110	480	430	222	100
1238	110	540	490	223	100
1239	110	600	550	224	100
1240	111	360	300	220	100
1241	111	420	370	221	100
1242	111	480	430	222	100
1243	111	540	490	223	100
1244	111	600	550	224	100
1245	112	360	300	220	100
1246	112	420	370	221	100
1247	112	480	430	222	100
1248	112	540	490	223	100
1249	112	600	550	224	100
1250	1	832	751	250	100
1251	1	912	859	251	100
1252	1	993	940	252	100
1253	1	1074	1021	253	100
1254	1	1155	1102	254	100
1255	58	480	450	255	100
1256	58	510	495	256	100
1257	58	540	525	257	100
1258	58	570	555	258	100
1259	58	600	585	259	100
1260	57	480	450	260	100
1261	57	510	495	261	100
1262	57	540	525	262	100
1263	57	570	555	263	100
1264	57	600	585	264	100
1265	3	151	137	265	100
1266	3	166	156	266	100
1267	3	181	171	267	100
1268	3	195	186	268	100
1269	3	210	200	269	100
1270	4	151	137	270	100
1271	4	166	156	271	100
1272	4	181	171	272	100
1273	4	195	186	273	100
1274	4	210	200	274	100
1275	55	221	201	275	100
1276	55	241	225	276	100
1277	55	260	245	277	100
1278	55	280	264	278	100
1279	55	300	284	279	100
1280	56	221	201	280	100
1281	56	241	225	281	100
1282	56	260	245	282	100
1283	56	280	264	283	100
1284	56	300	284	284	100
1285	3	151	137	285	100
1286	3	166	156	286	100
1287	3	181	171	287	100
1288	3	195	186	288	100
1289	3	210	200	289	100
1290	4	151	137	290	100
1291	4	166	156	291	100
1292	4	181	171	292	100
1293	4	195	186	293	100
1294	4	210	200	294	100
1295	60	442	402	295	100
1296	60	481	450	296	100
1297	60	521	489	297	100
1298	60	560	529	298	100
1299	60	600	568	299	100
1300	58	640	600	300	100
1301	58	680	660	301	100
1302	58	720	700	302	100
1303	58	760	740	303	100
1304	58	800	780	304	100
1305	57	640	600	305	100
1306	57	680	660	306	100
1307	57	720	700	307	100
1308	57	760	740	308	100
1309	57	800	780	309	100
1310	55	331	302	310	100
1311	55	361	337	311	100
1312	55	391	367	312	100
1313	55	420	397	313	100
1314	55	450	426	314	100
1315	56	480	450	315	100
1316	56	510	495	316	100
1317	56	540	525	317	100
1318	56	570	555	318	100
1319	56	600	585	319	100
1320	61	300	250	320	100
1321	61	350	310	321	100
1322	61	400	360	322	100
1323	61	450	410	323	100
1324	61	500	460	324	100
1325	1	1663	1502	325	100
1326	1	1825	1718	326	100
1327	1	1987	1880	327	100
1328	1	2148	2042	328	100
1329	1	2310	2203	329	100
1330	3	151	137	330	100
1331	3	166	156	331	100
1332	3	181	171	332	100
1333	3	195	186	333	100
1334	3	210	200	334	100
1335	4	151	137	335	100
1336	4	166	156	336	100
1337	4	181	171	337	100
1338	4	195	186	338	100
1339	4	210	200	339	100
1340	2	151	137	340	100
1341	2	166	156	341	100
1342	2	181	171	342	100
1343	2	195	186	343	100
1344	2	210	200	344	100
1345	61	300	250	345	100
1346	61	350	310	346	100
1347	61	400	360	347	100
1348	61	450	410	348	100
1349	61	500	460	349	100
1350	3	151	137	350	100
1351	3	166	156	351	100
1352	3	181	171	352	100
1353	3	195	186	353	100
1354	3	210	200	354	100
1355	4	151	137	355	100
1356	4	166	156	356	100
1357	4	181	171	357	100
1358	4	195	186	358	100
1359	4	210	200	359	100
1360	5	218	192	360	100
1361	5	243	222	361	100
1362	5	269	247	362	100
1363	5	294	273	363	100
1364	5	320	298	364	100
1365	53	1600	1500	365	100
1366	53	1700	1620	366	100
1367	53	1800	1720	367	100
1368	53	1900	1820	368	100
1369	53	2000	1920	369	100
1370	53	800	750	370	100
1371	53	850	810	371	100
1372	53	900	860	372	100
1373	53	950	910	373	100
1374	53	1000	960	374	100
1375	55	800	750	375	100
1376	55	850	810	376	100
1377	55	900	860	377	100
1378	55	950	910	378	100
1379	55	1000	960	379	100
1380	56	800	750	380	100
1381	56	850	810	381	100
1382	56	900	860	382	100
1383	56	950	910	383	100
1384	56	1000	960	384	100
1385	101	760	700	385	100
1386	101	820	770	386	100
1387	101	880	830	387	100
1388	101	940	890	388	100
1389	101	1000	950	389	100
1390	102	760	700	385	100
1391	102	820	770	386	100
1392	102	880	830	387	100
1393	102	940	890	388	100
1394	102	1000	950	389	100
1395	103	760	700	385	100
1396	103	820	770	386	100
1397	103	880	830	387	100
1398	103	940	890	388	100
1399	103	1000	950	389	100
1400	104	760	700	385	100
1401	104	820	770	386	100
1402	104	880	830	387	100
1403	104	940	890	388	100
1404	104	1000	950	389	100
1405	105	760	700	385	100
1406	105	820	770	386	100
1407	105	880	830	387	100
1408	105	940	890	388	100
1409	105	1000	950	389	100
1410	106	760	700	385	100
1411	106	820	770	386	100
1412	106	880	830	387	100
1413	106	940	890	388	100
1414	106	1000	950	389	100
1415	1	3010	2772	415	100
1416	1	3247	3098	416	100
1417	1	3485	3335	417	100
1418	1	3722	3573	418	100
1419	1	3960	3810	419	100
1420	60	960	900	420	100
1421	60	1020	972	421	100
1422	60	1080	1032	422	100
1423	60	1140	1092	423	100
1424	60	1200	1152	424	100
1425	58	684	630	425	100
1426	58	738	699	426	100
1427	58	792	753	427	100
1428	58	846	807	428	100
1429	58	900	861	429	100
1430	57	684	630	430	100
1431	57	738	699	431	100
1432	57	792	753	432	100
1433	57	846	807	433	100
1434	57	900	861	434	100
1435	107	760	700	435	100
1436	107	820	770	436	100
1437	107	880	830	437	100
1438	107	940	890	438	100
1439	107	1000	950	439	100
1440	108	760	700	435	100
1441	108	820	770	436	100
1442	108	880	830	437	100
1443	108	940	890	438	100
1444	108	1000	950	439	100
1445	109	760	700	435	100
1446	109	820	770	436	100
1447	109	880	830	437	100
1448	109	940	890	438	100
1449	109	1000	950	439	100
1450	110	760	700	435	100
1451	110	820	770	436	100
1452	110	880	830	437	100
1453	110	940	890	438	100
1454	110	1000	950	439	100
1455	111	760	700	435	100
1456	111	820	770	436	100
1457	111	880	830	437	100
1458	111	940	890	438	100
1459	111	1000	950	439	100
1460	112	760	700	435	100
1461	112	820	770	436	100
1462	112	880	830	437	100
1463	112	940	890	438	100
1464	112	1000	950	439	100
1465	1	1505	1386	465	100
1466	1	1624	1549	466	100
1467	1	1742	1668	467	100
1468	1	1861	1786	468	100
1469	1	1980	1905	469	100
1470	58	684	630	470	100
1471	58	738	699	471	100
1472	58	792	753	472	100
1473	58	846	807	473	100
1474	58	900	861	474	100
1475	57	684	630	475	100
1476	57	738	699	476	100
1477	57	792	753	477	100
1478	57	846	807	478	100
1479	57	900	861	479	100
1480	3	274	252	480	100
1481	3	295	282	481	100
1482	3	317	303	482	100
1483	3	338	325	483	100
1484	3	360	346	484	100
1485	4	274	252	485	100
1486	4	295	282	486	100
1487	4	317	303	487	100
1488	4	338	325	488	100
1489	4	360	346	489	100
1490	55	320	300	490	100
