Id	TalismanaId	Level	RankupBasicMaterial	RankupConsumeMaterial	Property	Resolve	OpenSkillRules	SpecialProperty	SpecialSkill
int	int	int	mut,int#int,2	mut,int#int,2	mut,int#int,2	mut,int#int,2	mut,int#int,1	mut,int#int,2	mut,int#int,2
1	90001	1	14#6000		2#450|1#3000|3#150|4#150		null		
76	90002	1	14#6000		2#450|1#3000|3#150|4#150		null		
151	90003	1	14#6000		2#450|1#3000|3#150|4#150				
226	90004	1	14#6000		2#450|1#3000|3#150|4#150				
301	90005	1	14#6000		2#450|1#3000|3#150|4#150				
302	90005	2	14#8000		2#495|1#3300|3#165|4#165				
303	90005	3	14#10000		2#540|1#3600|3#180|4#180				
304	90005	4	14#12000		2#585|1#3900|3#195|4#195				
305	90005	5	14#30000|1001#5000		2#630|1#4200|3#210|4#210		105201		
306	90005	6	14#36000|1001#5000		2#687|1#4580|3#229|4#229		null		
307	90005	7	14#42000|1001#5000		2#744|1#4960|3#248|4#248		null		
308	90005	8	14#48000|1001#5000		2#801|1#5340|3#267|4#267		null		
309	90005	9	14#54000|1001#5000		2#858|1#5720|3#286|4#286		null		
310	90005	10	14#88000|1001#10000		2#915|1#6100|3#305|4#305		105202		
311	90005	11	14#98000|1001#10000		2#996|1#6640|3#332|4#332		null		
312	90005	12	14#108000|1001#10000		2#1077|1#7180|3#359|4#359		null		
313	90005	13	14#118000|1001#10000		2#1158|1#7720|3#386|4#386		null		
314	90005	14	14#128000|1001#10000		2#1239|1#8260|3#413|4#413		null		
315	90005	15	14#190000|1001#15000		2#1320|1#8800|3#440|4#440		105203		
316	90005	16	14#204000|1001#15000		2#1413|1#9420|3#471|4#471		null		
317	90005	17	14#218000|1001#15000		2#1506|1#10040|3#502|4#502		null		
318	90005	18	14#232000|1001#15000		2#1599|1#10660|3#533|4#533		null		
319	90005	19	14#246000|1001#15000		2#1692|1#11280|3#564|4#564		null		
320	90005	20	14#348000|1001#20000		2#1785|1#11900|3#595|4#595		105204		
321	90005	21	14#366000|1001#20000		2#1902|1#12680|3#634|4#634		null		
322	90005	22	14#384000|1001#20000		2#2019|1#13460|3#673|4#673		null		
323	90005	23	14#402000|1001#20000		2#2136|1#14240|3#712|4#712		null		
324	90005	24	14#420000|1001#20000		2#2253|1#15020|3#751|4#751		null		
325	90005	25	14#502000|1001#25000		2#2370|1#15800|3#790|4#790		105205		
326	90005	26	14#524000|1001#25000		2#2499|1#16660|3#833|4#833		null		
327	90005	27	14#546000|1001#25000		2#2628|1#17520|3#876|4#876		null		
328	90005	28	14#568000|1001#25000		2#2757|1#18380|3#919|4#919		null		
329	90005	29	14#590000|1001#25000		2#2886|1#19240|3#962|4#962		null		
330	90005	30	14#684000|1001#30000		2#3015|1#20100|3#1005|4#1005		105206		
331	90005	31	14#710000|1001#30000		2#3168|1#21120|3#1056|4#1056		null		
332	90005	32	14#736000|1001#30000		2#3321|1#22140|3#1107|4#1107		null		
333	90005	33	14#762000|1001#30000		2#3474|1#23160|3#1158|4#1158		null		
334	90005	34	14#788000|1001#30000		2#3627|1#24180|3#1209|4#1209		null		
335	90005	35	14#894000|1001#35000		2#3780|1#25200|3#1260|4#1260		105207		
336	90005	36	14#924000|1001#35000		2#3945|1#26300|3#1315|4#1315		null		
337	90005	37	14#954000|1001#35000		2#4110|1#27400|3#1370|4#1370		null		
338	90005	38	14#984000|1001#35000		2#4275|1#28500|3#1425|4#1425		null		
339	90005	39	14#1014000|1001#35000		2#4440|1#29600|3#1480|4#1480		null		
340	90005	40	14#1132000|1001#40000		2#4605|1#30700|3#1535|4#1535		105208		
341	90005	41	14#1166000|1001#40000		2#4794|1#31960|3#1598|4#1598		null		
342	90005	42	14#1200000|1001#40000		2#4983|1#33220|3#1661|4#1661		null		
343	90005	43	14#1234000|1001#40000		2#5172|1#34480|3#1724|4#1724		null		
344	90005	44	14#1268000|1001#40000		2#5361|1#35740|3#1787|4#1787		null		
345	90005	45	14#1398000|1001#45000		2#5550|1#37000|3#1850|4#1850		105209		
346	90005	46	14#1436000|1001#45000		2#5751|1#38340|3#1917|4#1917		null		
347	90005	47	14#1474000|1001#45000		2#5952|1#39680|3#1984|4#1984		null		
348	90005	48	14#1512000|1001#45000		2#6153|1#41020|3#2051|4#2051		null		
349	90005	49	14#1550000|1001#45000		2#6354|1#42360|3#2118|4#2118		null		
350	90005	50	14#1692000|1001#50000		2#6555|1#43700|3#2185|4#2185		105210		
351	90005	51	14#1734000|1001#50000		2#6780|1#45200|3#2260|4#2260		null		
352	90005	52	14#1776000|1001#50000		2#7005|1#46700|3#2335|4#2335		null		
353	90005	53	14#1818000|1001#50000		2#7230|1#48200|3#2410|4#2410		null		
354	90005	54	14#1860000|1001#50000		2#7455|1#49700|3#2485|4#2485		null		
355	90005	55	14#1882000|1001#55000		2#7680|1#51200|3#2560|4#2560		105211		
356	90005	56	14#1906000|1001#55000		2#7917|1#52780|3#2639|4#2639		null		
357	90005	57	14#1930000|1001#55000		2#8154|1#54360|3#2718|4#2718		null		
358	90005	58	14#1954000|1001#55000		2#8391|1#55940|3#2797|4#2797		null		
359	90005	59	14#1978000|1001#55000		2#8628|1#57520|3#2876|4#2876		null		
360	90005	60	14#2110000|1001#60000		2#8865|1#59100|3#2955|4#2955		105212		
361	90005	61	14#2136000|1001#60000		2#9135|1#60900|3#3045|4#3045		null		
362	90005	62	14#2162000|1001#60000		2#9405|1#62700|3#3135|4#3135		null		
363	90005	63	14#2188000|1001#60000		2#9675|1#64500|3#3225|4#3225		null		
364	90005	64	14#2214000|1001#60000		2#9945|1#66300|3#3315|4#3315		null		
365	90005	65	14#2356000|1001#65000		2#10215|1#68100|3#3405|4#3405		105213		
366	90005	66	14#2384000|1001#65000		2#10497|1#69980|3#3499|4#3499		null		
367	90005	67	14#2412000|1001#65000		2#10779|1#71860|3#3593|4#3593		null		
368	90005	68	14#2440000|1001#65000		2#11061|1#73740|3#3687|4#3687		null		
369	90005	69	14#2468000|1001#65000		2#11343|1#75620|3#3781|4#3781		null		
370	90005	70	14#2620000|1001#70000		2#11625|1#77500|3#3875|4#3875		105214		
371	90005	71	14#2650000|1001#70000		2#11940|1#79600|3#3980|4#3980		null		
372	90005	72	14#2680000|1001#70000		2#12255|1#81700|3#4085|4#4085		null		
373	90005	73	14#2710000|1001#70000		2#12570|1#83800|3#4190|4#4190		null		
374	90005	74	14#2740000|1001#70000		2#12885|1#85900|3#4295|4#4295		null		
375	90005	75	14#2902000|1001#75000		2#13200|1#88000|3#4400|4#4400		105215		
376	90006	1	14#6000		2#450|1#3000|3#150|4#150				
377	90006	2	14#8000		2#495|1#3300|3#165|4#165				
378	90006	3	14#10000		2#540|1#3600|3#180|4#180				
379	90006	4	14#12000		2#585|1#3900|3#195|4#195				
380	90006	5	14#30000|1001#5000		2#630|1#4200|3#210|4#210		106201		
381	90006	6	14#36000|1001#5000		2#687|1#4580|3#229|4#229		null		
382	90006	7	14#42000|1001#5000		2#744|1#4960|3#248|4#248		null		
383	90006	8	14#48000|1001#5000		2#801|1#5340|3#267|4#267		null		
384	90006	9	14#54000|1001#5000		2#858|1#5720|3#286|4#286		null		
385	90006	10	14#88000|1001#10000		2#915|1#6100|3#305|4#305		106202		
386	90006	11	14#98000|1001#10000		2#996|1#6640|3#332|4#332		null		
387	90006	12	14#108000|1001#10000		2#1077|1#7180|3#359|4#359		null		
388	90006	13	14#118000|1001#10000		2#1158|1#7720|3#386|4#386		null		
389	90006	14	14#128000|1001#10000		2#1239|1#8260|3#413|4#413		null		
390	90006	15	14#190000|1001#15000		2#1320|1#8800|3#440|4#440		106203		
391	90006	16	14#204000|1001#15000		2#1413|1#9420|3#471|4#471		null		
392	90006	17	14#218000|1001#15000		2#1506|1#10040|3#502|4#502		null		
393	90006	18	14#232000|1001#15000		2#1599|1#10660|3#533|4#533		null		
394	90006	19	14#246000|1001#15000		2#1692|1#11280|3#564|4#564		null		
395	90006	20	14#348000|1001#20000		2#1785|1#11900|3#595|4#595		106204		
396	90006	21	14#366000|1001#20000		2#1902|1#12680|3#634|4#634		null		
397	90006	22	14#384000|1001#20000		2#2019|1#13460|3#673|4#673		null		
398	90006	23	14#402000|1001#20000		2#2136|1#14240|3#712|4#712		null		
399	90006	24	14#420000|1001#20000		2#2253|1#15020|3#751|4#751		null		
400	90006	25	14#502000|1001#25000		2#2370|1#15800|3#790|4#790		106205		
401	90006	26	14#524000|1001#25000		2#2499|1#16660|3#833|4#833		null		
402	90006	27	14#546000|1001#25000		2#2628|1#17520|3#876|4#876		null		
403	90006	28	14#568000|1001#25000		2#2757|1#18380|3#919|4#919		null		
404	90006	29	14#590000|1001#25000		2#2886|1#19240|3#962|4#962		null		
405	90006	30	14#684000|1001#30000		2#3015|1#20100|3#1005|4#1005		106206		
406	90006	31	14#710000|1001#30000		2#3168|1#21120|3#1056|4#1056		null		
407	90006	32	14#736000|1001#30000		2#3321|1#22140|3#1107|4#1107		null		
408	90006	33	14#762000|1001#30000		2#3474|1#23160|3#1158|4#1158		null		
409	90006	34	14#788000|1001#30000		2#3627|1#24180|3#1209|4#1209		null		
410	90006	35	14#894000|1001#35000		2#3780|1#25200|3#1260|4#1260		106207		
411	90006	36	14#924000|1001#35000		2#3945|1#26300|3#1315|4#1315		null		
412	90006	37	14#954000|1001#35000		2#4110|1#27400|3#1370|4#1370		null		
413	90006	38	14#984000|1001#35000		2#4275|1#28500|3#1425|4#1425		null		
414	90006	39	14#1014000|1001#35000		2#4440|1#29600|3#1480|4#1480		null		
415	90006	40	14#1132000|1001#40000		2#4605|1#30700|3#1535|4#1535		106208		
416	90006	41	14#1166000|1001#40000		2#4794|1#31960|3#1598|4#1598		null		
417	90006	42	14#1200000|1001#40000		2#4983|1#33220|3#1661|4#1661		null		
418	90006	43	14#1234000|1001#40000		2#5172|1#34480|3#1724|4#1724		null		
419	90006	44	14#1268000|1001#40000		2#5361|1#35740|3#1787|4#1787		null		
420	90006	45	14#1398000|1001#45000		2#5550|1#37000|3#1850|4#1850		106209		
421	90006	46	14#1436000|1001#45000		2#5751|1#38340|3#1917|4#1917		null		
422	90006	47	14#1474000|1001#45000		2#5952|1#39680|3#1984|4#1984		null		
423	90006	48	14#1512000|1001#45000		2#6153|1#41020|3#2051|4#2051		null		
424	90006	49	14#1550000|1001#45000		2#6354|1#42360|3#2118|4#2118		null		
425	90006	50	14#1692000|1001#50000		2#6555|1#43700|3#2185|4#2185		106210		
426	90006	51	14#1734000|1001#50000		2#6780|1#45200|3#2260|4#2260		null		
427	90006	52	14#1776000|1001#50000		2#7005|1#46700|3#2335|4#2335		null		
428	90006	53	14#1818000|1001#50000		2#7230|1#48200|3#2410|4#2410		null		
429	90006	54	14#1860000|1001#50000		2#7455|1#49700|3#2485|4#2485		null		
430	90006	55	14#1882000|1001#55000		2#7680|1#51200|3#2560|4#2560		106211		
431	90006	56	14#1906000|1001#55000		2#7917|1#52780|3#2639|4#2639		null		
432	90006	57	14#1930000|1001#55000		2#8154|1#54360|3#2718|4#2718		null		
433	90006	58	14#1954000|1001#55000		2#8391|1#55940|3#2797|4#2797		null		
434	90006	59	14#1978000|1001#55000		2#8628|1#57520|3#2876|4#2876		null		
435	90006	60	14#2110000|1001#60000		2#8865|1#59100|3#2955|4#2955		106212		
436	90006	61	14#2136000|1001#60000		2#9135|1#60900|3#3045|4#3045		null		
437	90006	62	14#2162000|1001#60000		2#9405|1#62700|3#3135|4#3135		null		
438	90006	63	14#2188000|1001#60000		2#9675|1#64500|3#3225|4#3225		null		
439	90006	64	14#2214000|1001#60000		2#9945|1#66300|3#3315|4#3315		null		
440	90006	65	14#2356000|1001#65000		2#10215|1#68100|3#3405|4#3405		106213		
441	90006	66	14#2384000|1001#65000		2#10497|1#69980|3#3499|4#3499		null		
442	90006	67	14#2412000|1001#65000		2#10779|1#71860|3#3593|4#3593		null		
443	90006	68	14#2440000|1001#65000		2#11061|1#73740|3#3687|4#3687		null		
444	90006	69	14#2468000|1001#65000		2#11343|1#75620|3#3781|4#3781		null		
445	90006	70	14#2620000|1001#70000		2#11625|1#77500|3#3875|4#3875		106214		
446	90006	71	14#2650000|1001#70000		2#11940|1#79600|3#3980|4#3980		null		
447	90006	72	14#2680000|1001#70000		2#12255|1#81700|3#4085|4#4085		null		
448	90006	73	14#2710000|1001#70000		2#12570|1#83800|3#4190|4#4190		null		
449	90006	74	14#2740000|1001#70000		2#12885|1#85900|3#4295|4#4295		null		
450	90006	75	14#2902000|1001#75000		2#13200|1#88000|3#4400|4#4400		106215		
451	90007	1	14#6000		2#450|1#3000|3#150|4#150				
452	90007	2	14#8000		2#495|1#3300|3#165|4#165				
453	90007	3	14#10000		2#540|1#3600|3#180|4#180				
454	90007	4	14#12000		2#585|1#3900|3#195|4#195				
455	90007	5	14#30000|1001#5000		2#630|1#4200|3#210|4#210		107201		
456	90007	6	14#36000|1001#5000		2#687|1#4580|3#229|4#229		null		
457	90007	7	14#42000|1001#5000		2#744|1#4960|3#248|4#248		null		
458	90007	8	14#48000|1001#5000		2#801|1#5340|3#267|4#267		null		
459	90007	9	14#54000|1001#5000		2#858|1#5720|3#286|4#286		null		
460	90007	10	14#88000|1001#10000		2#915|1#6100|3#305|4#305		107202		
461	90007	11	14#98000|1001#10000		2#996|1#6640|3#332|4#332		null		
462	90007	12	14#108000|1001#10000		2#1077|1#7180|3#359|4#359		null		
463	90007	13	14#118000|1001#10000		2#1158|1#7720|3#386|4#386		null		
464	90007	14	14#128000|1001#10000		2#1239|1#8260|3#413|4#413		null		
465	90007	15	14#190000|1001#15000		2#1320|1#8800|3#440|4#440		107203		
466	90007	16	14#204000|1001#15000		2#1413|1#9420|3#471|4#471		null		
467	90007	17	14#218000|1001#15000		2#1506|1#10040|3#502|4#502		null		
468	90007	18	14#232000|1001#15000		2#1599|1#10660|3#533|4#533		null		
469	90007	19	14#246000|1001#15000		2#1692|1#11280|3#564|4#564		null		
470	90007	20	14#348000|1001#20000		2#1785|1#11900|3#595|4#595		107204		
471	90007	21	14#366000|1001#20000		2#1902|1#12680|3#634|4#634		null		
472	90007	22	14#384000|1001#20000		2#2019|1#13460|3#673|4#673		null		
473	90007	23	14#402000|1001#20000		2#2136|1#14240|3#712|4#712		null		
474	90007	24	14#420000|1001#20000		2#2253|1#15020|3#751|4#751		null		
475	90007	25	14#502000|1001#25000		2#2370|1#15800|3#790|4#790		107205		
476	90007	26	14#524000|1001#25000		2#2499|1#16660|3#833|4#833		null		
477	90007	27	14#546000|1001#25000		2#2628|1#17520|3#876|4#876		null		
478	90007	28	14#568000|1001#25000		2#2757|1#18380|3#919|4#919		null		
479	90007	29	14#590000|1001#25000		2#2886|1#19240|3#962|4#962		null		
480	90007	30	14#684000|1001#30000		2#3015|1#20100|3#1005|4#1005		107206		
481	90007	31	14#710000|1001#30000		2#3168|1#21120|3#1056|4#1056		null		
482	90007	32	14#736000|1001#30000		2#3321|1#22140|3#1107|4#1107		null		
483	90007	33	14#762000|1001#30000		2#3474|1#23160|3#1158|4#1158		null		
484	90007	34	14#788000|1001#30000		2#3627|1#24180|3#1209|4#1209		null		
485	90007	35	14#894000|1001#35000		2#3780|1#25200|3#1260|4#1260		107207		
486	90007	36	14#924000|1001#35000		2#3945|1#26300|3#1315|4#1315		null		
487	90007	37	14#954000|1001#35000		2#4110|1#27400|3#1370|4#1370		null		
488	90007	38	14#984000|1001#35000		2#4275|1#28500|3#1425|4#1425		null		
489	90007	39	14#1014000|1001#35000		2#4440|1#29600|3#1480|4#1480		null		
490	90007	40	14#1132000|1001#40000		2#4605|1#30700|3#1535|4#1535		107208		
491	90007	41	14#1166000|1001#40000		2#4794|1#31960|3#1598|4#1598		null		
492	90007	42	14#1200000|1001#40000		2#4983|1#33220|3#1661|4#1661		null		
493	90007	43	14#1234000|1001#40000		2#5172|1#34480|3#1724|4#1724		null		
494	90007	44	14#1268000|1001#40000		2#5361|1#35740|3#1787|4#1787		null		
495	90007	45	14#1398000|1001#45000		2#5550|1#37000|3#1850|4#1850		107209		
496	90007	46	14#1436000|1001#45000		2#5751|1#38340|3#1917|4#1917		null		
497	90007	47	14#1474000|1001#45000		2#5952|1#39680|3#1984|4#1984		null		
498	90007	48	14#1512000|1001#45000		2#6153|1#41020|3#2051|4#2051		null		
499	90007	49	14#1550000|1001#45000		2#6354|1#42360|3#2118|4#2118		null		
500	90007	50	14#1692000|1001#50000		2#6555|1#43700|3#2185|4#2185		107210		
501	90007	51	14#1734000|1001#50000		2#6780|1#45200|3#2260|4#2260		null		
502	90007	52	14#1776000|1001#50000		2#7005|1#46700|3#2335|4#2335		null		
503	90007	53	14#1818000|1001#50000		2#7230|1#48200|3#2410|4#2410		null		
504	90007	54	14#1860000|1001#50000		2#7455|1#49700|3#2485|4#2485		null		
505	90007	55	14#1882000|1001#55000		2#7680|1#51200|3#2560|4#2560		107211		
506	90007	56	14#1906000|1001#55000		2#7917|1#52780|3#2639|4#2639		null		
507	90007	57	14#1930000|1001#55000		2#8154|1#54360|3#2718|4#2718		null		
508	90007	58	14#1954000|1001#55000		2#8391|1#55940|3#2797|4#2797		null		
509	90007	59	14#1978000|1001#55000		2#8628|1#57520|3#2876|4#2876		null		
510	90007	60	14#2110000|1001#60000		2#8865|1#59100|3#2955|4#2955		107212		
511	90007	61	14#2136000|1001#60000		2#9135|1#60900|3#3045|4#3045		null		
512	90007	62	14#2162000|1001#60000		2#9405|1#62700|3#3135|4#3135		null		
513	90007	63	14#2188000|1001#60000		2#9675|1#64500|3#3225|4#3225		null		
514	90007	64	14#2214000|1001#60000		2#9945|1#66300|3#3315|4#3315		null		
515	90007	65	14#2356000|1001#65000		2#10215|1#68100|3#3405|4#3405		107213		
516	90007	66	14#2384000|1001#65000		2#10497|1#69980|3#3499|4#3499		null		
517	90007	67	14#2412000|1001#65000		2#10779|1#71860|3#3593|4#3593		null		
518	90007	68	14#2440000|1001#65000		2#11061|1#73740|3#3687|4#3687		null		
519	90007	69	14#2468000|1001#65000		2#11343|1#75620|3#3781|4#3781		null		
520	90007	70	14#2620000|1001#70000		2#11625|1#77500|3#3875|4#3875		107214		
521	90007	71	14#2650000|1001#70000		2#11940|1#79600|3#3980|4#3980		null		
522	90007	72	14#2680000|1001#70000		2#12255|1#81700|3#4085|4#4085		null		
523	90007	73	14#2710000|1001#70000		2#12570|1#83800|3#4190|4#4190		null		
524	90007	74	14#2740000|1001#70000		2#12885|1#85900|3#4295|4#4295		null		
525	90007	75	14#2902000|1001#75000		2#13200|1#88000|3#4400|4#4400		107215		
526	90008	1	14#6000		2#450|1#3000|3#150|4#150				
527	90008	2	14#8000		2#495|1#3300|3#165|4#165				
528	90008	3	14#10000		2#540|1#3600|3#180|4#180				
529	90008	4	14#12000		2#585|1#3900|3#195|4#195				
530	90008	5	14#30000|1001#5000		2#630|1#4200|3#210|4#210		108201		
531	90008	6	14#36000|1001#5000		2#687|1#4580|3#229|4#229		null		
532	90008	7	14#42000|1001#5000		2#744|1#4960|3#248|4#248		null		
533	90008	8	14#48000|1001#5000		2#801|1#5340|3#267|4#267		null		
534	90008	9	14#54000|1001#5000		2#858|1#5720|3#286|4#286		null		
535	90008	10	14#88000|1001#10000		2#915|1#6100|3#305|4#305		108202		
536	90008	11	14#98000|1001#10000		2#996|1#6640|3#332|4#332		null		
537	90008	12	14#108000|1001#10000		2#1077|1#7180|3#359|4#359		null		
538	90008	13	14#118000|1001#10000		2#1158|1#7720|3#386|4#386		null		
539	90008	14	14#128000|1001#10000		2#1239|1#8260|3#413|4#413		null		
540	90008	15	14#190000|1001#15000		2#1320|1#8800|3#440|4#440		108203		
541	90008	16	14#204000|1001#15000		2#1413|1#9420|3#471|4#471		null		
542	90008	17	14#218000|1001#15000		2#1506|1#10040|3#502|4#502		null		
543	90008	18	14#232000|1001#15000		2#1599|1#10660|3#533|4#533		null		
544	90008	19	14#246000|1001#15000		2#1692|1#11280|3#564|4#564		null		
545	90008	20	14#348000|1001#20000		2#1785|1#11900|3#595|4#595		108204		
546	90008	21	14#366000|1001#20000		2#1902|1#12680|3#634|4#634		null		
547	90008	22	14#384000|1001#20000		2#2019|1#13460|3#673|4#673		null		
548	90008	23	14#402000|1001#20000		2#2136|1#14240|3#712|4#712		null		
549	90008	24	14#420000|1001#20000		2#2253|1#15020|3#751|4#751		null		
550	90008	25	14#502000|1001#25000		2#2370|1#15800|3#790|4#790		108205		
551	90008	26	14#524000|1001#25000		2#2499|1#16660|3#833|4#833		null		
552	90008	27	14#546000|1001#25000		2#2628|1#17520|3#876|4#876		null		
553	90008	28	14#568000|1001#25000		2#2757|1#18380|3#919|4#919		null		
554	90008	29	14#590000|1001#25000		2#2886|1#19240|3#962|4#962		null		
555	90008	30	14#684000|1001#30000		2#3015|1#20100|3#1005|4#1005		108206		
556	90008	31	14#710000|1001#30000		2#3168|1#21120|3#1056|4#1056		null		
557	90008	32	14#736000|1001#30000		2#3321|1#22140|3#1107|4#1107		null		
558	90008	33	14#762000|1001#30000		2#3474|1#23160|3#1158|4#1158		null		
559	90008	34	14#788000|1001#30000		2#3627|1#24180|3#1209|4#1209		null		
560	90008	35	14#894000|1001#35000		2#3780|1#25200|3#1260|4#1260		108207		
561	90008	36	14#924000|1001#35000		2#3945|1#26300|3#1315|4#1315		null		
562	90008	37	14#954000|1001#35000		2#4110|1#27400|3#1370|4#1370		null		
563	90008	38	14#984000|1001#35000		2#4275|1#28500|3#1425|4#1425		null		
564	90008	39	14#1014000|1001#35000		2#4440|1#29600|3#1480|4#1480		null		
565	90008	40	14#1132000|1001#40000		2#4605|1#30700|3#1535|4#1535		108208		
566	90008	41	14#1166000|1001#40000		2#4794|1#31960|3#1598|4#1598		null		
567	90008	42	14#1200000|1001#40000		2#4983|1#33220|3#1661|4#1661		null		
568	90008	43	14#1234000|1001#40000		2#5172|1#34480|3#1724|4#1724		null		
569	90008	44	14#1268000|1001#40000		2#5361|1#35740|3#1787|4#1787		null		
570	90008	45	14#1398000|1001#45000		2#5550|1#37000|3#1850|4#1850		108209		
571	90008	46	14#1436000|1001#45000		2#5751|1#38340|3#1917|4#1917		null		
572	90008	47	14#1474000|1001#45000		2#5952|1#39680|3#1984|4#1984		null		
573	90008	48	14#1512000|1001#45000		2#6153|1#41020|3#2051|4#2051		null		
574	90008	49	14#1550000|1001#45000		2#6354|1#42360|3#2118|4#2118		null		
575	90008	50	14#1692000|1001#50000		2#6555|1#43700|3#2185|4#2185		108210		
576	90008	51	14#1734000|1001#50000		2#6780|1#45200|3#2260|4#2260		null		
577	90008	52	14#1776000|1001#50000		2#7005|1#46700|3#2335|4#2335		null		
578	90008	53	14#1818000|1001#50000		2#7230|1#48200|3#2410|4#2410		null		
579	90008	54	14#1860000|1001#50000		2#7455|1#49700|3#2485|4#2485		null		
580	90008	55	14#1882000|1001#55000		2#7680|1#51200|3#2560|4#2560		108211		
581	90008	56	14#1906000|1001#55000		2#7917|1#52780|3#2639|4#2639		null		
582	90008	57	14#1930000|1001#55000		2#8154|1#54360|3#2718|4#2718		null		
583	90008	58	14#1954000|1001#55000		2#8391|1#55940|3#2797|4#2797		null		
584	90008	59	14#1978000|1001#55000		2#8628|1#57520|3#2876|4#2876		null		
585	90008	60	14#2110000|1001#60000		2#8865|1#59100|3#2955|4#2955		108212		
586	90008	61	14#2136000|1001#60000		2#9135|1#60900|3#3045|4#3045		null		
587	90008	62	14#2162000|1001#60000		2#9405|1#62700|3#3135|4#3135		null		
588	90008	63	14#2188000|1001#60000		2#9675|1#64500|3#3225|4#3225		null		
589	90008	64	14#2214000|1001#60000		2#9945|1#66300|3#3315|4#3315		null		
590	90008	65	14#2356000|1001#65000		2#10215|1#68100|3#3405|4#3405		108213		
591	90008	66	14#2384000|1001#65000		2#10497|1#69980|3#3499|4#3499		null		
592	90008	67	14#2412000|1001#65000		2#10779|1#71860|3#3593|4#3593		null		
593	90008	68	14#2440000|1001#65000		2#11061|1#73740|3#3687|4#3687		null		
594	90008	69	14#2468000|1001#65000		2#11343|1#75620|3#3781|4#3781		null		
595	90008	70	14#2620000|1001#70000		2#11625|1#77500|3#3875|4#3875		108214		
596	90008	71	14#2650000|1001#70000		2#11940|1#79600|3#3980|4#3980		null		
597	90008	72	14#2680000|1001#70000		2#12255|1#81700|3#4085|4#4085		null		
598	90008	73	14#2710000|1001#70000		2#12570|1#83800|3#4190|4#4190		null		
599	90008	74	14#2740000|1001#70000		2#12885|1#85900|3#4295|4#4295		null		
600	90008	75	14#2902000|1001#75000		2#13200|1#88000|3#4400|4#4400		108215		
601	90009	1	14#6000		2#450|1#3000|3#150|4#150				
602	90009	2	14#8000		2#495|1#3300|3#165|4#165				
603	90009	3	14#10000		2#540|1#3600|3#180|4#180				
604	90009	4	14#12000		2#585|1#3900|3#195|4#195				
605	90009	5	14#30000|1001#5000		2#630|1#4200|3#210|4#210		109201		
606	90009	6	14#36000|1001#5000		2#687|1#4580|3#229|4#229		null		
607	90009	7	14#42000|1001#5000		2#744|1#4960|3#248|4#248		null		
608	90009	8	14#48000|1001#5000		2#801|1#5340|3#267|4#267		null		
609	90009	9	14#54000|1001#5000		2#858|1#5720|3#286|4#286		null		
610	90009	10	14#88000|1001#10000		2#915|1#6100|3#305|4#305		109202		
611	90009	11	14#98000|1001#10000		2#996|1#6640|3#332|4#332		null		
612	90009	12	14#108000|1001#10000		2#1077|1#7180|3#359|4#359		null		
613	90009	13	14#118000|1001#10000		2#1158|1#7720|3#386|4#386		null		
614	90009	14	14#128000|1001#10000		2#1239|1#8260|3#413|4#413		null		
615	90009	15	14#190000|1001#15000		2#1320|1#8800|3#440|4#440		109203		
616	90009	16	14#204000|1001#15000		2#1413|1#9420|3#471|4#471		null		
617	90009	17	14#218000|1001#15000		2#1506|1#10040|3#502|4#502		null		
618	90009	18	14#232000|1001#15000		2#1599|1#10660|3#533|4#533		null		
619	90009	19	14#246000|1001#15000		2#1692|1#11280|3#564|4#564		null		
620	90009	20	14#348000|1001#20000		2#1785|1#11900|3#595|4#595		109204		
621	90009	21	14#366000|1001#20000		2#1902|1#12680|3#634|4#634		null		
622	90009	22	14#384000|1001#20000		2#2019|1#13460|3#673|4#673		null		
623	90009	23	14#402000|1001#20000		2#2136|1#14240|3#712|4#712		null		
624	90009	24	14#420000|1001#20000		2#2253|1#15020|3#751|4#751		null		
625	90009	25	14#502000|1001#25000		2#2370|1#15800|3#790|4#790		109205		
626	90009	26	14#524000|1001#25000		2#2499|1#16660|3#833|4#833		null		
627	90009	27	14#546000|1001#25000		2#2628|1#17520|3#876|4#876		null		
628	90009	28	14#568000|1001#25000		2#2757|1#18380|3#919|4#919		null		
629	90009	29	14#590000|1001#25000		2#2886|1#19240|3#962|4#962		null		
630	90009	30	14#684000|1001#30000		2#3015|1#20100|3#1005|4#1005		109206		
631	90009	31	14#710000|1001#30000		2#3168|1#21120|3#1056|4#1056		null		
632	90009	32	14#736000|1001#30000		2#3321|1#22140|3#1107|4#1107		null		
633	90009	33	14#762000|1001#30000		2#3474|1#23160|3#1158|4#1158		null		
