Id	ShowType
int	int
-110	1
-100	1
-101	1
-102	1
-1	1
0	1
1	1
2	1
3	1
4	1
5	1
6	2
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
20001	1
20002	1
20003	1
20004	1
20005	1
20006	1
20007	1
20008	1
20009	1
20010	1
20011	1
20012	1
20013	1
20014	1
20015	1
20016	1
20017	1
20018	1
20019	1
20020	1
20022	1
20023	1
20024	1
20025	1
20026	1
20027	1
20028	1
20029	1
20030	1
20031	1
20032	1
20033	1
20034	1
20035	1
20036	1
20037	1
20038	1
20039	1
20040	1
20041	1
20042	1
20043	1
20044	1
20045	1
20046	1
20047	1
20048	1
20049	1
20050	1
20051	1
20052	1
20053	1
20054	1
20055	1
20056	1
20057	1
20058	1
20059	1
20060	1
20061	1
20062	1
20063	1
20064	1
20065	1
20066	1
20067	1
20068	1
20069	1
20070	1
20071	1
20072	1
20073	1
20074	1
20075	1
20076	1
20077	1
20078	1
20079	1
20080	1
20081	1
20082	1
20083	1
20084	1
20085	1
20086	1
20087	1
20088	1
20089	1
20090	1
20091	1
20092	1
20093	1
20094	1
20095	1
20096	1
20097	1
20098	1
20099	1
20100	1
20101	1
20102	1
20103	1
20104	1
20105	1
20106	1
20107	1
20108	1
20109	1
20110	1
20111	1
20112	1
20113	1
20114	1
20115	1
20116	1
20117	1
20118	1
20119	1
20120	1
20121	1
20122	1
20123	1
20124	1
20125	1
20126	1
20127	1
20128	1
20129	1
20130	1
20131	1
20132	1
20133	1
20134	1
20135	1
20136	1
20137	1
20138	1
20139	1
20140	1
20141	1
20142	1
20143	1
20144	1
20145	1
20146	1
20147	1
20148	1
20149	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
20152	1
20150	1
20151	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
20153	1
20154	1
20155	1
20156	1
20157	1
20158	1
20159	1
20160	1
20161	1
20162	1
20164	1
20165	1
20166	1
30001	1
30002	1
30003	1
30004	1
30005	1
30006	1
30007	1
30008	1
30009	1
30010	1
30011	1
30012	1
30013	2
30014	1
30015	1
30016	1
30017	1
