Id	Option
int	mut,int#int,1
4001001	4001001#4001002
4001002	4001003#4001004
4001003	4001005#4001006
4001004	4001007#4001008
4001005	4001009#4001010
4001006	4001011#4001012
4001007	4001013#4001014
4001008	4001015#4001016
4001009	4001017#4001018
4001010	4001019#4001020
4001011	4001021#4001022
4001012	4001023#4001024
4001013	4001025#4001026
4001014	4001027#4001028
4001015	4001029#4001030
4001016	4001031#4001032
4001017	4001033#4001034
4001018	4001035#4001036
4001019	4001037#4001038
4001020	4001039#4001040
4001021	4001041#4001042
4001022	4001043#4001044
4001023	4001045#4001046
4001024	4001047#4001048
4001025	4001049#4001050
4001026	4001051#4001052#4001053
4001027	4001054#4001055
4001028	4001056#4001057
4001029	4001058#4001059
4001030	4001060#4001061
4001031	4001062#4001063
4001032	4001064#4001065
4001033	4001066#4001067
4001034	4001068#4001069#4001070
4001035	4001071#4001072
4001036	null
4001037	4001075#4001076
4001038	4001077#4001078
4001039	4001079#4001080
4001040	4001081#4001082
4001041	4001083#4001084
4001042	4001085#4001086
4001043	4001087#4001088
4001044	4001089#4001090
4001045	4001091#4001092
4001046	4001093#4001094
4001047	4001095#4001096
4001048	4001097#4001098
4001049	4001099#4001100
4001050	4001101#4001102
4001051	4001103#4001104
4001052	4001105#4001106
4001053	4001107#4001108
4001054	4001109#4001110
4001055	4001111#4001112
4001056	4001113#4001114
4001057	4001115#4001116
4001058	4001117#4001118
4001059	4001119#4001120
4001060	null
4001061	4001123#4001124
4001062	null
4001063	4001127#4001128
4001064	null
4001065	4001131#4001132
4001066	4001133#4001134
4001067	4001135#4001136
4001068	4001137#4001138
4001069	4001139#4001140
4001070	4001141#4001142
4001071	4001143#4001144
4001072	4001145#4001146
4001073	4001147#4001148
4001074	4001149#4001150
4001075	4001151#4001152
4001076	4001153#4001154
4001077	4001155#4001156
4001078	4001157#4001158
4001079	4001159#4001160
4001080	4001161#4001162
4001081	4001163#4001164
4001082	4001165#4001166
4001083	4001167#4001168
4001084	4001169#4001170
4001085	4001171#4001172
4001086	4001173#4001174
4001087	4001175#4001176
4001088	4001177#4001178
4001089	4001179#4001180
4001090	4001181#4001182
4001091	4001183#4001184
4001092	4001185#4001186
4001093	4001187
4001094	4001189#4001190
4001095	4001191#4001192
4001096	4001193#4001194
4001097	4001195#4001196
4001098	4001197
4001099	4001199#4001200
4001100	4001201#4001202
4001101	4001255
4001102	4001258#4001259
4001103	4001260#4001261
4001104	4001207#4001208
4001105	4001209#4001210
4001106	4001211#4001212
4001107	4001213#4001214
4001108	4001215#4001216
4001109	4001217#4001218
4001110	40101
4001111	40124
4001112	4001219#4001220
4001113	4001221#4001222
4001114	4001223#4001224
4001115	4001225#4001226
4001116	4001227#4001228
4001117	4001229#4001230
4001118	4001231#4001232
4001119	4001233#4001234
4001120	4001235#4001236
4001121	4001237#4001238
4001122	4001239#4001240
4001123	4001241#4001242
4001124	4001243#4001244
4001125	4001245#4001246
4001126	4001247#4001248
4001127	4001249#4001250
4001128	4001251#4001252
4001129	4001253#4001254
4001130	4001256
4001131	4001257
4001132	40102
4001133	40103
4001134	40104
4001135	40105
4001136	40125
4001137	40126
4001138	40127
4001139	40128
4001140	4001262#4001263
