Id	Floor	Node	NodeType	RandomNode	HolyProbability	Reward	TreasureBox
int	int	int	mut,int#int,2	mut,int#int,2	mut,int#int,2	mut,int#int,1	mut,int#int,2
1	1	2	1#2	null	1#0|2#0|3#0	2501	null
2	1	3	null	null	1#0|2#0|3#0	2502	null
3	1	2	null	7#50|8#50	1#0|2#0|3#0	2503	null
4	1	3	null	7#150|8#50	1#0|2#0|3#0	2504	null
5	1	2	null	4#50	1#0|2#0|3#0	2505	null
6	1	3	null	4#50|7#50	1#0|2#0|3#0	2506	null
7	1	2	null	4#50|8#50	1#0|2#0|3#0	2507	null
8	1	3	null	null	1#0|2#0|3#0	2508	null
9	1	2	4#1|3#1	null	1#0|2#0|3#0	2509	null
10	1	1	2#1	null	1#0|2#0|3#1000	2510	null
11	1	1	11#1	null	1#0|2#0|3#0	null	16#50|14#300000|3#60000|12012#10
12	2	2	1#2	null	1#0|2#0|3#0	2511	null
13	2	3	null	null	1#0|2#0|3#0	2512	null
14	2	2	null	7#50|8#50	1#0|2#0|3#0	2513	null
15	2	3	null	7#150|8#50	1#0|2#0|3#0	2514	null
16	2	2	null	4#50	1#0|2#0|3#0	2515	null
17	2	3	null	4#50|7#50	1#0|2#0|3#0	2516	null
18	2	2	null	4#50|8#50	1#0|2#0|3#0	2517	null
19	2	3	null	null	1#0|2#0|3#0	2518	null
20	2	2	4#1|3#1	null	1#0|2#0|3#0	2519	null
21	2	1	2#1	null	1#0|2#0|3#1000	2520	null
22	2	1	11#1	null	1#0|2#0|3#0	null	16#100|14#400000|3#80000|12012#20
23	3	2	4#1|3#1	null	1#0|2#0|3#0	2521	null
24	3	3	null	null	1#0|2#0|3#0	2522	null
25	3	2	null	7#50|8#50	1#0|2#0|3#0	2523	null
26	3	3	null	7#150|8#50	1#0|2#0|3#0	2524	null
27	3	2	null	4#50	1#0|2#0|3#0	2525	null
28	3	3	null	4#50|7#50	1#0|2#0|3#0	2526	null
29	3	2	null	4#50|8#50	1#0|2#0|3#0	2527	null
30	3	3	null	null	1#0|2#0|3#0	2528	null
31	3	2	4#1|3#1	null	1#0|2#0|3#0	2529	null
32	3	1	2#1	null	1#0|2#0|3#0	2530	null
33	3	1	11#1	null	1#0|2#0|3#0	null	16#200|14#600000|3#120000|12013#5
34	4	2	4#1|3#1	null	1#0|2#0|3#0	2521	null
35	4	3	null	9#50	1#0|2#0|3#0	2522	null
36	4	2	null	7#50|8#50	1#0|2#0|3#0	2523	null
37	4	3	null	7#150|8#50	1#0|2#0|3#0	2524	null
38	4	2	null	4#50|9#50	1#0|2#0|3#0	2525	null
39	4	3	null	4#50|10#50	1#0|2#0|3#0	2526	null
40	4	2	null	4#50|8#50	1#0|2#0|3#0	2527	null
41	4	3	null	10#50	1#0|2#0|3#0	2528	null
42	4	2	4#1|3#1	null	1#0|2#0|3#0	2529	null
43	4	1	2#1	null	1#0|2#0|3#0	2530	null
44	4	1	11#1	null	1#0|2#0|3#0	null	16#200|14#600000|3#120000|12013#5
