Id	type	effect	Weight	PassiveSkillId	ForceType
int	int	int	int	int	int
1	1	1	100	5000001	500
2	1	2	100	5000002	500
3	1	3	100	5000003	500
4	1	4	100	5000004	500
5	1	5	100	5000005	500
6	1	6	100	5000006	500
7	1	7	100	5000007	500
8	1	8	100	5000008	500
9	1	9	100	5000009	500
10	1	10	100	5000010	500
11	1	11	100	5000011	500
12	1	12	100	5000012	500
13	1	13	100	5000013	500
14	1	14	100	5000014	500
15	1	15	100	5000015	500
16	1	16	100	5000016	500
17	1	17	100	5000017	500
18	1	18	100	5000018	500
19	1	19	100	5000019	500
20	1	20	100	5000020	500
21	1	21	100	5000021	500
22	1	22	100	5000022	500
23	1	23	100	5000023	500
24	1	24	100	5000024	500
25	1	25	100	5000025	500
26	1	26	100	5000026	500
27	1	27	100	5000027	500
28	1	28	100	5000028	500
29	1	29	100	5000029	500
30	1	30	100	5000030	500
31	1	31	100	5000031	500
32	1	32	100	5000032	500
33	1	33	100	5000033	500
34	1	34	100	5000034	500
35	1	35	100	5000035	500
36	1	36	100	5000036	500
37	1	37	100	5000037	500
38	2	1	100	5000101	1000
39	2	2	100	5000102	1000
40	2	3	100	5000103	1000
41	2	4	100	5000104	1000
42	2	5	100	5000105	1000
43	2	6	100	5000106	1000
44	2	7	100	5000107	1000
45	2	8	100	5000108	1000
46	2	9	100	5000109	1000
47	2	10	100	5000110	1000
48	2	11	100	5000111	1000
49	2	12	100	5000112	1000
50	2	13	100	5000113	1000
51	2	14	100	5000114	1000
52	2	15	100	5000115	1000
53	2	16	100	5000116	1000
54	2	17	100	5000117	1000
55	2	18	100	5000118	1000
56	2	19	100	5000119	1000
57	2	20	100	5000120	1000
58	2	21	100	5000121	1000
59	2	22	100	5000122	1000
60	2	23	100	5000123	1000
61	2	24	100	5000124	1000
62	2	25	100	5000125	1000
63	2	26	100	5000126	1000
64	2	27	100	5000127	1000
65	2	28	100	5000128	1000
66	2	29	100	5000129	1000
67	2	30	100	5000130	1000
68	2	31	100	5000131	1000
69	2	32	100	5000132	1000
70	2	33	100	5000133	1000
71	2	34	100	5000134	1000
72	2	36	100	5000135	1000
73	2	37	100	5000136	1000
74	2	38	100	5000137	1000
75	2	39	100	5000138	1000
76	2	40	100	5000139	1000
77	2	41	100	5000140	1000
78	2	42	100	5000141	1000
79	2	43	100	5000142	1000
80	3	1	100	5000201	2000
81	3	2	100	5000202	2000
82	3	3	100	5000203	2000
83	3	4	100	5000204	2000
84	3	5	100	5000205	2000
85	3	6	100	5000206	2000
86	3	7	100	5000207	2000
87	3	8	100	5000208	2000
88	3	9	100	5000209	2000
89	3	10	100	5000210	2000
90	3	11	100	5000211	2000
91	3	12	100	5000212	2000
92	3	13	100	5000213	2000
93	3	14	100	5000214	2000
94	3	15	100	5000215	2000
95	3	16	100	5000216	2000
96	3	17	100	5000217	2000
97	3	18	100	5000218	2000
98	3	19	100	5000219	2000
99	3	20	100	5000220	2000
100	3	22	100	5000221	2000
101	3	23	100	5000222	2000
102	3	24	100	5000223	2000
103	3	25	100	5000224	2000
104	3	26	100	5000225	2000
105	3	27	100	5000226	2000
106	3	28	100	5000227	2000
107	3	29	100	5000228	2000
108	3	30	100	5000229	2000
109	3	31	100	5000230	2000
110	3	32	100	5000231	2000
111	3	33	100	5000232	2000
112	3	34	100	5000233	2000
113	3	36	100	5000234	2000
114	3	37	100	5000235	2000
115	3	38	100	5000236	2000
116	3	39	100	5000237	2000
117	3	40	100	5000238	2000
118	3	41	100	5000239	2000
119	3	42	100	5000240	2000
120	3	43	100	5000241	2000
121	3	44	100	5000242	2000
122	3	45	100	5000243	2000
