ID	MapID	Weight	Goods	Cost
int	int	int	mut,int#int,1	mut,int#int,1
1	6001	100	10001#1	16#5000
2	6001	100	10002#1	16#5000
3	6001	100	10003#1	16#5000
4	6001	100	10004#1	16#5000
5	6001	100	10006#1	16#5000
6	6001	100	10007#1	16#3000
7	6001	100	10009#1	16#3000
8	6001	100	10010#1	16#3000
9	6001	350	10005#1	16#1000
10	6001	350	10008#1	16#1000
11	6001	200	10011#1	16#300
12	6001	200	10012#1	16#300
13	6001	200	10013#1	16#300
14	6001	200	10014#1	16#300
15	6001	200	10015#1	16#300
16	6001	100	10019#1	16#3000
17	6001	100	10020#1	16#5000
18	6001	100	10021#1	16#5000
19	6001	100	10022#1	16#3000
20	6001	100	10024#1	16#3000
21	6001	100	10025#1	16#5000
22	6001	100	10026#1	16#5000
23	6001	100	10027#1	16#3000
24	6001	350	10023#1	16#1000
25	6001	200	10028#1	16#300
26	6001	200	10029#1	16#300
27	6001	200	10030#1	16#300
28	6001	200	10031#1	16#300
29	6001	200	10032#1	16#300
30	6001	100	10036#1	16#5000
31	6001	100	10037#1	16#5000
32	6001	100	10040#1	16#3000
33	6001	100	10041#1	16#5000
34	6001	100	10042#1	16#5000
35	6001	100	10043#1	16#3000
36	6001	100	10044#1	16#3000
37	6001	100	10045#1	16#3000
38	6001	100	10046#1	16#5000
39	6001	350	10038#1	16#1000
40	6001	350	10039#1	16#1000
41	6001	200	10047#1	16#300
42	6001	200	10048#1	16#300
43	6001	200	10049#1	16#300
44	6001	200	10050#1	16#300
45	6001	200	10051#1	16#300
46	6001	50	10060#1	16#6000
47	6001	50	10061#1	16#4000
48	6001	50	10063#1	16#6000
49	6001	50	10065#1	16#6000
50	6001	50	10066#1	16#4000
51	6001	350	10062#1	16#2000
52	6001	200	10067#1	16#500
53	6001	200	10068#1	16#500
54	6001	200	10069#1	16#500
55	6001	200	10070#1	16#500
56	6001	50	10075#1	16#6000
57	6001	50	10076#1	16#4000
58	6001	50	10079#1	16#4000
59	6001	50	10082#1	16#6000
60	6001	350	10085#1	16#2000
61	6001	200	10086#1	16#500
62	6001	200	10087#1	16#500
63	6001	200	10088#1	16#500
64	6001	200	10089#1	16#500
