Id	GeneralId	StepLev	GeneralLev	UpgradeExpend	StepAtt
int	int	int	int	mut,int#int,2	mut,int#int,1
1	1	1	10	17012#2|17011#10	61#100
2	1	2	10	17012#2|17011#10	62#100
3	1	3	10	17012#2|17011#10	61#100
4	1	4	10	17012#2|17011#10	62#100
5	1	5	10	17012#4|17011#20	5#10
6	1	6	20	17012#4|17011#20	61#100
7	1	7	20	17012#4|17011#20	62#100
8	1	8	20	17012#4|17011#20	61#100
9	1	9	20	17012#4|17011#20	62#100
10	1	10	20	17012#8|17011#40	5#10
11	1	11	30	17012#8|17011#40	61#100
12	1	12	30	17012#8|17011#40	62#100
13	1	13	30	17012#8|17011#40	61#100
14	1	14	30	17012#8|17011#40	62#100
15	1	15	30	17012#16|17011#80	5#10
16	1	16	40	17012#16|17011#80	61#100
17	1	17	40	17012#16|17011#80	62#100
18	1	18	40	17012#16|17011#80	61#100
19	1	19	40	17012#16|17011#80	62#100
20	1	20	40	17012#32|17011#160	5#10
21	1	21	50	17012#32|17011#160	61#100
22	1	22	50	17012#32|17011#160	62#100
23	1	23	50	17012#32|17011#160	61#100
24	1	24	50	17012#32|17011#160	62#100
25	1	25	50	17012#40|17011#200	5#10
26	1	26	60	17012#40|17011#200	61#100
27	1	27	60	17012#40|17011#200	62#100
28	1	28	60	17012#40|17011#200	61#100
29	1	29	60	17012#40|17011#200	62#100
30	1	30	60	17012#60|17011#300	5#10
31	1	31	70	17012#60|17011#300	61#100
32	1	32	70	17012#60|17011#300	62#100
33	1	33	70	17012#60|17011#300	61#100
34	1	34	70	17012#60|17011#300	62#100
35	1	35	70	17012#80|17011#400	5#10
36	1	36	80	17012#80|17011#400	61#100
37	1	37	80	17012#80|17011#400	62#100
38	1	38	80	17012#80|17011#400	61#100
39	1	39	80	17012#80|17011#400	62#100
40	1	40	80	17012#100|17011#500	5#10
41	1	41	90	17012#100|17011#500	61#100
42	1	42	90	17012#100|17011#500	62#100
43	1	43	90	17012#100|17011#500	61#100
44	1	44	90	17012#100|17011#500	62#100
45	1	45	90	17012#120|17011#600	5#10
46	1	46	100	17012#120|17011#600	61#100
47	1	47	100	17012#120|17011#600	62#100
48	1	48	100	17012#120|17011#600	61#100
49	1	49	100	17012#120|17011#600	62#100
50	1	50	100	17012#140|17011#700	5#10
51	2	1	10	17012#2|17011#10	61#100
52	2	2	10	17012#2|17011#10	62#100
53	2	3	10	17012#2|17011#10	61#100
54	2	4	10	17012#2|17011#10	62#100
55	2	5	10	17012#4|17011#20	5#10
56	2	6	20	17012#4|17011#20	61#100
57	2	7	20	17012#4|17011#20	62#100
58	2	8	20	17012#4|17011#20	61#100
59	2	9	20	17012#4|17011#20	62#100
60	2	10	20	17012#8|17011#40	5#10
61	2	11	30	17012#8|17011#40	61#100
62	2	12	30	17012#8|17011#40	62#100
63	2	13	30	17012#8|17011#40	61#100
64	2	14	30	17012#8|17011#40	62#100
65	2	15	30	17012#16|17011#80	5#10
66	2	16	40	17012#16|17011#80	61#100
67	2	17	40	17012#16|17011#80	62#100
68	2	18	40	17012#16|17011#80	61#100
69	2	19	40	17012#16|17011#80	62#100
70	2	20	40	17012#32|17011#160	5#10
71	2	21	50	17012#32|17011#160	61#100
72	2	22	50	17012#32|17011#160	62#100
73	2	23	50	17012#32|17011#160	61#100
74	2	24	50	17012#32|17011#160	62#100
75	2	25	50	17012#40|17011#200	5#10
76	2	26	60	17012#40|17011#200	61#100
77	2	27	60	17012#40|17011#200	62#100
78	2	28	60	17012#40|17011#200	61#100
79	2	29	60	17012#40|17011#200	62#100
80	2	30	60	17012#60|17011#300	5#10
81	2	31	70	17012#60|17011#300	61#100
82	2	32	70	17012#60|17011#300	62#100
83	2	33	70	17012#60|17011#300	61#100
84	2	34	70	17012#60|17011#300	62#100
85	2	35	70	17012#80|17011#400	5#10
86	2	36	80	17012#80|17011#400	61#100
87	2	37	80	17012#80|17011#400	62#100
88	2	38	80	17012#80|17011#400	61#100
89	2	39	80	17012#80|17011#400	62#100
90	2	40	80	17012#100|17011#500	5#10
91	2	41	90	17012#100|17011#500	61#100
92	2	42	90	17012#100|17011#500	62#100
