Id	ActivityId	RewardType	MinRank	MaxRank	RankingReward	BasLineScore	BasLineRewardId
int	int	int	int	int	mut,int#int,2	int	int
1	21004	1	1	1	60423#1|81148#150|65#5000	2500	5
2	21004	1	2	2	60428#1|81148#150|65#4000	2500	5
3	21004	1	3	3	60428#1|81148#100|65#3000	2500	5
4	21004	1	4	10	6001032#50|81148#50|65#2000	2500	5
5	21004	1	11	50	19#10|81148#50|65#1000	0	0
6	21004	2	1	1	20015#1|61#10|65#5000	0	0
7	21004	2	2	2	20016#1|61#8|65#4000	0	0
8	21004	2	3	3	20017#1|61#6|65#3000	0	0
9	21004	2	4	10	61#4|65#2000	0	0
10	21004	2	11	20	61#2|65#1500	0	0
11	21004	2	21	30	61#1|65#1000	0	0
12	32004	1	1	1	60423#1|81148#150|65#5000	2500	16
13	32004	1	2	2	60428#1|81148#150|65#4000	2500	16
14	32004	1	3	3	60428#1|81148#100|65#3000	2500	16
15	32004	1	4	10	6001032#50|81148#50|65#2000	2500	16
16	32004	1	11	50	19#10|81148#50|65#1000	0	0
17	32004	2	1	1	20015#1|61#10|65#5000	0	0
18	32004	2	2	2	20016#1|61#8|65#4000	0	0
19	32004	2	3	3	20017#1|61#6|65#3000	0	0
20	32004	2	4	10	61#4|65#2000	0	0
21	32004	2	11	20	61#2|65#1500	0	0
22	32004	2	21	30	61#1|65#1000	0	0
23	36004	1	1	1	60423#1|81148#150|65#5000	2500	27
24	36004	1	2	2	60428#1|81148#150|65#4000	2500	27
25	36004	1	3	3	60428#1|81148#100|65#3000	2500	27
26	36004	1	4	10	6001032#50|81148#50|65#2000	2500	27
27	36004	1	11	50	19#10|81148#50|65#1000	0	0
28	36004	2	1	1	20015#1|61#10|65#5000	0	0
29	36004	2	2	2	20016#1|61#8|65#4000	0	0
30	36004	2	3	3	20017#1|61#6|65#3000	0	0
31	36004	2	4	10	61#4|65#2000	0	0
32	36004	2	11	20	61#2|65#1500	0	0
33	36004	2	21	30	61#1|65#1000	0	0
1001	610	1	1	1	60423#1|81148#150|65#5000	2500	1005
1002	610	1	2	2	60428#1|81148#150|65#4000	2500	1005
1003	610	1	3	3	60428#1|81148#100|65#3000	2500	1005
1004	610	1	4	10	6001032#50|81148#50|65#2000	2500	1005
1005	610	1	11	50	19#10|81148#50|65#1000	0	0
1006	610	2	1	1	20015#1|61#10|65#5000	0	0
1007	610	2	2	2	20016#1|61#8|65#4000	0	0
1008	610	2	3	3	20017#1|61#6|65#3000	0	0
1009	610	2	4	10	61#4|65#2000	0	0
1010	610	2	11	20	61#2|65#1500	0	0
1011	610	2	21	30	61#1|65#1000	0	0
1101	611	1	1	1	60423#1|60406#1|65#5000	2500	1105
1102	611	1	2	2	60428#1|10423#3|65#4000	2500	1105
1103	611	1	3	3	60428#1|10423#2|65#3000	2500	1105
1104	611	1	4	10	6001032#50|10423#1|65#2000	2500	1105
1105	611	1	11	50	19#10|10422#2|65#1000	0	0
1106	611	2	1	1	20015#1|61#10|65#5000	0	0
1107	611	2	2	2	20016#1|61#8|65#4000	0	0
1108	611	2	3	3	20017#1|61#6|65#3000	0	0
1109	611	2	4	10	61#4|65#2000	0	0
1110	611	2	11	20	61#2|65#1500	0	0
1111	611	2	21	30	61#1|65#1000	0	0
1201	612	1	1	1	60423#1|81148#150|65#5000	2500	1205
1202	612	1	2	2	60428#1|81148#150|65#4000	2500	1205
1203	612	1	3	3	60428#1|81148#100|65#3000	2500	1205
1204	612	1	4	10	6001032#50|81148#50|65#2000	2500	1205
1205	612	1	11	50	19#10|81148#50|65#1000	0	0
1206	612	2	1	1	20015#1|61#10|65#5000	0	0
1207	612	2	2	2	20016#1|61#8|65#4000	0	0
1208	612	2	3	3	20017#1|61#6|65#3000	0	0
1209	612	2	4	10	61#4|65#2000	0	0
1210	612	2	11	20	61#2|65#1500	0	0
1211	612	2	21	30	61#1|65#1000	0	0
1301	613	1	1	1	60423#1|60406#1|65#5000	2500	1305
1302	613	1	2	2	60428#1|10423#3|65#4000	2500	1305
1303	613	1	3	3	60428#1|10423#2|65#3000	2500	1305
1304	613	1	4	10	6001032#50|10423#1|65#2000	2500	1305
1305	613	1	11	50	19#10|10422#2|65#1000	0	0
1306	613	2	1	1	20015#1|61#10|65#5000	0	0
1307	613	2	2	2	20016#1|61#8|65#4000	0	0
1308	613	2	3	3	20017#1|61#6|65#3000	0	0
1309	613	2	4	10	61#4|65#2000	0	0
1310	613	2	11	20	61#2|65#1500	0	0
1311	613	2	21	30	61#1|65#1000	0	0
1401	614	1	1	1	60423#1|81148#150|65#5000	2500	1405
1402	614	1	2	2	60428#1|81148#150|65#4000	2500	1405
1403	614	1	3	3	60428#1|81148#100|65#3000	2500	1405
1404	614	1	4	10	6001032#50|81148#50|65#2000	2500	1405
1405	614	1	11	50	19#10|81148#50|65#1000	0	0
1406	614	2	1	1	20015#1|61#10|65#5000	0	0
1407	614	2	2	2	20016#1|61#8|65#4000	0	0
1408	614	2	3	3	20017#1|61#6|65#3000	0	0
1409	614	2	4	10	61#4|65#2000	0	0
1410	614	2	11	20	61#2|65#1500	0	0
1411	614	2	21	30	61#1|65#1000	0	0
1501	615	1	1	1	60423#1|60406#1|65#5000	2500	1505
1502	615	1	2	2	60428#1|10423#3|65#4000	2500	1505
1503	615	1	3	3	60428#1|10423#2|65#3000	2500	1505
1504	615	1	4	10	6001032#50|10423#1|65#2000	2500	1505
1505	615	1	11	50	19#10|10422#2|65#1000	0	0
1506	615	2	1	1	20015#1|61#10|65#5000	0	0
1507	615	2	2	2	20016#1|61#8|65#4000	0	0
