Id	ActivityId	ActivityItems	ActivityMoney	RankType	RewardItemChangRate	QAId	ItemDelete	TimeRewardNum	TimePointList	TimeRewardGroup	LastTime	LevelLimit	LifeLimit	JoinLimit	MailId	L1Score
int	int	mut,int#int,1	int	mut,int#int,1	mut,int#int,1	int	int	int	mut,int#int,1	int	int	int	int	int	mut,int#int,2	int
1	21004	50000#50001#50002	50003	1#2	1#2#10#1#2#10	124	1	9999	12#20	20063	30	20	7	1	183#184|185#186	2000
2	32004	50000#50001#50002	50003	1#2	1#2#10#1#2#10	124	1	9999	12#20	20063	30	20	7	1	183#184|185#186	2000
3	36004	50000#50001#50002	50003	1#2	1#2#10#1#2#10	124	1	9999	12#20	20063	30	20	7	1	183#184|185#186	2000
4	610	50000#50001#50002	50003	1#2	1#2#10#1#2#10	124	1	9999	12#20	20063	30	20	7	1	183#184|185#186	2000
5	611	50000#50001#50002	50003	1#2	1#2#10#1#2#10	124	1	9999	12#20	20063	30	20	7	1	183#184|185#186	2000
6	612	50000#50001#50002	50003	1#2	1#2#10#1#2#10	124	1	9999	12#20	20063	30	20	7	1	183#184|185#186	2000
7	613	50000#50001#50002	50003	1#2	1#2#10#1#2#10	124	1	9999	12#20	20063	30	20	7	1	183#184|185#186	2000
8	614	50000#50001#50002	50003	1#2	1#2#10#1#2#10	124	1	9999	12#20	20063	30	20	7	1	183#184|185#186	2000
9	615	50000#50001#50002	50003	1#2	1#2#10#1#2#10	124	1	9999	12#20	20063	30	20	7	1	183#184|185#186	2000
10	616	50000#50001#50002	50003	1#2	1#2#10#1#2#10	124	1	9999	12#20	20063	30	20	7	1	183#184|185#186	2000
11	617	50000#50001#50002	50003	1#2	1#2#10#1#2#10	124	1	9999	12#20	20063	30	20	7	1	183#184|185#186	2000
12	618	50000#50001#50002	50003	1#2	1#2#10#1#2#10	124	1	9999	12#20	20063	30	20	7	1	183#184|185#186	2000
13	619	50000#50001#50002	50003	1#2	1#2#10#1#2#10	124	1	9999	12#20	20063	30	20	7	1	183#184|185#186	2000
14	620	50000#50001#50002	50003	1#2	1#2#10#1#2#10	124	1	9999	12#20	20063	30	20	7	1	183#184|185#186	2000
15	621	50000#50001#50002	50003	1#2	1#2#10#1#2#10	124	1	9999	12#20	20063	30	20	7	1	183#184|185#186	2000
16	622	50000#50001#50002	50003	1#2	1#2#10#1#2#10	124	1	9999	12#20	20063	30	20	7	1	183#184|185#186	2000
17	623	50000#50001#50002	50003	1#2	1#2#10#1#2#10	124	1	9999	12#20	20063	30	20	7	1	183#184|185#186	2000
