Id	Type	Values	Reward	Order
int	int	mut,int#int,2	mut,int#int,2	int
5001	14	1011|1	14#50000	1
5002	40	0|1	91#1	2
5003	1	0|1	16#30	3
5004	51	0|2	14#50000	4
5005	14	1021|1	3#10000	5
5006	3	10|1	14#50000	6
5007	14	1031|1	14#50000	7
5008	46	0|1	14#50000	8
5009	14	1041|1	3#50000	9
5010	36	0|1	16#50	10
5011	3	30|1	14#50000	11
5012	14	1061|1	60001#3	12
5013	22	0|1	10047#1	13
5014	14	1081|1	4#50	14
5015	39	0|1	3#50000	15
5017	14	1101|1	14#50000	16
5018	1001	0|1	14#50000	17
5019	1002	0|1	19#1	18
5020	1	0|2	14#50000	19
5028	1006	0|1	14#50000	20
5021	14	1141|1	14#50000	21
5022	7	0|1	14#50000	22
5023	1003	0|1	14#50000	23
5029	1001	0|2	14#50000	24
5024	14	1181|1	3#50000	25
5025	3	40|2	14#50000	26
5026	14	1201|1	14#50000	27
5036	1001	0|3	4#100	28
5030	3	50|1	14#50000	29
5033	14	2101|1	14#50000	30
5035	1004	0|1	60#1	31
5038	83	0|1	4#200	32
5040	3	50|2	14#50000	33
5053	1001	0|4	19#1	34
5043	69	0|1	3#50000	35
5041	14	2151|1	14#50000	36
5044	10	0|40000	16#100	37
5045	2	5|1	14#50000	38
5016	20	0|1	14#100000	39
5032	87	1|1	14#50000	40
5046	14	2201|1	6000032#30	41
5039	87	2|1	14#50000	42
5048	9	0|20	20#1	43
5049	33	0|1	14#50000	44
5061	1001	0|5	14#50000	45
5047	14	3051|1	14#50000	46
5050	71	0|1	69#100	47
5051	14	3101|1	14#50000	48
5058	14	3201|1	14#50000	49
5052	87	3|1	6001010#30	50
5027	14	4101|1	14#50000	51
5054	14	4201|1	14#50000	52
5057	10	0|100000	19#1	53
5055	14	5201|1	14#50000	54
5059	1007	0|1	14#50000	55
5060	87	4|1	72001#10	56
5064	14	6201|1	14#50000	57
5034	1009	0|2	1001405#1	58
5031	55	6|1	16#1000	59
5062	9	0|30	14#50000	60
5063	1005	0|1	3#10000	61
5065	10	0|150000	19#1	62
5066	135	0|3	14#50000	63
5067	137	0|1	6000110#100	64
5068	10	0|200000	16#2000	65
6000	9	0|35	19#2	66
6001	116	0|1	14#50000	67
6002	14	9201|1	72001#10	68
6003	1026	1|3	72003#1	69
6004	9	0|40	18101#10	70
6005	1057	0|1	14#50000	71
6006	14	11101|1	72001#10	72
6007	36	0|5	16#100	73
6008	9	0|45	19#2	74
6009	1037	5|1	6000110#100	75
6010	14	12201|1	72001#10	76
6011	1017	3|1	6000110#500	77
6012	9	0|50	19#2	78
6013	1039	1|120	19#10	79
6014	14	13201|1	72001#10	80
6015	55	7|1	4#500	81
6016	9	0|55	19#2	82
6017	1046	0|10	65#1000	83
6018	14	15101|1	72001#10	84
6019	3	165|1	81003#1	85
6020	9	0|60	19#3	86
6021	1064	0|1	19#1	87
6022	14	1102|1	72001#10	88
6023	55	8|1	4#500	89
6024	9	0|65	38091#1	90
6025	1045	0|150	19#10	91
6026	14	2102|1	72001#10	92
6027	1017	4|1	6000110#1000	93
6028	9	0|70	99005#1	94
6029	1063	0|1	39010#1	95
6030	14	2302|1	72001#10	96
6031	1027	0|1	17009#1	97
6032	9	0|75	19#3	98
6033	1058	0|20	19#10	99
6034	14	3302|1	72001#10	100
6035	1028	0|5	17009#10	101
6036	9	0|80	19#3	102
6037	1039	1|200	19#10	103
6038	14	4202|1	72001#10	104
6039	55	9|1	4#1000	105
6040	1029	0|3	6000092#100	106
6041	9	0|85	19#3	107
6042	1045	0|250	19#10	108
6043	14	5202|1	72001#10	109
6044	3	205|1	60415#1	110
6045	9	0|90	19#3	111
6046	1070	0|10	6000104#1	112
6047	1067	0|1	10443#10	113
6048	14	6102|1	19#10	114
6049	1026	1|9	72001#100	115
6050	10	0|1000000	16#2000	116
