Id	Lv	UpLv_Exp	Prop	Reward
int	int	mut,int#int,1	mut,int#int,2	mut,int#int,2
1	0	33#40	0	0
2	1	33#120	2#20|1#100	65#101|14#10100
3	2	33#250	2#40|1#200	65#101|14#20200
4	3	33#440	2#60|1#300	65#101|14#30300
5	4	33#700	2#80|1#400	65#101|14#40400
6	5	33#1040	2#100|1#500	65#101|14#50500
7	6	33#1470	2#120|1#600	65#101|14#60600
8	7	33#2000	2#140|1#700	65#101|14#70700
9	8	33#2640	2#160|1#800	65#101|14#80800
10	9	33#3400	2#180|1#900	65#101|14#90900
11	10	33#4290	2#200|1#1000	65#101|14#101000
12	11	33#5320	2#220|1#1100	65#152|14#111100
13	12	33#6500	2#240|1#1200	65#152|14#121200
14	13	33#7840	2#260|1#1300	65#152|14#131300
15	14	33#9350	2#280|1#1400	65#152|14#141400
16	15	33#11040	2#300|1#1500	65#152|14#151500
17	16	33#12920	2#320|1#1600	65#152|14#161600
18	17	33#15000	2#340|1#1700	65#152|14#171700
19	18	33#17290	2#360|1#1800	65#152|14#181800
20	19	33#19800	2#380|1#1900	65#152|14#191900
21	20	33#22540	2#400|1#2000	65#152|14#202000
22	21	33#25520	2#420|1#2100	65#202|14#212100
23	22	33#28750	2#440|1#2200	65#202|14#222200
24	23	33#32240	2#460|1#2300	65#202|14#232300
25	24	33#36000	2#480|1#2400	65#202|14#242400
26	25	33#40040	2#500|1#2500	65#202|14#252500
27	26	33#44370	2#520|1#2600	65#202|14#262600
28	27	33#49000	2#540|1#2700	65#202|14#272700
29	28	33#53940	2#560|1#2800	65#202|14#282800
30	29	33#59200	2#580|1#2900	65#202|14#292900
31	30	33#64790	2#600|1#3000	65#202|14#303000
32	31	33#70720	2#620|1#3100	65#253|14#313100
33	32	33#77000	2#640|1#3200	65#253|14#323200
34	33	33#83640	2#660|1#3300	65#253|14#333300
35	34	33#90650	2#680|1#3400	65#253|14#343400
36	35	33#98040	2#700|1#3500	65#253|14#353500
37	36	33#105820	2#720|1#3600	65#253|14#363600
38	37	33#114000	2#740|1#3700	65#253|14#373700
39	38	33#122590	2#760|1#3800	65#253|14#383800
40	39	33#131600	2#780|1#3900	65#253|14#393900
41	40	33#141040	2#800|1#4000	65#253|14#404000
42	41	33#150920	2#820|1#4100	65#303|14#414100
43	42	33#161250	2#840|1#4200	65#303|14#424200
44	43	33#172040	2#860|1#4300	65#303|14#434300
45	44	33#183300	2#880|1#4400	65#303|14#444400
46	45	33#195040	2#900|1#4500	65#303|14#454500
47	46	33#207270	2#920|1#4600	65#303|14#464600
48	47	33#220000	2#940|1#4700	65#303|14#474700
49	48	33#233240	2#960|1#4800	65#303|14#484800
50	49	33#247000	2#980|1#4900	65#303|14#494900
51	50	0	2#1000|1#5000	65#303|14#505000
