Id	Remarks	OpenRules	Reward	KillReward	LegionExp	MonsterId	AttributePromote	AttributePromotePrice	Privilege	MonsterHp
int	string	int	int	int	int	int	mut,int#int,1	mut,int#int,2	mut,int#int,1	long
1	20010009	0	52001	52901	100	540001	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	1050000
2	20010010	1	52002	52901	100	540002	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	2910000
3	20010011	2	52003	52901	100	540003	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	3730000
4	20010012	3	52004	52901	100	540004	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	6350000
5	20010013	4	52005	52901	100	540005	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	8080000
6	20010014	5	52006	52901	100	540006	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	10030000
7	20010015	6	52007	52901	100	540007	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	12270000
8	20010016	7	52008	52901	100	540008	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	14830000
9	20010017	8	52009	52901	100	540009	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	17740000
10	20010018	9	52010	52901	100	540010	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	21030000
11	20010019	10	52011	52901	100	540011	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	24730000
12	20010020	11	52012	52901	100	540012	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	28870000
13	20010021	12	52013	52901	100	540013	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	33480000
14	20010022	13	52014	52901	100	540014	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	38590000
15	20010023	14	52015	52901	100	540015	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	44230000
16	20010024	15	52016	52901	100	540016	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	50430000
17	20010025	16	52017	52901	100	540017	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	57220000
18	20010026	17	52018	52901	100	540018	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	64630000
19	20010027	18	52019	52901	100	540019	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	72670000
20	20010028	19	52020	52901	100	540020	500001#500002#500003#500004#500005#500006#500007#500008#500009#500010	16|20#20#20#20#20#20#20#20#20#20	3011#3012#3013	81340000
