Id	GuildCheckpoint	MaxRank	MinRank	RankingReward
int	int	int	int	mut,int#int,2
1	1	1	1	65#300|14#75000
2	1	2	2	65#280|14#70000
3	1	3	3	65#260|14#65000
4	1	4	10	65#200|14#50000
5	1	11	15	65#160|14#40000
6	1	16	20	65#120|14#30000
7	1	21	50	65#100|14#25000
8	2	1	1	65#450|14#90000
9	2	2	2	65#420|14#84000
10	2	3	3	65#390|14#78000
11	2	4	10	65#300|14#60000
12	2	11	15	65#240|14#48000
13	2	16	20	65#180|14#36000
14	2	21	50	65#150|14#30000
15	3	1	1	65#900|14#135000
16	3	2	2	65#840|14#126000
17	3	3	3	65#780|14#117000
18	3	4	10	65#600|14#90000
19	3	11	15	65#480|14#72000
20	3	16	20	65#360|14#54000
21	3	21	50	65#300|14#45000
22	4	1	1	65#1500|14#150000
23	4	2	2	65#1400|14#140000
24	4	3	3	65#1300|14#130000
25	4	4	10	65#1000|14#100000
26	4	11	15	65#800|14#80000
27	4	16	20	65#600|14#60000
28	4	21	50	65#500|14#50000
29	5	1	1	65#2100|14#189000
30	5	2	2	65#1960|14#176400
31	5	3	3	65#1820|14#163800
32	5	4	10	65#1400|14#126000
33	5	11	15	65#1120|14#100800
34	5	16	20	65#840|14#75600
35	5	21	50	65#700|14#63000
36	6	1	1	65#3000|14#210000
37	6	2	2	65#2800|14#196000
38	6	3	3	65#2600|14#182000
39	6	4	10	65#2000|14#140000
40	6	11	15	65#1600|14#112000
41	6	16	20	65#1200|14#84000
42	6	21	50	65#1000|14#70000
43	7	1	1	65#3750|14#225000
44	7	2	2	65#3500|14#210000
45	7	3	3	65#3250|14#195000
46	7	4	10	65#2500|14#150000
47	7	11	15	65#2000|14#120000
48	7	16	20	65#1500|14#90000
49	7	21	50	65#1250|14#75000
50	8	1	1	65#4500|14#248000
51	8	2	2	65#4200|14#231000
52	8	3	3	65#3900|14#214000
53	8	4	10	65#3000|14#165000
54	8	11	15	65#2400|14#132000
55	8	16	20	65#1800|14#99000
56	8	21	50	65#1500|14#83000
57	9	1	1	65#5250|14#263000
58	9	2	2	65#4900|14#245000
59	9	3	3	65#4550|14#228000
60	9	4	10	65#3500|14#175000
61	9	11	15	65#2800|14#140000
62	9	16	20	65#2100|14#105000
63	9	21	50	65#1750|14#88000
64	10	1	1	65#6750|14#304000
65	10	2	2	65#6300|14#284000
66	10	3	3	65#5850|14#263000
67	10	4	10	65#4500|14#203000
68	10	11	15	65#3600|14#162000
69	10	16	20	65#2700|14#122000
70	10	21	50	65#2250|14#101000
71	11	1	1	65#6750|14#338000
72	11	2	2	65#6300|14#315000
73	11	3	3	65#5850|14#293000
74	11	4	10	65#4500|14#225000
75	11	11	15	65#3600|14#180000
76	11	16	20	65#2700|14#135000
77	11	21	50	65#2250|14#113000
78	12	1	1	65#7500|14#375000
79	12	2	2	65#7000|14#350000
80	12	3	3	65#6500|14#325000
81	12	4	10	65#5000|14#250000
82	12	11	15	65#4000|14#200000
83	12	16	20	65#3000|14#150000
84	12	21	50	65#2500|14#125000
85	13	1	1	65#8250|14#413000
86	13	2	2	65#7700|14#385000
87	13	3	3	65#7150|14#358000
88	13	4	10	65#5500|14#275000
89	13	11	15	65#4400|14#220000
90	13	16	20	65#3300|14#165000
91	13	21	50	65#2750|14#138000
92	14	1	1	65#8250|14#413000
93	14	2	2	65#7700|14#385000
94	14	3	3	65#7150|14#358000
95	14	4	10	65#5500|14#275000
96	14	11	15	65#4400|14#220000
97	14	16	20	65#3300|14#165000
98	14	21	50	65#2750|14#138000
99	15	1	1	65#8250|14#413000
100	15	2	2	65#7700|14#385000
101	15	3	3	65#7150|14#358000
102	15	4	10	65#5500|14#275000
103	15	11	15	65#4400|14#220000
104	15	16	20	65#3300|14#165000
105	15	21	50	65#2750|14#138000
106	16	1	1	65#8250|14#413000
107	16	2	2	65#7700|14#385000
108	16	3	3	65#7150|14#358000
109	16	4	10	65#5500|14#275000
110	16	11	15	65#4400|14#220000
111	16	16	20	65#3300|14#165000
112	16	21	50	65#2750|14#138000
113	17	1	1	65#8250|14#413000
114	17	2	2	65#7700|14#385000
115	17	3	3	65#7150|14#358000
116	17	4	10	65#5500|14#275000
117	17	11	15	65#4400|14#220000
118	17	16	20	65#3300|14#165000
119	17	21	50	65#2750|14#138000
120	18	1	1	65#8250|14#413000
121	18	2	2	65#7700|14#385000
122	18	3	3	65#7150|14#358000
123	18	4	10	65#5500|14#275000
124	18	11	15	65#4400|14#220000
125	18	16	20	65#3300|14#165000
126	18	21	50	65#2750|14#138000
127	19	1	1	65#8250|14#413000
128	19	2	2	65#7700|14#385000
129	19	3	3	65#7150|14#358000
130	19	4	10	65#5500|14#275000
131	19	11	15	65#4400|14#220000
132	19	16	20	65#3300|14#165000
133	19	21	50	65#2750|14#138000
134	20	1	1	65#8250|14#413000
135	20	2	2	65#7700|14#385000
136	20	3	3	65#7150|14#358000
137	20	4	10	65#5500|14#275000
138	20	11	15	65#4400|14#220000
139	20	16	20	65#3300|14#165000
140	20	21	50	65#2750|14#138000
141	21	1	1	65#9150|14#458000
142	21	2	2	65#8540|14#427000
143	21	3	3	65#7930|14#396000
144	21	4	10	65#6100|14#305000
145	21	11	15	65#4880|14#244000
146	21	16	20	65#3660|14#183000
147	21	21	50	65#3050|14#153000
148	22	1	1	65#9150|14#458000
149	22	2	2	65#8540|14#427000
150	22	3	3	65#7930|14#396000
151	22	4	10	65#6100|14#305000
152	22	11	15	65#4880|14#244000
153	22	16	20	65#3660|14#183000
154	22	21	50	65#3050|14#153000
155	23	1	1	65#9150|14#458000
156	23	2	2	65#8540|14#427000
157	23	3	3	65#7930|14#396000
158	23	4	10	65#6100|14#305000
159	23	11	15	65#4880|14#244000
160	23	16	20	65#3660|14#183000
161	23	21	50	65#3050|14#153000
162	24	1	1	65#9150|14#458000
163	24	2	2	65#8540|14#427000
164	24	3	3	65#7930|14#396000
165	24	4	10	65#6100|14#305000
166	24	11	15	65#4880|14#244000
167	24	16	20	65#3660|14#183000
168	24	21	50	65#3050|14#153000
169	25	1	1	65#9150|14#458000
170	25	2	2	65#8540|14#427000
171	25	3	3	65#7930|14#396000
172	25	4	10	65#6100|14#305000
173	25	11	15	65#4880|14#244000
174	25	16	20	65#3660|14#183000
175	25	21	50	65#3050|14#153000
176	26	1	1	65#9150|14#458000
177	26	2	2	65#8540|14#427000
178	26	3	3	65#7930|14#396000
179	26	4	10	65#6100|14#305000
180	26	11	15	65#4880|14#244000
181	26	16	20	65#3660|14#183000
182	26	21	50	65#3050|14#153000
183	27	1	1	65#9150|14#458000
184	27	2	2	65#8540|14#427000
185	27	3	3	65#7930|14#396000
186	27	4	10	65#6100|14#305000
187	27	11	15	65#4880|14#244000
188	27	16	20	65#3660|14#183000
189	27	21	50	65#3050|14#153000
190	28	1	1	65#9150|14#458000
191	28	2	2	65#8540|14#427000
192	28	3	3	65#7930|14#396000
193	28	4	10	65#6100|14#305000
194	28	11	15	65#4880|14#244000
195	28	16	20	65#3660|14#183000
196	28	21	50	65#3050|14#153000
197	29	1	1	65#9150|14#458000
198	29	2	2	65#8540|14#427000
199	29	3	3	65#7930|14#396000
200	29	4	10	65#6100|14#305000
201	29	11	15	65#4880|14#244000
202	29	16	20	65#3660|14#183000
203	29	21	50	65#3050|14#153000
204	30	1	1	65#10000|14#503000
