Id	Mode	Type	Section	Reward	RewardBoxShow
int	int	int	int	mut,int#int,2	mut,int#int,2
1	1	1	1	65#3000|14#1000000	null
2	1	1	2	65#2500|14#900000	null
3	1	1	3	65#2000|14#800000	null
4	1	1	5	65#1600|14#700000	null
5	1	1	10	65#1200|14#600000	null
6	1	1	20	65#1000|14#500000	null
7	1	1	50	65#800|14#400000	null
8	1	1	100	65#500|14#200000	null
9	1	1	99999	65#300|14#100000	null
10	1	2	1	16#500|65#2000	81148#50
11	1	2	2	16#400|65#1600	6001020#50
12	1	2	3	16#300|65#1200	20#1
13	1	2	9999	16#150|65#800	19#5
14	2	1	1	65#5000|14#1500000	null
15	2	1	2	65#4500|14#1200000	null
16	2	1	3	65#4000|14#1000000	null
17	2	1	5	65#3000|14#900000	null
18	2	1	10	65#2500|14#800000	null
19	2	1	20	65#2000|14#700000	null
20	2	1	50	65#1500|14#600000	null
21	2	1	100	65#1000|14#400000	null
22	2	1	99999	65#500|14#200000	null
23	2	2	1	16#800|65#2500	6001032#50
24	2	2	2	16#600|65#2000	81148#50
25	2	2	3	16#400|65#1500	6001020#50
26	2	2	9999	16#200|65#1000	20#1
