Id	ConditionType	ConditionValue	Describe
int	int	mut,int#int,1	string
100	1	1	通过关卡
201	2	2	2回合内通过关卡
202	2	3	3回合内通过关卡
203	2	4	4回合内通过关卡
204	2	5	5回合内通过关卡
205	2	6	6回合内通过关卡
206	2	7	7回合内通过关卡
207	2	8	8回合内通过关卡
208	2	9	9回合内通过关卡
209	2	10	10回合内通过关卡
301	3	1	最多上阵1个神将通过关卡
302	3	2	最多上阵2个神将通过关卡
303	3	3	最多上阵3个神将通过关卡
304	3	4	最多上阵4个神将通过关卡
305	3	5	最多上阵5个神将通过关卡
45000005	4	5#50000	5回合内造成5万伤害
45000006	4	5#60000	5回合内造成6万伤害
45000007	4	5#70000	5回合内造成7万伤害
45000008	4	5#80000	5回合内造成8万伤害
45000010	4	5#100000	5回合内造成10万伤害
45000012	4	5#120000	5回合内造成12万伤害
45000014	4	5#140000	5回合内造成14万伤害
45000016	4	5#160000	5回合内造成16万伤害
45000018	4	5#180000	5回合内造成18万伤害
45000020	4	5#200000	5回合内造成20万伤害
45000030	4	5#300000	5回合内造成30万伤害
45000050	4	5#500000	5回合内造成50万伤害
45000080	4	5#800000	5回合内造成80万伤害
45000100	4	5#1000000	5回合内造成100万伤害
45000150	4	5#1500000	5回合内造成150万伤害
45000200	4	5#2000000	5回合内造成200万伤害
45000250	4	5#2500000	5回合内造成250万伤害
45000300	4	5#3000000	5回合内造成300万伤害
45000350	4	5#3500000	5回合内造成350万伤害
45000400	4	5#4000000	5回合内造成400万伤害
45000500	4	5#5000000	5回合内造成500万伤害
45000600	4	5#6000000	5回合内造成600万伤害
45000700	4	5#7000000	5回合内造成700万伤害
45000800	4	5#8000000	5回合内造成800万伤害
45000900	4	5#9000000	5回合内造成900万伤害
45001000	4	5#10000000	5回合内造成1000万伤害
45001100	4	5#11000000	5回合内造成1100万伤害
45001200	4	5#12000000	5回合内造成1200万伤害
45001300	4	5#13000000	5回合内造成1300万伤害
45001400	4	5#14000000	5回合内造成1400万伤害
45001500	4	5#15000000	5回合内造成1500万伤害
45001600	4	5#16000000	5回合内造成1600万伤害
45001700	4	5#17000000	5回合内造成1700万伤害
45001800	4	5#18000000	5回合内造成1800万伤害
45001900	4	5#19000000	5回合内造成1900万伤害
45002000	4	5#20000000	5回合内造成2000万伤害
45002100	4	5#21000000	5回合内造成2100万伤害
45002200	4	5#22000000	5回合内造成2200万伤害
45002300	4	5#23000000	5回合内造成2300万伤害
45002400	4	5#24000000	5回合内造成2400万伤害
45002500	4	5#25000000	5回合内造成2500万伤害
45002600	4	5#26000000	5回合内造成2600万伤害
45002700	4	5#27000000	5回合内造成2700万伤害
45002800	4	5#28000000	5回合内造成2800万伤害
45002900	4	5#29000000	5回合内造成2900万伤害
45003000	4	5#30000000	5回合内造成3000万伤害
45003100	4	5#31000000	5回合内造成3100万伤害
45003200	4	5#32000000	5回合内造成3200万伤害
45003300	4	5#33000000	5回合内造成3300万伤害
45003400	4	5#34000000	5回合内造成3400万伤害
45003500	4	5#35000000	5回合内造成3500万伤害
45003600	4	5#36000000	5回合内造成3600万伤害
45003700	4	5#37000000	5回合内造成3700万伤害
45003800	4	5#38000000	5回合内造成3800万伤害
45003900	4	5#39000000	5回合内造成3900万伤害
45004000	4	5#40000000	5回合内造成4000万伤害
45004100	4	5#41000000	5回合内造成4100万伤害
45004200	4	5#42000000	5回合内造成4200万伤害
45004300	4	5#43000000	5回合内造成4300万伤害
45004400	4	5#44000000	5回合内造成4400万伤害
45004500	4	5#45000000	5回合内造成4500万伤害
45004600	4	5#46000000	5回合内造成4600万伤害
45004700	4	5#47000000	5回合内造成4700万伤害
45004800	4	5#48000000	5回合内造成4800万伤害
45004900	4	5#49000000	5回合内造成4900万伤害
45005000	4	5#50000000	5回合内造成5000万伤害
45005100	4	5#51000000	5回合内造成5100万伤害
45005200	4	5#52000000	5回合内造成5200万伤害
45005300	4	5#53000000	5回合内造成5300万伤害
45005400	4	5#54000000	5回合内造成5400万伤害
45005500	4	5#55000000	5回合内造成5500万伤害
45005600	4	5#56000000	5回合内造成5600万伤害
45005700	4	5#57000000	5回合内造成5700万伤害
512	5	1#2	至少上阵人系神将2个
513	5	1#3	至少上阵人系神将3个
514	5	1#4	至少上阵人系神将4个
515	5	1#5	至少上阵人系神将5个
522	5	2#2	至少上阵佛系神将2个
523	5	2#3	至少上阵佛系神将3个
524	5	2#4	至少上阵佛系神将4个
525	5	2#5	至少上阵佛系神将5个
532	5	3#2	至少上阵妖系神将2个
533	5	3#3	至少上阵妖系神将3个
534	5	3#4	至少上阵妖系神将4个
535	5	3#5	至少上阵妖系神将5个
542	5	4#2	至少上阵道系神将2个
543	5	4#3	至少上阵道系神将3个
544	5	4#4	至少上阵道系神将4个
545	5	4#5	至少上阵道系神将5个
601	6	1	存活1个人
602	6	2	存活2个人
603	6	3	存活3个人
604	6	4	存活4个人
605	6	5	存活5个人
606	6	6	存活6个人
701	7	2	不上阵输出神将通过关卡
702	7	4	不上阵辅助神将通过关卡
703	7	1	不上阵肉盾神将通过关卡
704	7	3	不上阵控制神将通过关卡
801	8	1	不上阵人系神将通过关卡
802	8	2	不上阵佛系神将通过关卡
803	8	3	不上阵妖系神将通过关卡
804	8	4	不上阵道系神将通过关卡
901	9	1000054	佩戴舍身济世魂印通过关卡
902	9	1000047	佩戴辟邪守护魂印通过关卡
903	9	1000046	佩戴破军魂印通过关卡
904	9	1000009	佩戴妲己魂印通过关卡
905	9	1000010	佩戴猪八戒魂印通过关卡
906	9	1000012	佩戴精卫魂印通过关卡
907	9	1000013	佩戴百花仙子魂印通过关卡
908	9	1000014	佩戴唐僧魂印通过关卡
909	9	1000016	佩戴孙悟空魂印通过关卡
910	9	1000017	佩戴降龙罗汉魂印通过关卡
911	9	1000018	佩戴孔雀明王魂印通过关卡
912	9	1000019	佩戴燃灯魂印通过关卡
913	9	1000020	佩戴月光菩萨魂印通过关卡
914	9	1000021	佩戴女儿国王魂印通过关卡
915	9	1000022	佩戴九命猫魂印通过关卡
916	9	1000025	佩戴娥皇魂印通过关卡
917	9	1000026	佩戴冥毒邪宴魂印通过关卡
918	9	1000027	佩戴太阴星君魂印通过关卡
919	9	1000029	佩戴通天教主魂印通过关卡
920	9	1000030	佩戴罗刹魂印通过关卡
921	9	1000031	佩戴夜叉魂印通过关卡
922	9	1000033	佩戴瘟癀疫病魂印通过关卡
923	9	1000034	佩戴蚀骨火毒魂印通过关卡
924	9	1000035	佩戴神女庇佑魂印通过关卡
925	9	1000036	佩戴姑获鸟魂印通过关卡
926	9	1000037	佩戴敖丙魂印通过关卡
927	9	1000038	佩戴义结金兰魂印通过关卡
928	9	1000039	佩戴青鸟传信魂印通过关卡
929	9	1000040	佩戴火烧连城魂印通过关卡
930	9	1000041	佩戴破邪怒斩魂印通过关卡
931	9	1000042	佩戴狂噬戮兽魂印通过关卡
932	9	1000043	佩戴哪吒魂印通过关卡
933	9	1000044	佩戴失心暴怒魂印通过关卡
934	9	1000045	佩戴起死回生魂印通过关卡
935	9	1000048	佩戴破阵穿心魂印通过关卡
936	9	1000049	佩戴饕餮吞鲸魂印通过关卡
937	9	1000051	佩戴羲农之佑魂印通过关卡
938	9	1000052	佩戴除妖斩魔魂印通过关卡
939	9	1000053	佩戴历战之躯魂印通过关卡
1000	10	0	不使用灵兽通过关卡
1101	11	2	全部上阵输出职业神将通过关卡
1102	11	4	全部上阵辅助职业神将通过关卡
1103	11	1	全部上阵肉盾职业神将通过关卡
1104	11	3	全部上阵控制职业神将通过关卡
