Id	Chapter	Star	StarReward	RewardIcon
int	int	int	int	int
1	1	10	405001	11024
2	1	20	405002	11026
3	1	30	405003	11028
4	2	10	405004	11024
5	2	20	405005	11026
6	2	30	405006	11028
7	3	10	405007	11024
8	3	20	405008	11026
9	3	30	405009	11028
10	4	10	405010	11024
11	4	20	405011	11026
12	4	30	405012	11028
13	5	10	405013	11024
14	5	20	405014	11026
15	5	30	405015	11028
16	6	10	405016	11024
17	6	20	405017	11026
18	6	30	405018	11028
19	7	10	405019	11024
20	7	20	405020	11026
21	7	30	405021	11028
22	8	10	405022	11024
23	8	20	405023	11026
24	8	30	405024	11028
25	9	10	405025	11024
26	9	20	405026	11026
27	9	30	405027	11028
28	10	10	405028	11024
29	10	20	405029	11026
30	10	30	405030	11028
31	11	10	405031	11024
32	11	20	405032	11026
33	11	30	405033	11028
34	12	10	405034	11024
35	12	20	405035	11026
36	12	30	405036	11028
37	13	10	405037	11024
38	13	20	405038	11026
39	13	30	405039	11028
40	14	10	405040	11024
41	14	20	405041	11026
42	14	30	405042	11028
43	15	10	405043	11024
44	15	20	405044	11026
45	15	30	405045	11028
