Id	Country	Star	CanChangeCountry	NeedStar	NeedNumber	Cost
int	int	int	mut,int#int,1	int	int	mut,int#int,1
1	1	10	1#2#3	5	5	18102#10
2	1	11	1#2#3	5	7	18102#20
3	1	12	1#2#3	5	9	18102#30
4	1	13	1#2#3	5	11	18102#40
5	2	10	1#2#3	5	5	18102#10
6	2	11	1#2#3	5	7	18102#20
7	2	12	1#2#3	5	9	18102#30
8	2	13	1#2#3	5	11	18102#40
9	3	10	1#2#3	5	5	18102#10
10	3	11	1#2#3	5	7	18102#20
11	3	12	1#2#3	5	9	18102#30
12	3	13	1#2#3	5	11	18102#40
13	4	10	4#5	5	5	18102#10
14	4	11	4#5	5	7	18102#20
15	4	12	4#5	5	9	18102#30
16	4	13	4#5	5	11	18102#40
17	5	10	4#5	5	5	18102#10
18	5	11	4#5	5	7	18102#20
19	5	12	4#5	5	9	18102#30
20	5	13	4#5	5	11	18102#40
