Id	Issame	StarLimit	IsSameClan	IsId
int	int	int	int	int
1	1	3	1	0
2	1	4	1	0
3	1	5	1	0
4	1	6	1	0
5	1	7	1	0
6	1	8	1	0
7	1	9	1	0
8	1	10	1	0
9	1	11	1	0
10	1	12	1	0
11	0	3	0	0
12	0	4	0	0
13	0	5	0	0
14	0	6	0	0
15	0	7	0	0
16	0	8	0	0
17	0	9	0	0
18	0	10	0	0
19	0	11	0	0
20	0	12	0	0
21	0	3	1	0
22	0	4	1	0
23	0	5	1	0
24	0	6	1	0
25	0	7	1	0
26	0	8	1	0
27	0	9	1	0
28	0	10	1	0
29	0	11	1	0
30	0	12	1	0
31	0	5	0	10011
32	0	5	0	10012
33	0	5	0	10013
34	0	5	0	10014
35	0	5	0	10028
36	0	5	0	10029
37	0	5	0	10030
38	0	5	0	10032
39	0	5	0	10047
40	0	5	0	10048
41	0	5	0	10049
42	0	5	0	10050
43	0	5	0	10051
44	0	5	0	10067
45	0	5	0	10068
46	0	5	0	10069
47	0	5	0	10070
48	0	5	0	10086
49	0	5	0	10087
50	0	5	0	10088
51	0	5	0	10089
52	0	5	0	10031
53	0	5	0	10015
