Id	Type	Key	Value
int	int	int	mut,int#int,2
1	1	1	4#2|3#100
2	1	2	4#5|3#200
3	1	3	4#10|3#500|26#10
4	1	4	4#25|3#1000|26#25
5	1	5	4#250|3#5000|26#250
6	1	6	4#1500|3#30000|26#1500
7	1	7	4#3500|3#50000|26#2500
8	1	8	4#7750|3#95000|26#4750
9	1	9	4#14000|3#140000|26#7000
10	1	10	4#40000|3#320000|26#16000
11	1	11	4#70500|3#490000|26#24500
12	1	12	4#132000|3#840000|26#42000|6000085#20
13	1	13	4#212500|3#1330000|26#66500|6000085#60
14	1	14	4#212500|3#1330000|26#66500|6000085#60
15	1	15	4#212500|3#1330000|26#66500|6000085#60
16	1	16	4#212500|3#1330000|26#66500|6000085#60
17	1	17	4#212500|3#1330000|26#66500|6000085#60
18	1	18	4#212500|3#1330000|26#66500|6000085#60
19	1	19	4#212500|3#1330000|26#66500|6000085#60
20	1	20	4#212500|3#1330000|26#66500|6000085#60
21	2	0	null
22	2	1	4#50|14#10000
23	2	2	4#150|14#30000
24	2	3	4#350|14#70000
25	2	4	4#850|14#170000
26	2	5	4#1850|14#370000
27	2	6	4#3850|14#870000
