Id	Type	Star	Country	BackStar	Cost	SelfPieceReturn	ItemReturn
int	int	int	int	Int	mut,int#int,1	int	mut,int#int,2
1	1	7	1	null	18101#10	100	11051#8|4#1000
2	1	8	1	null	18101#20	100	11061#1|11051#11|4#3000
3	1	9	1	null	18101#30	150	11061#2|11051#13|4#7000
4	1	7	2	null	18101#10	100	11052#8|4#1000
5	1	8	2	null	18101#20	100	11062#1|11052#11|4#3000
6	1	9	2	null	18101#30	150	11062#2|11052#13|4#7000
7	1	7	3	null	18101#10	100	11053#8|4#1000
8	1	8	3	null	18101#20	100	11063#1|11053#11|4#3000
9	1	9	3	null	18101#30	150	11063#2|11053#13|4#7000
10	1	7	4	null	18101#10	100	11054#8|4#1000
11	1	8	4	null	18101#20	100	11064#1|11054#11|4#3000
12	1	9	4	null	18101#30	150	11064#2|11054#13|4#7000
13	1	7	5	null	18101#10	100	11055#8|4#1000
14	1	8	5	null	18101#20	100	11065#1|11055#11|4#3000
15	1	9	5	null	18101#30	150	11065#2|11055#13|4#7000
16	2	10	1	9	18102#10	100	11090#1|11061#1|4#10000
17	2	11	1	9	18102#20	200	11090#2|11061#1|11051#4|4#25000
18	2	12	1	9	18102#30	300	11090#4|11061#2|11051#10|4#45000|6000085#20
19	2	13	1	9	18102#40	400	11090#6|11091#1|11061#3|11051#16|4#70000|6000085#60
20	2	10	2	9	18102#10	100	11090#1|11062#1|4#10000
21	2	11	2	9	18102#20	200	11090#2|11062#1|11052#4|4#25000
22	2	12	2	9	18102#30	300	11090#4|11062#2|11052#10|4#45000|6000085#20
23	2	13	2	9	18102#40	400	11090#6|11092#1|11062#3|11052#16|4#70000|6000085#60
24	2	10	3	9	18102#10	100	11090#1|11063#1|4#10000
25	2	11	3	9	18102#20	200	11090#2|11063#1|11053#4|4#25000
26	2	12	3	9	18102#30	300	11090#4|11063#2|11053#10|4#45000|6000085#20
27	2	13	3	9	18102#40	400	11090#6|11093#1|11063#3|11053#16|4#70000|6000085#60
28	2	10	4	9	18102#10	100	11090#1|11064#1|4#10000
29	2	11	4	9	18102#20	200	11090#2|11064#1|11054#4|4#25000
30	2	12	4	9	18102#30	300	11090#4|11064#2|11054#10|4#45000|6000085#20
31	2	13	4	9	18102#40	400	11090#6|11094#1|11064#3|11054#16|4#70000|6000085#60
32	2	10	5	9	18102#10	100	11090#1|11065#1|4#10000
33	2	11	5	9	18102#20	200	11090#2|11065#1|11055#4|4#25000
34	2	12	5	9	18102#30	300	11090#4|11065#2|11055#10|4#45000|6000085#20
35	2	13	5	9	18102#40	400	11090#6|11095#1|11065#3|11055#16|4#70000|6000085#60
