Star	Hp	HpRate	Atk	AtkRate	Def	DefRate	Speed	SpeedRate
int	int	int	int	int	int	int	int	int
1	0	10000	0	10000	0	10000	0	10000
2	0	10000	0	10000	0	10000	0	10000
3	0	10000	0	10000	0	10000	0	10000
4	0	10000	0	10000	0	10000	0	10000
5	200	10000	40	10000	0	10000	10	10000
6	400	15000	80	14000	0	10000	20	10000
7	600	22500	120	19600	0	10000	30	10000
8	800	33750	160	27440	0	10000	40	10000
9	1000	50620	200	38410	0	10000	50	10000
10	1200	75930	240	53770	0	10000	60	10000
11	1400	98700	280	64520	0	10000	70	10000
12	1600	128310	320	77424	0	10000	80	10000
13	1800	166803	360	92909	0	10000	90	10000
