Id	PropPrice	MoneyPrice
int	mut,int#int,1	mut,int#int,1
1	100#0	16#0
2	100#400	16#400
3	100#500	16#500
4	100#600	16#600
5	100#700	16#700
6	100#800	16#800
7	100#900	16#900
8	100#1000	16#1000
9	100#1200	16#1200
10	100#1400	16#1400
11	100#1600	16#1600
12	100#1800	16#1800
13	100#2000	16#2000
14	100#2300	16#2300
15	100#2600	16#2600
16	100#2900	16#2900
17	100#3200	16#3200
18	100#3600	16#3600
19	100#4000	16#4000
20	100#4500	16#4500
21	100#5000	16#5000
22	100#5500	16#5500
23	100#6000	16#6000
24	100#7000	16#7000
25	100#8000	16#8000
26	100#9000	16#9000
27	100#10000	16#10000
28	100#11000	16#11000
29	100#12000	16#12000
30	100#13000	16#13000
31	100#14000	16#14000
32	100#16000	16#16000
33	100#18000	16#18000
34	100#20000	16#20000
35	100#22000	16#22000
36	100#24000	16#24000
37	100#26000	16#26000
38	100#28000	16#28000
39	100#30000	16#30000
40	100#33000	16#33000
41	100#36000	16#36000
42	100#39000	16#39000
43	100#42000	16#42000
44	100#45000	16#45000
45	100#48000	16#48000
46	100#51000	16#51000
47	100#54000	16#54000
48	100#57000	16#57000
49	100#60000	16#60000
50	100#65000	16#65000
