Id	HongmengLevel	LevelUp
int	int	mut,int#int,2
1	331	14#35445960|3#33672990
2	332	14#35987730|3#34060620
3	333	14#36536490|3#34451580
4	334	14#37092240|3#34845900
5	335	14#37655040|3#35243550
6	336	14#38225010|3#35644620
7	337	14#38802180|3#36049080
8	338	14#39386580|3#36456960
9	339	14#39978330|3#36868260
10	340	14#40577430|3#37283040
11	341	14#41184000|3#37701300
12	342	14#41798070|3#38123040
13	343	14#42419730|3#38548320
14	344	14#43049010|3#38977140
15	345	14#43685970|3#39409500
16	346	14#44330730|3#39845460
17	347	14#44983290|3#40284990
18	348	14#45643740|3#40728150
19	349	14#46312140|3#41174940
20	350	14#46988580|3#41625390
21	351	14#47673090|3#42079500
22	352	14#48365730|3#42537330
23	353	14#49066620|3#42998850
24	354	14#49775760|3#43464120
25	355	14#50493270|3#43933170
26	356	14#51219180|3#44405940
27	357	14#51953550|3#44882550
28	358	14#52696470|3#45362970
29	359	14#53448030|3#45847200
30	360	14#54208230|3#46335300
31	361	14#54977190|3#46827270
32	362	14#55754970|3#47323140
33	363	14#56541630|3#47822940
34	364	14#57337230|3#48326670
35	365	14#58141860|3#48834360
36	366	14#58955580|3#49346010
37	367	14#59778420|3#49861680
38	368	14#60610500|3#50381370
39	369	14#61451880|3#50905110
40	370	14#62302620|3#51432870
41	371	14#63162780|3#51964770
42	372	14#64032450|3#52500720
43	373	14#64911690|3#53040840
44	374	14#65800560|3#53585070
45	375	14#66699150|3#54133500
46	376	14#67607550|3#54686100
47	377	14#68525760|3#55242900
48	378	14#69453930|3#55803930
49	379	14#70392060|3#56369220
50	380	14#71340300|3#56938800
51	381	14#72298650|3#57512640
52	382	14#73267230|3#58090830
53	383	14#74246100|3#58673340
54	384	14#75235320|3#59260200
55	385	14#76234950|3#59851470
56	386	14#77245110|3#60447120
57	387	14#78265830|3#61047180
58	388	14#79297230|3#61651710
59	389	14#80339340|3#62260710
60	390	14#81392250|3#62874180
61	391	14#82456050|3#63492180
62	392	14#83530770|3#64114710
63	393	14#84616530|3#64741800
64	394	14#85713390|3#65373450
65	395	14#86821440|3#66009720
66	396	14#87940710|3#66650610
67	397	14#89071320|3#67296120
68	398	14#90213360|3#67946340
69	399	14#91366830|3#68601210
70	400	14#92531880|3#69260820
71	401	14#93708570|3#69925140
72	402	14#94896960|3#70594230
73	403	14#96097140|3#71268090
74	404	14#97309200|3#71946750
75	405	14#98533170|3#72630240
76	406	14#99769200|3#73318590
77	407	14#101017290|3#74011800
78	408	14#102277590|3#74709900
79	409	14#103550130|3#75412920
80	410	14#104835000|3#76120890
81	411	14#106132290|3#76833810
82	412	14#107442060|3#77551710
83	413	14#108764430|3#78274620
84	414	14#110099430|3#79002570
85	415	14#111447180|3#79735560
86	416	14#112807740|3#80473650
87	417	14#114181200|3#81216810
88	418	14#115567620|3#81965130
89	419	14#116967120|3#82718580
90	420	14#118379730|3#83477190
91	421	14#119805600|3#84241020
92	422	14#121244730|3#85010040
93	423	14#122697270|3#85784340
94	424	14#124163280|3#86563860
95	425	14#125642820|3#87348720
96	426	14#127136010|3#88138860
97	427	14#128642910|3#88934340
98	428	14#130163610|3#89735190
99	429	14#131698170|3#90541410
100	430	14#133246710|3#91353060
101	431	14#134809320|3#92170140
102	432	14#136386030|3#92992680
103	433	14#137976990|3#93820680
104	434	14#139582230|3#94654200
105	435	14#141201870|3#95493270
106	436	14#142836000|3#96337860
107	437	14#144484680|3#97188060
108	438	14#146148000|3#98043840
109	439	14#147826050|3#98905260
110	440	14#149518920|3#99772350
111	441	14#151226670|3#100645080
112	442	14#152949450|3#101523540
113	443	14#154687290|3#102407730
114	444	14#156440280|3#103297650
115	445	14#158208540|3#104193360
116	446	14#159992160|3#105094860
117	447	14#161791170|3#106002180
118	448	14#163605720|3#106915380
119	449	14#165435870|3#107834430
120	450	14#167281710|3#108759390
121	451	14#169143330|3#109690290
122	452	14#171020820|3#110627130
123	453	14#172914270|3#111569940
124	454	14#174823770|3#112518780
125	455	14#176749410|3#113473620
126	456	14#178691280|3#114434520
127	457	14#180649470|3#115401510
128	458	14#182624070|3#116374590
129	459	14#184615170|3#117353790
130	460	14#186622860|3#118339170
131	461	14#188647260|3#119330730
132	462	14#190688400|3#120328470
133	463	14#192746430|3#121332450
134	464	14#194821410|3#122342700
135	465	14#196913460|3#123359250
136	466	14#199022640|3#124382100
137	467	14#201149040|3#125411280
138	468	14#203292780|3#126446820
139	469	14#205453950|3#127488750
140	470	14#207632640|3#128537070
141	471	14#209828910|3#129591870
142	472	14#212042910|3#130653120
143	473	14#214274700|3#131720880
144	474	14#216524370|3#132795150
145	475	14#218792040|3#133875960
146	476	14#221077800|3#134963340
147	477	14#223381740|3#136057320
148	478	14#225703920|3#137157930
149	479	14#228044490|3#138265200
150	480	14#230403540|3#139379130
151	481	14#232781130|3#140499780
152	482	14#235177380|3#141627180
153	483	14#237592380|3#142761300
