Id	NextLevel	PropertyAdd	Consume	RechargeId	StoreTypeId	DailyReward
int	int	mut,int#int,2	mut,int#int,1	int	int	mut,int#int,2
1	2	1#300|51#1000	16#1500	20001	100	200010#100
2	3	1#600|2#50|5#10|51#1000|52#500	16#2000	0	100	200010#120
3	4	1#900|2#100|5#20|51#1000|52#500|55#500	16#2500	0	100	200010#150
4	5	1#1200|2#200|5#30|51#1000|52#500|55#500|60#500	16#3000	0	100	200010#200
5	6	1#1800|2#300|5#40|51#1000|52#500|55#500|60#500|56#500|171#500	16#3500	0	100	200010#250
6	7	1#2400|2#400|5#60|51#1500|52#500|55#500|60#500|56#500|171#500	16#4000	0	100	200010#300
7	8	1#3000|2#500|5#80|51#1500|52#1500|55#500|60#500|56#500|171#500	16#5000	0	100	200010#350
8	9	1#3600|2#600|5#100|51#1500|52#1500|55#1500|60#500|56#500|171#500	16#6000	0	100	200010#400
9	10	1#4200|2#700|5#120|51#1500|52#1500|55#1500|60#1500|56#500|171#500	16#8000	0	100	200010#500
10	0	1#5000|2#800|5#150|51#1500|52#1500|55#1500|60#1500|56#1000|171#1000	null	0	100	200010#600
