Id	Name	BackpackOrNot	ItemType	ItemBaseType	PropertyName	Quantity	Isopen	IfResolve	ResolveReward	UseType	RewardGroup	UsePerCount	IsSave	HeroStar	Ifopen	ItemNumlimit	ExtraReward	IsGetShow
int	string	bool	int	int	int	int	bool	int	string	int	mut,int#int,1	int	int	mut,int#int,1	int	long	mut,int#int,2	int
10001	1010001	false	1	0	0	5	false	1	56001	0	0	0	1	10001#5	1	9999999	0|71001#1	1
10002	1010002	false	1	0	0	5	false	1	56001	0	0	0	1	10002#5	1	9999999	0|71002#1	1
10003	1010003	false	1	0	0	5	false	1	56001	0	0	0	1	10003#5	1	9999999	0|71003#1	1
10004	1010004	false	1	0	0	5	false	1	56001	0	0	0	1	10004#5	1	9999999	0|71004#1	1
10005	1010005	false	1	0	0	5	false	1	56001	0	0	0	1	10005#5	1	9999999	0|71005#1	1
10006	1010006	false	1	0	0	5	false	1	56001	0	0	0	1	10006#5	1	9999999	0|71006#1	1
10007	1010007	false	1	0	0	5	false	1	56001	0	0	0	1	10007#5	1	9999999	0|71007#1	1
10008	1010008	false	1	0	0	5	false	1	56001	0	0	0	1	10008#5	1	9999999	0|71008#1	1
10009	1010009	false	1	0	0	5	false	1	56001	0	0	0	1	10009#5	1	9999999	0|71009#1	1
10010	1010010	false	1	0	0	5	false	1	56001	0	0	0	1	10010#5	1	9999999	0|71010#1	1
10011	1010011	false	1	0	0	4	false	1	56002	0	0	0	1	10011#4	1	9999999	0|71011#1	1
10012	1010012	false	1	0	0	4	false	1	56002	0	0	0	1	10012#4	1	9999999	0|71012#1	1
10013	1010013	false	1	0	0	4	false	1	56002	0	0	0	1	10013#4	1	9999999	0|71013#1	1
10014	1010014	false	1	0	0	4	false	1	56002	0	0	0	1	10014#4	1	9999999	0|71014#1	1
10015	1010015	false	1	0	0	4	false	1	56002	0	0	0	1	10015#4	1	9999999	0|71015#1	1
10016	1010016	false	1	0	0	3	false	1	56003	0	0	0	1	10016#3	1	9999999	0|71016#1	1
10017	1010017	false	1	0	0	2	false	1	56004	0	0	0	1	10017#2	1	9999999	0|71017#1	1
10018	1010018	false	1	0	0	1	false	1	56005	0	0	0	1	10018#1	1	9999999	0|71018#1	1
10019	1010019	false	1	0	0	5	false	1	56001	0	0	0	1	10019#5	1	9999999	0|71019#1	1
10020	1010020	false	1	0	0	5	false	1	56001	0	0	0	1	10020#5	1	9999999	0|71020#1	1
10021	1010021	false	1	0	0	5	false	1	56001	0	0	0	1	10021#5	1	9999999	0|71021#1	1
10022	1010022	false	1	0	0	5	false	1	56001	0	0	0	1	10022#5	1	9999999	0|71022#1	1
10023	1010023	false	1	0	0	5	false	1	56001	0	0	0	1	10023#5	1	9999999	0|71023#1	1
10024	1010024	false	1	0	0	5	false	1	56001	0	0	0	1	10024#5	1	9999999	0|71024#1	1
10025	1010025	false	1	0	0	5	false	1	56001	0	0	0	1	10025#5	1	9999999	0|71025#1	1
10026	1010026	false	1	0	0	5	false	1	56001	0	0	0	1	10026#5	1	9999999	0|71026#1	1
10027	1010027	false	1	0	0	5	false	1	56001	0	0	0	1	10027#5	1	9999999	0|71027#1	1
10028	1010028	false	1	0	0	4	false	1	56002	0	0	0	1	10028#4	1	9999999	0|71028#1	1
10029	1010029	false	1	0	0	4	false	1	56002	0	0	0	1	10029#4	1	9999999	0|71029#1	1
10030	1010030	false	1	0	0	4	false	1	56002	0	0	0	1	10030#4	1	9999999	0|71030#1	1
10031	1010031	false	1	0	0	4	false	1	56002	0	0	0	1	10031#4	1	9999999	0|71031#1	1
10032	1010032	false	1	0	0	4	false	1	56002	0	0	0	1	10032#4	1	9999999	0|71032#1	1
