Id	Location	Level	Race	LevelupPool	RankupPool	Max	RankupCount	RankupResources
int	int	int	int	int	int	mut,int#int,1	int	mut,int#int,2
100001	1	2	1	1	1	10#6	4	14#100000
100002	1	3	1	2	1	20#12	4	14#300000
100003	1	4	1	3	1	30#18	4	14#1000000
100004	1	5	1	4	1	40#24	4	14#3000000
100005	1	6	1	5	1	50#30	4	14#10000000
100006	2	2	1	6	2	10#6	4	14#100000
100007	2	3	1	7	2	20#12	4	14#300000
100008	2	4	1	8	2	30#18	4	14#1000000
100009	2	5	1	9	2	40#24	4	14#3000000
100010	2	6	1	10	2	50#30	4	14#10000000
100011	1	2	2	1	3	10#6	4	14#100000
100012	1	3	2	2	3	20#12	4	14#300000
100013	1	4	2	3	3	30#18	4	14#1000000
100014	1	5	2	4	3	40#24	4	14#3000000
100015	1	6	2	5	3	50#30	4	14#10000000
100016	2	2	2	6	4	10#6	4	14#100000
100017	2	3	2	7	4	20#12	4	14#300000
100018	2	4	2	8	4	30#18	4	14#1000000
100019	2	5	2	9	4	40#24	4	14#3000000
100020	2	6	2	10	4	50#30	4	14#10000000
100021	1	2	3	1	5	10#6	4	14#100000
100022	1	3	3	2	5	20#12	4	14#300000
100023	1	4	3	3	5	30#18	4	14#1000000
100024	1	5	3	4	5	40#24	4	14#3000000
100025	1	6	3	5	5	50#30	4	14#10000000
100026	2	2	3	6	6	10#6	4	14#100000
100027	2	3	3	7	6	20#12	4	14#300000
100028	2	4	3	8	6	30#18	4	14#1000000
100029	2	5	3	9	6	40#24	4	14#3000000
100030	2	6	3	10	6	50#30	4	14#10000000
100031	1	2	4	1	7	10#6	4	14#100000
100032	1	3	4	2	7	20#12	4	14#300000
100033	1	4	4	3	7	30#18	4	14#1000000
100034	1	5	4	4	7	40#24	4	14#3000000
100035	1	6	4	5	7	50#30	4	14#10000000
100036	2	2	4	6	8	10#6	4	14#100000
100037	2	3	4	7	8	20#12	4	14#300000
100038	2	4	4	8	8	30#18	4	14#1000000
100039	2	5	4	9	8	40#24	4	14#3000000
100040	2	6	4	10	8	50#30	4	14#10000000
