Id	Type	Level	PoolID	Property	JewelExpend	UpExpend
int	int	int	int	mut,int#int,2	mut,int#int,2	mut,int#int,2
1	1	0	1	1#4800	null	29#500|14#2000
2	1	1	1	1#5760	null	29#600|14#2400
3	1	2	1	1#6720	null	29#700|14#2800
4	1	3	1	1#7680	null	29#800|14#3200
5	1	4	1	1#8640	null	29#900|14#3600
6	1	5	1	1#9600	null	29#1000|14#4000
7	1	6	1	1#10560	null	29#1100|14#4400
8	1	7	1	1#11520	null	29#1200|14#4800
9	1	8	1	1#12480	null	29#1300|14#5200
10	1	9	1	1#13440	null	29#1400|14#5600
11	1	10	1	1#14880	null	29#1500|14#6000
12	1	11	1	1#16320	null	29#1650|14#6600
13	1	12	1	1#17760	null	29#1800|14#7200
14	1	13	1	1#19200	null	29#1950|14#7800
15	1	14	1	1#20640	null	29#2100|14#8400
16	1	15	1	1#22080	null	29#2250|14#9000
17	1	16	1	1#23520	null	29#2400|14#9600
18	1	17	1	1#24960	null	29#2550|14#10200
19	1	18	1	1#26400	null	29#2700|14#10800
20	1	19	1	1#27840	null	29#2850|14#11400
21	1	20	1	1#30000	null	29#3000|14#12000
22	1	21	1	1#32160	null	29#3200|14#12800
23	1	22	1	1#34320	null	29#3400|14#13600
24	1	23	1	1#36480	null	29#3600|14#14400
25	1	24	1	1#38640	null	29#3800|14#15200
26	1	25	1	1#40800	null	29#4000|14#16000
27	1	26	1	1#42960	null	29#4200|14#16800
28	1	27	1	1#45120	null	29#4400|14#17600
29	1	28	1	1#47280	null	29#4600|14#18400
30	1	29	1	1#49440	null	29#4800|14#19200
31	1	30	1	1#52560	null	29#5000|14#20000
32	1	31	1	1#55680	null	29#5250|14#21000
33	1	32	1	1#58800	null	29#5500|14#22000
34	1	33	1	1#61920	null	29#5750|14#23000
35	1	34	1	1#65040	null	29#6000|14#24000
36	1	35	1	1#68160	null	29#6250|14#25000
37	1	36	1	1#71280	null	29#6500|14#26000
38	1	37	1	1#74400	null	29#6750|14#27000
39	1	38	1	1#77520	null	29#7000|14#28000
40	1	39	1	1#80640	null	29#7250|14#29000
41	1	40	1	1#84960	null	29#7500|14#30000
42	1	41	1	1#89280	null	29#7800|14#31200
43	1	42	1	1#93600	null	29#8100|14#32400
44	1	43	1	1#97920	null	29#8400|14#33600
45	1	44	1	1#102240	null	29#8700|14#34800
46	1	45	1	1#106560	null	29#9000|14#36000
47	1	46	1	1#110880	null	29#9300|14#37200
48	1	47	1	1#115200	null	29#9600|14#38400
49	1	48	1	1#119520	null	29#9900|14#39600
50	1	49	1	1#123840	null	29#10200|14#40800
51	1	50	1	1#128880	null	
52	1	0	2	1#9600	null	29#500|14#2000
53	1	1	2	1#10560	null	29#600|14#2400
54	1	2	2	1#11520	null	29#700|14#2800
55	1	3	2	1#12480	null	29#800|14#3200
56	1	4	2	1#13440	null	29#900|14#3600
57	1	5	2	1#14400	null	29#1000|14#4000
58	1	6	2	1#15360	null	29#1100|14#4400
59	1	7	2	1#16320	null	29#1200|14#4800
60	1	8	2	1#17280	null	29#1300|14#5200
61	1	9	2	1#18240	null	29#1400|14#5600
62	1	10	2	1#19680	null	29#1500|14#6000
63	1	11	2	1#21120	null	29#1650|14#6600
64	1	12	2	1#22560	null	29#1800|14#7200
65	1	13	2	1#24000	null	29#1950|14#7800
66	1	14	2	1#25440	null	29#2100|14#8400
67	1	15	2	1#26880	null	29#2250|14#9000
68	1	16	2	1#28320	null	29#2400|14#9600
69	1	17	2	1#29760	null	29#2550|14#10200
70	1	18	2	1#31200	null	29#2700|14#10800
71	1	19	2	1#32640	null	29#2850|14#11400
72	1	20	2	1#34800	null	29#3000|14#12000
73	1	21	2	1#36960	null	29#3200|14#12800
74	1	22	2	1#39120	null	29#3400|14#13600
75	1	23	2	1#41280	null	29#3600|14#14400
76	1	24	2	1#43440	null	29#3800|14#15200
77	1	25	2	1#45600	null	29#4000|14#16000
78	1	26	2	1#47760	null	29#4200|14#16800
79	1	27	2	1#49920	null	29#4400|14#17600
80	1	28	2	1#52080	null	29#4600|14#18400
81	1	29	2	1#54240	null	29#4800|14#19200
82	1	30	2	1#57360	null	29#5000|14#20000
83	1	31	2	1#60480	null	29#5250|14#21000
84	1	32	2	1#63600	null	29#5500|14#22000
85	1	33	2	1#66720	null	29#5750|14#23000
86	1	34	2	1#69840	null	29#6000|14#24000
