id	Chinese	English	Japanese	Korean
int	string	string	string	string
10001	没有ActivityTypeDef为%s任务Id为%s的数据			
10002	没有ActivityTypeDef为%s任务			
10003	活动关闭        	Event closed.        	イベント終了        	이벤트 종료        
10004	活动开启        	The event is active.        	イベント開催        	이벤트 오픈        
10005	一	1	一	1
10006	二	2	100円消費すると開けることができます	2
10007	三	3	三	3
10008	四	4	四	4
10009	五	5	五	5
10010	六	6	六	6
10011	七	7	七	7
10012	八	8	八	8
10013	九	9	九	9
10014	十	10	十	10
10015	十一	11	十一	11
10016	十二	12	十二	12
10017	十三	13	十三	13
10018	十四	14	十四	14
10019	十五	15	十五	15
10020	累计登录	Total Logins	累計ログイン	누적 접속
10021	天	Day(s)	日	일
10022	领取	Collect	受取	수령
10023	前往	Go	GO	이동
10024	在线时长:	Time Online:	オンラインタイム:	접속 시간: 
10025	是否点击	Tap to X?	タップしますか？	터치 상태
10026	开服福利	Server Rewards	リリースボーナス	오픈 혜택
10027	需先领取上一奖励！	You must claim the previous reward first!	先に前の報酬を受け取る必要があります	이전 보상을 먼저 받으셔야 합니다!
10028	重置时间：	Reset Time:	リセット時間：	리셋 시간: 
10029	活动已结束！	The event has ended.	イベントは終了しました！	이벤트가 종료되었습니다!
10030	排名	Ranking	ランキング	랭킹
10031	且战力达到	and CP reaches	かつ戦力がに達する	또한 전투력 도달
10032	到	reaches	に達する	도달
10033	战力达到	CP reaches	戦力がに達する	전투력 도달
10034	%d天 %02d时 %02d分 %02d秒	%dd %02dh %02dm %02ds	%d日 %02d時間 %02d分 %02d秒	%d일 %02d시간 %02d분 %02d초
10035	累计在线	Total Time Online	累計オンラインタイム	누적 접속 시간
10036	分钟	min	分	분
10037	下档奖励:	Lower-Tier Rewards:	次の報酬:	다음 단계 보상: 
10038	废弃文本-外 敌			
10039	废弃文本-排 名			
10040	废弃文本-奖 励			
10041	未上榜	Unranked	ランキング外	미포함
10042	万	0,000	万	만
10043	废弃文本-挂机时长是 -			
10044	训练时长:	Training Duration:	トレーニングタイム:	훈련 시간: 
10045	废弃文本-完成了%d次进攻			
10046	废弃文本	This text has been deprecated.	破棄テキスト	
10047	废弃文本	This text has been deprecated.	破棄テキスト	
10048	废弃文本	This text has been deprecated.	破棄テキスト	
10049	废弃文本	This text has been deprecated.	破棄テキスト	
10050	极速训练会立即获得收益。	Use Quick Train to obtain rewards immediately.	クイックトレーニングを使うとすぐに収益を獲得できます。	신속훈련을 통해 즉시 보상을 받을 수 있습니다.
10051	立即获得	Obtain Now	すぐに獲得	즉시 수령
10052	小时收益	Hourly Income	時間ごとの収益	시간 보상
10053	剩	Remaining	残り	남은 횟수
10054	次	Times	回	회
10055	(剩余	(Remaining	(残り	(남은 횟수
10056	次)	Times)	回)	회)
10057	废弃文本	This text has been deprecated.	破棄テキスト	
10058	没有挂机奖励可领取	There are no idle rewards to claim.	受け取れる放置報酬がありません	수령 가능한 보상이 없습니다
10059	废弃文本	This text has been deprecated.	破棄テキスト	
10060	道具不足	Not enough items.	アイテムが足りません	아이템 부족
10061	废弃文本-首次探险免费			
10062	级解锁	Unlocks at Lv.	Lvで解放	레벨 해제
10063	/分钟 	/min 	/分 	/분 
10064	废弃文本	This text has been deprecated.	破棄テキスト	
10065	废弃文本	This text has been deprecated.	破棄テキスト	
10066	废弃文本	This text has been deprecated.	破棄テキスト	
10067	废弃文本	This text has been deprecated.	破棄テキスト	
10068	<color#F5C66CFF>%s级</color>	<color#F5C66CFF>Level %s</color>	Lv<color#F5C66CFF>%s</color>	<color#F5C66CFF>%s레벨</color>
10069	废弃文本-收到通知刷新位置			
10070	分享操作频繁，请稍候再试。	You are sharing too quickly. Try again later.	シェアが頻繁過ぎます。しばらくしてからお試しください。	공유 횟수가 너무 많습니다. 나중에 다시 시도해 주세요.
10071	分享成功	Share successful.	シェア済み	공유 완료
10072	级	Level	Lv	레벨
