Id	Precondition	LevelLimit	MonsterGroup	Cost	PreLevelCost	Exp	FirstReward	RandomReward	RankTime	MaxCountPerDay	RecommendFightAbility
int	int	int	int	mut,int#int,2	mut,int#int,2	int	mut,int#int,1	mut,int#int,1	int	int	int
1011	0	0	51011	2#7	2#1	8	5001	3001#401001	180	0	300
1021	1011	0	51012	2#7	2#1	8	5002	3002#401002	180	0	300
1031	1021	0	51013	2#7	2#1	8	5003	3003#401003	180	0	300
1041	1031	0	51014	2#7	2#1	8	5004	3004#401004	180	0	300
1051	1041	0	51015	2#7	2#1	8	5005	3005#401005	180	0	300
2011	1051	0	51016	2#7	2#1	8	5006	3006#401006	90	0	5369
2021	2011	0	51017	2#7	2#1	8	5007	3007#401007	90	0	5369
2031	2021	0	51018	2#7	2#1	8	5008	3008#401008	120	0	5369
2041	2031	0	51019	2#7	2#1	8	5009#401009	3009#401009	90	0	8054
2051	2041	0	51020	2#7	2#1	8	5010#401010	3010#401010	180	0	8054
3011	2051	13	51021	2#7	2#1	8	5011#401011	3011#401011	90	0	8054
3021	3011	0	51022	2#7	2#1	8	5012#401012	3012#401012	90	0	10738
3031	3021	0	51023	2#7	2#1	8	5013#401013	3013#401013	120	0	10738
3041	3031	0	51024	2#7	2#1	8	5014#401014	3014#401014	90	0	10738
3051	3041	0	51025	2#7	2#1	8	5015#401015	3015#401015	180	0	10738
4011	3051	16	51026	2#7	2#1	8	5016#401016	3016#401016	90	0	13423
4021	4011	0	51027	2#7	2#1	8	5017#401017	3017#401017	90	0	16108
4031	4021	0	51028	2#7	2#1	8	5018#401018	3018#401018	120	0	16108
4041	4031	0	51029	2#7	2#1	8	5019#401019	3019#401019	90	0	16108
4051	4041	0	51030	2#7	2#1	8	5020#401020	3020#401020	180	0	16108
5011	4051	18	51031	2#7	2#1	8	5021#401021	3021#401021	90	0	21477
5021	5011	0	51032	2#7	2#1	8	5022#401022	3022#401022	90	0	21477
5031	5021	0	51033	2#7	2#1	8	5023#401023	3023#401023	120	0	21477
5041	5031	0	51034	2#7	2#1	8	5024#401024	3024#401024	90	0	24162
