Id	Name	SimpleLevel	NormalLevel	DifficultyLevel	OpenChallenge
int	string	mut,float#float,1	mut,float#float,1	mut,float#float,1	mut,float#float,2
1	浓雾迷境	1011#1021#1031#1041#1051	1012#1022#1032#1042#1052	1013#1023#1033#1043#1053	1051#101
2	聚落废墟	2011#2021#2031#2041#2051	2012#2022#2032#2042#2052	2013#2023#2033#2043#2053	2051#0
3	遗留线索	3011#3021#3031#3041#3051	3012#3022#3032#3042#3052	3013#3023#3033#3043#3053	3051#102
4	原野追踪	4011#4021#4031#4041#4051	4012#4022#4032#4042#4052	4013#4023#4033#4043#4053	4051#0
5	盟会伙伴	5011#5021#5031#5041#5051	5012#5022#5032#5042#5052	5013#5023#5033#5043#5053	5051#103
6	渔村废墟	6011#6021#6031#6041#6051	6012#6022#6032#6042#6052	6013#6023#6033#6043#6053	6051#0
7	渔民相助	7011#7021#7031#7041#7051	7012#7022#7032#7042#7052	7013#7023#7033#7043#7053	7051#104
8	水路疾行	8011#8021#8031#8041#8051	8012#8022#8032#8042#8052	8013#8023#8033#8043#8053	8051#0
9	妖兽动向	9011#9021#9031#9041#9051	9012#9022#9032#9042#9052	9013#9023#9033#9043#9053	9051#105
10	观澜港口	10011#10021#10031#10041#10051	10012#10022#10032#10042#10052	10013#10023#10033#10043#10053	10051#0
11	撤离平民	11011#11021#11031#11041#11051	11012#11022#11032#11042#11052	11013#11023#11033#11043#11053	11051#106
12	危机之城	12011#12021#12031#12041#12051	12012#12022#12032#12042#12052	12013#12023#12033#12043#12053	12051#0
13	上古法阵	13011#13021#13031#13041#13051	13012#13022#13032#13042#13052	13013#13023#13033#13043#13053	13051#107
14	灵石消息	14011#14021#14031#14041#14051	14012#14022#14032#14042#14052	14013#14023#14033#14043#14053	14051#0
15	混乱之城	15011#15021#15031#15041#15051	15012#15022#15032#15042#15052	15013#15023#15033#15043#15053	15051#108
