Id	LotteryType	PropertyType	DiamondBoxInterval	CostItem	FreeTimes	MaxTimes	DiamondBoxContain	TenTimesMustGetItem	PerCount	MergePool	ActivityId	HeroLimit
int	int	int	int 	mut,int#int,2	int	int	mut,int#int,2	mut,int#int,2	int	int	int	bool
1	2	3	0	20#10	0	53	13#100	74#10|92#300	10	1	0	false
2	2	3	0	20#1	0	53	13#100	74#1|92#30	1	2	0	false
3	2	1	0	20#10	0	53	11#100	74#10|92#300	10	3	0	false
4	2	1	0	20#1	0	53	11#100	74#1|92#30	1	4	0	false
5	2	2	0	20#10	0	53	12#100	74#10|92#300	10	5	0	false
6	2	2	0	20#1	0	53	12#100	74#1|92#30	1	6	0	false
7	2	4	0	20#10	0	53	14#100	74#10|92#300	10	7	0	false
8	2	4	0	20#1	0	53	14#100	74#1|92#30	1	8	0	false
11	1	0	0	19#10|16#2000	0	53	1#100	94#200	10	11	0	false
12	1	0	0	19#1|16#220	14	53	1#100	94#20	1	12	0	false
23	4	0	0	69#1000	0	53	2#100	94#20	10	0	0	false
24	4	0	0	69#100	0	53	2#100	94#2	1	0	0	false
25	5	0	0	91#10	0	53	3#100	94#10	10	0	0	false
26	5	0	0	91#1	38	53	3#100	94#1	1	0	0	false
27	6	0	0	94#1000	0	53	4#100	null	1	0	0	false
28	7	1	0	92#20	0	0	33#100	null	1	0	0	false
29	7	2	0	92#20	0	0	32#100	null	1	0	0	false
30	7	3	0	92#20	0	0	31#100	null	1	0	0	false
31	8	1	0	92#100	0	0	43#100	null	1	0	0	false
32	8	2	0	92#100	0	0	42#100	null	1	0	0	false
33	8	3	0	92#100	0	0	41#100	null	1	0	0	false
34	19	0	0	6000104#1|16#100	39	0	5001#100	14#10000	1	34	0	false
35	19	0	0	6000104#10|16#900	0	0	5001#100	14#100000	10	34	0	false
36	20	0	0	10421#1	0	0	6001#100	null	1	36	0	false
37	20	0	0	10422#1	0	0	6002#100	null	1	0	0	false
38	20	0	0	10423#1	0	0	6003#100	null	1	38	0	false
45	9	0	0	21#1|16#220	2005	2007	5001#100	61#1	1	42	0	false
46	9	0	0	21#10|16#2000	0	2007	5001#100	61#1	10	42	0	false
1000	50	0	0	0#0	0	0	1000#100	null	8	0	0	false
1110	50	0	0	0#0	0	0	1110#100	null	1	0	0	false
1120	50	0	0	0#0	0	0	1120#100	null	1	0	0	false
1130	50	0	0	0#0	0	0	1130#100	null	1	0	0	false
1210	50	0	0	0#0	0	0	1210#100	null	1	0	0	false
1220	50	0	0	0#0	0	0	1220#100	null	1	0	0	false
1230	50	0	0	0#0	0	0	1230#100	null	1	0	0	false
1310	50	0	0	0#0	0	0	1310#100	null	1	0	0	false
1320	50	0	0	0#0	0	0	1320#100	null	1	0	0	false
1330	50	0	0	0#0	0	0	1330#100	null	1	0	0	false
1410	50	0	0	0#0	0	0	1410#100	null	1	0	0	false
1420	50	0	0	0#0	0	0	1420#100	null	1	0	0	false
1430	50	0	0	0#0	0	0	1430#100	null	1	0	0	false
1510	50	0	0	0#0	0	0	1510#100	null	1	0	0	false
1520	50	0	0	0#0	0	0	1520#100	null	1	0	0	false
1530	50	0	0	0#0	0	0	1530#100	null	1	0	0	false
1540	50	0	0	0#0	0	0	1540#100	null	1	0	0	false
1610	50	0	0	0#0	0	0	1610#100	null	1	0	0	false
1620	50	0	0	0#0	0	0	1620#100	null	1	0	0	false
1630	50	0	0	0#0	0	0	1630#100	null	1	0	0	false
1001	50	0	0	0#0	0	0	1001#100	null	1	0	0	false
1002	50	0	0	0#0	0	0	1002#100	null	1	0	0	false
1003	50	0	0	0#0	0	0	1003#100	null	1	0	0	false
1004	50	0	0	0#0	0	0	1004#100	null	1	0	0	false
1005	50	0	0	0#0	0	0	1005#100	null	1	0	0	false
1006	50	0	0	0#0	0	0	1006#100	null	1	0	0	false
1007	50	0	0	0#0	0	0	1007#100	null	1	0	0	false
1008	50	0	0	0#0	0	0	1008#100	null	1	0	0	false
1009	50	0	0	0#0	0	0	1009#100	null	1	0	0	false
1010	50	0	0	0#0	0	0	1010#100	null	1	0	0	false
1011	50	0	0	0#0	0	0	1011#100	null	1	0	0	false
1012	50	0	0	0#0	0	0	1012#100	null	1	0	0	false
1013	50	0	0	0#0	0	0	1013#100	null	1	0	0	false
1014	50	0	0	0#0	0	0	1014#100	null	1	0	0	false
1015	50	0	0	0#0	0	0	1015#100	null	1	0	0	false
1016	50	0	0	0#0	0	0	1016#100	null	1	0	0	false
1017	50	0	0	0#0	0	0	1017#100	null	1	0	0	false
1018	50	0	0	0#0	0	0	1018#100	null	1	0	0	false
1019	50	0	0	0#0	0	0	1019#100	null	1	0	0	false
1020	50	0	0	0#0	0	0	1020#100	null	1	0	0	false
1021	50	0	0	0#0	0	0	1021#100	null	1	0	0	false
1022	50	0	0	0#0	0	0	1022#100	null	1	0	0	false
1023	50	0	0	0#0	0	0	1023#100	null	1	0	0	false
1024	50	0	0	0#0	0	0	1024#100	null	1	0	0	false
1025	50	0	0	0#0	0	0	1025#100	null	1	0	0	false
1026	50	0	0	0#0	0	0	1026#100	null	1	0	0	false
1027	50	0	0	0#0	0	0	1027#100	null	1	0	0	false
1028	50	0	0	0#0	0	0	1028#100	null	1	0	0	false
1029	50	0	0	0#0	0	0	1029#100	null	1	0	0	false
1030	50	0	0	0#0	0	0	1030#100	null	1	0	0	false
2000	3	0	0	50007#1|16#220	32	55	20101#100	null	1	2000	20101	false
2001	3	0	0	50007#10|16#2000	0	55	20101#100	null	10	2000	20101	false
13	3	0	0	50007#1|16#220	32	55	20001#100	null	1	13	20001	false
14	3	0	0	50007#10|16#2000	0	55	20001#100	null	10	13	20001	false
2030	3	0	0	87#1|16#300	32	55	21001#100	null	1	2030	21001	false
2031	3	0	0	87#10|16#3000	0	55	21001#100	null	10	2030	21001	false
2050	3	0	0	87#1|16#220	32	55	22001#100	null	1	2050	22001	false
2051	3	0	0	87#10|16#2000	0	55	22001#100	null	10	2050	22001	false
3010	3	0	0	87#1|16#300	32	55	30001#100	null	1	3010	30001	false
3011	3	0	0	87#10|16#3000	0	55	30001#100	null	10	3010	30001	false
3020	3	0	0	50007#1|16#220	32	55	31001#100	null	1	3020	31001	false
3021	3	0	0	50007#10|16#2000	0	55	31001#100	null	10	3020	31001	false
3030	3	0	0	87#1|16#300	32	55	32001#100	null	1	3030	32001	false
3031	3	0	0	87#10|16#3000	0	55	32001#100	null	10	3030	32001	false
3040	3	0	0	50007#1|16#220	32	55	33001#100	null	1	3040	33001	false
3041	3	0	0	50007#10|16#2000	0	55	33001#100	null	10	3040	33001	false
3050	3	0	0	87#1|16#300	32	55	34001#100	null	1	3050	34001	false
3051	3	0	0	87#10|16#3000	0	55	34001#100	null	10	3050	34001	false
3060	3	0	0	50007#1|16#220	32	55	35001#100	null	1	3060	35001	false
3061	3	0	0	50007#10|16#2000	0	55	35001#100	null	10	3060	35001	false
3070	3	0	0	87#1|16#300	32	55	36001#100	null	1	3070	36001	false
3071	3	0	0	87#10|16#3000	0	55	36001#100	null	10	3070	36001	false
3080	3	0	0	50007#1|16#220	32	55	37001#100	null	1	3080	37001	false
3081	3	0	0	50007#10|16#2000	0	55	37001#100	null	10	3080	37001	false
15	3	0	0	1002#1|16#220	99	54	20002#100	1003#1	1	15	20002	true
16	3	0	0	1002#10|16#2000	0	54	20002#100	1003#10	10	15	20002	true
2040	3	0	0	1002#1|16#220	99	54	21002#100	1003#1	1	2040	21002	true
2041	3	0	0	1002#10|16#2000	0	54	21002#100	1003#10	10	2040	21002	true
2060	3	0	0	1002#1|16#220	99	54	22002#100	1003#1	1	2060	22002	true
2061	3	0	0	1002#10|16#2000	0	54	22002#100	1003#10	10	2060	22002	true
3012	3	0	0	1002#1|16#220	99	54	30002#100	1003#1	1	3012	30002	true
3013	3	0	0	1002#10|16#2000	0	54	30002#100	1003#10	10	3012	30002	true
3022	3	0	0	1002#1|16#220	99	54	31002#100	1003#1	1	3022	31002	true
3023	3	0	0	1002#10|16#2000	0	54	31002#100	1003#10	10	3022	31002	true
3032	3	0	0	1002#1|16#220	99	54	32002#100	1003#1	1	3032	32002	true
3033	3	0	0	1002#10|16#2000	0	54	32002#100	1003#10	10	3032	32002	true
3042	3	0	0	1002#1|16#220	99	54	33002#100	1003#1	1	3042	33002	true
3043	3	0	0	1002#10|16#2000	0	54	33002#100	1003#10	10	3042	33002	true
3052	3	0	0	1002#1|16#220	99	54	34002#100	1003#1	1	3052	34002	true
3053	3	0	0	1002#10|16#2000	0	54	34002#100	1003#10	10	3052	34002	true
3062	3	0	0	1002#1|16#220	99	54	35002#100	1003#1	1	3062	35002	true
3063	3	0	0	1002#10|16#2000	0	54	35002#100	1003#10	10	3062	35002	true
3072	3	0	0	1002#1|16#220	99	54	36002#100	1003#1	1	3072	36002	true
3073	3	0	0	1002#10|16#2000	0	54	36002#100	1003#10	10	3072	36002	true
3082	3	0	0	1002#1|16#220	99	54	37002#100	1003#1	1	3082	37002	true
3083	3	0	0	1002#10|16#2000	0	54	37002#100	1003#10	10	3082	37002	true
5011	21	0	0	16#200	0	80001	50000#100	null	1	0	50004	false
5012	21	0	0	6000115#10	0	0	50000#100	null	1	0	50004	false
5013	21	0	0	6000115#50	0	0	50000#100	null	5	0	50004	false
5021	21	0	0	16#200	0	80001	50001#100	null	1	0	50004	false
5022	21	0	0	6000115#10	0	0	50001#100	null	1	0	50004	false
5023	21	0	0	6000115#50	0	0	50001#100	null	5	0	50004	false
5031	21	0	0	16#200	0	80001	50002#100	null	1	0	50004	false
5032	21	0	0	6000115#10	0	0	50002#100	null	1	0	50004	false
5033	21	0	0	6000115#50	0	0	50002#100	null	5	0	50004	false
5041	21	0	0	16#200	0	80001	50003#100	null	1	0	50004	false
5042	21	0	0	6000115#10	0	0	50003#100	null	1	0	50004	false
5043	21	0	0	6000115#50	0	0	50003#100	null	5	0	50004	false
5111	21	0	0	16#200	0	80001	50010#100	null	1	0	50104	false
5112	21	0	0	6000115#10	0	0	50010#100	null	1	0	50104	false
5113	21	0	0	6000115#50	0	0	50010#100	null	5	0	50104	false
5121	21	0	0	16#200	0	80001	50011#100	null	1	0	50104	false
5122	21	0	0	6000115#10	0	0	50011#100	null	1	0	50104	false
5123	21	0	0	6000115#50	0	0	50011#100	null	5	0	50104	false
5131	21	0	0	16#200	0	80001	50012#100	null	1	0	50104	false
5132	21	0	0	6000115#10	0	0	50012#100	null	1	0	50104	false
5133	21	0	0	6000115#50	0	0	50012#100	null	5	0	50104	false
5141	21	0	0	16#200	0	80001	50013#100	null	1	0	50104	false
5142	21	0	0	6000115#10	0	0	50013#100	null	1	0	50104	false
5143	21	0	0	6000115#50	0	0	50013#100	null	5	0	50104	false
5211	21	0	0	16#200	0	80001	50020#100	null	1	0	50204	false
5212	21	0	0	6000115#10	0	0	50020#100	null	1	0	50204	false
5213	21	0	0	6000115#50	0	0	50020#100	null	5	0	50204	false
5221	21	0	0	16#200	0	80001	50021#100	null	1	0	50204	false
5222	21	0	0	6000115#10	0	0	50021#100	null	1	0	50204	false
5223	21	0	0	6000115#50	0	0	50021#100	null	5	0	50204	false
5231	21	0	0	16#200	0	80001	50022#100	null	1	0	50204	false
5232	21	0	0	6000115#10	0	0	50022#100	null	1	0	50204	false
5233	21	0	0	6000115#50	0	0	50022#100	null	5	0	50204	false
5241	21	0	0	16#200	0	80001	50023#100	null	1	0	50204	false
5242	21	0	0	6000115#10	0	0	50023#100	null	1	0	50204	false
5243	21	0	0	6000115#50	0	0	50023#100	null	5	0	50204	false
5311	21	0	0	16#200	0	80001	50010#100	null	1	0	50304	false
5312	21	0	0	6000115#10	0	0	50010#100	null	1	0	50304	false
5313	21	0	0	6000115#50	0	0	50010#100	null	5	0	50304	false
5321	21	0	0	16#200	0	80001	50011#100	null	1	0	50304	false
5322	21	0	0	6000115#10	0	0	50011#100	null	1	0	50304	false
5323	21	0	0	6000115#50	0	0	50011#100	null	5	0	50304	false
5331	21	0	0	16#200	0	80001	50012#100	null	1	0	50304	false
5332	21	0	0	6000115#10	0	0	50012#100	null	1	0	50304	false
5333	21	0	0	6000115#50	0	0	50012#100	null	5	0	50304	false
5341	21	0	0	16#200	0	80001	50013#100	null	1	0	50304	false
5342	21	0	0	6000115#10	0	0	50013#100	null	1	0	50304	false
5343	21	0	0	6000115#50	0	0	50013#100	null	5	0	50304	false
5411	21	0	0	16#200	0	80001	50000#100	null	1	0	51004	false
5412	21	0	0	6000115#10	0	0	50000#100	null	1	0	51004	false
5413	21	0	0	6000115#50	0	0	50000#100	null	5	0	51004	false
5421	21	0	0	16#200	0	80001	50001#100	null	1	0	51004	false
5422	21	0	0	6000115#10	0	0	50001#100	null	1	0	51004	false
