Id	DifferentType	Type	Count	Min_num	IsNeedShow	pool_id
int	int	int	int	int	int	int
1	99	12	1	1	0	20
2	98	12	2	1	0	21
301	29	11	1	1	0	241
302	28	11	2	1	0	241
303	27	11	3	1	0	241
304	26	11	4	1	0	241
305	25	11	5	1	0	242
306	24	11	6	1	0	241
307	23	11	7	1	0	241
308	22	11	8	1	0	241
309	21	11	9	1	0	242
3	97	11	10	1	0	24
4	96	11	20	1	0	25
400	40	11	50	1	0	250
401	39	11	150	1	0	251
5	95	12	10	1	0	24
6	7	11	10	0	0	26
7	8	12	30	0	0	26
60	6	11	9	0	0	28
8	94	26	1	1	0	27
9	93	1	5	0	0	203
10	92	2	5	0	0	203
11	91	3	5	0	0	201
12	90	4	5	0	0	201
13	89	5	5	0	0	202
14	88	6	5	0	0	202
15	87	7	5	0	0	204
16	86	8	5	0	0	204
21	85	34	15	0	1	5002
22	84	38	10	0	1	6004
23	83	36	1	1	0	6005
2000	145	2000	50	0	1	2000
2001	144	2000	10	0	0	19999
2010	101	13	50	0	1	2001
2011	100	13	10	0	0	19999
2030	105	2030	70	0	1	2003
2031	104	2030	10	0	0	20000
2050	109	2050	60	0	1	2005
2051	108	2050	10	0	0	20000
3010	113	3010	70	0	1	3001
3011	112	3010	10	0	0	20000
3020	117	3020	50	0	1	3003
3021	116	3020	10	0	0	19999
3030	121	3030	70	0	1	3005
3031	120	3030	10	0	0	20000
3040	125	3040	50	0	1	3007
3041	124	3040	10	0	0	19999
3050	129	3050	70	0	1	3009
3051	128	3050	10	0	0	20000
3060	133	3060	50	0	1	3011
3061	132	3060	10	0	0	19999
3070	137	3070	70	0	1	3013
3071	136	3070	10	0	0	20000
3080	141	3080	50	0	1	3015
3081	140	3080	10	0	0	19999
2020	103	15	100	0	1	2002
2021	102	15	30	0	0	30000
2040	107	2040	100	0	1	2004
2041	106	2040	30	0	0	30000
2060	111	2060	100	0	1	2006
2061	110	2060	30	0	0	30000
3012	115	3012	100	0	1	3002
3013	114	3012	30	0	0	30000
3022	119	3022	100	0	1	3004
3023	118	3022	30	0	0	30000
3032	123	3032	100	0	1	3006
3033	122	3032	30	0	0	30000
3042	127	3042	100	0	1	3008
3043	126	3042	30	0	0	30000
3052	131	3052	100	0	1	3010
3053	130	3052	30	0	0	30000
3062	135	3062	100	0	1	3012
3063	134	3062	30	0	0	30000
3072	139	3072	100	0	1	3014
3073	138	3072	30	0	0	30000
3082	143	3082	100	0	1	3016
3083	142	3082	30	0	0	30000
