Id	Type	Day	reward
int	int	int	mut,int#int,2
1	78	1	19#20
2	78	2	16#300
3	78	3	99005#1
4	78	4	16#300
5	78	5	19#10
6	78	6	16#300
7	78	7	16#300
8	78	8	16#300
9	78	9	16#300
10	78	10	60425#1
11	78	11	16#300
12	78	12	16#300
13	78	13	16#300
14	78	14	16#300
15	78	15	81148#50
16	78	16	16#300
17	78	17	16#300
18	78	18	16#300
19	78	19	16#300
20	78	20	6001020#50
21	78	21	16#300
22	78	22	16#300
23	78	23	16#300
24	78	24	16#300
25	78	25	19#10
26	78	26	16#300
27	78	27	16#300
28	78	28	16#300
29	78	29	16#300
30	78	30	81148#50
31	79	1	19#30
32	79	2	16#800
33	79	3	60417#1
34	79	4	16#800
35	79	5	20#10
36	79	6	16#800
37	79	7	16#800
38	79	8	6000110#5000
39	79	9	16#800
40	79	10	60407#1
41	79	11	16#800
42	79	12	16#800
43	79	13	6000110#5000
44	79	14	16#800
45	79	15	60428#1
46	79	16	16#800
47	79	17	16#800
48	79	18	6000110#5000
49	79	19	16#800
50	79	20	20#10
51	79	21	16#800
52	79	22	16#800
53	79	23	6000110#5000
54	79	24	16#800
55	79	25	81148#100
56	79	26	16#800
57	79	27	16#800
58	79	28	6000110#5000
59	79	29	16#800
60	79	30	20#10
61	7801	1	19#20
62	7801	2	16#300
63	7801	3	99005#1
64	7801	4	16#300
65	7801	5	19#10
66	7801	6	16#300
67	7801	7	16#300
68	7801	8	16#300
69	7801	9	16#300
70	7801	10	60425#1
71	7801	11	16#300
72	7801	12	16#300
73	7801	13	16#300
74	7801	14	16#300
75	7801	15	81148#50
76	7801	16	16#300
77	7801	17	16#300
78	7801	18	16#300
79	7801	19	16#300
80	7801	20	6001020#50
81	7801	21	16#300
82	7801	22	16#300
83	7801	23	16#300
84	7801	24	16#300
85	7801	25	19#10
86	7801	26	16#300
87	7801	27	16#300
88	7801	28	16#300
89	7801	29	16#300
90	7801	30	81148#50
91	7901	1	19#30
92	7901	2	16#800
93	7901	3	60417#1
94	7901	4	16#800
95	7901	5	20#10
96	7901	6	16#800
97	7901	7	16#800
98	7901	8	6000110#5000
99	7901	9	16#800
100	7901	10	60407#1
101	7901	11	16#800
102	7901	12	16#800
103	7901	13	6000110#5000
104	7901	14	16#800
105	7901	15	60428#1
106	7901	16	16#800
107	7901	17	16#800
108	7901	18	6000110#5000
109	7901	19	16#800
110	7901	20	20#10
111	7901	21	16#800
112	7901	22	16#800
113	7901	23	6000110#5000
114	7901	24	16#800
115	7901	25	81148#100
116	7901	26	16#800
117	7901	27	16#800
118	7901	28	6000110#5000
119	7901	29	16#800
120	7901	30	20#10
121	7802	1	19#20
122	7802	2	16#300
123	7802	3	99005#1
124	7802	4	16#300
125	7802	5	19#10
126	7802	6	16#300
127	7802	7	16#300
128	7802	8	16#300
129	7802	9	16#300
130	7802	10	60425#1
131	7802	11	16#300
132	7802	12	16#300
133	7802	13	16#300
134	7802	14	16#300
135	7802	15	81148#50
136	7802	16	16#300
137	7802	17	16#300
138	7802	18	16#300
139	7802	19	16#300
140	7802	20	6001020#50
141	7802	21	16#300
142	7802	22	16#300
143	7802	23	16#300
144	7802	24	16#300
145	7802	25	19#10
146	7802	26	16#300
147	7802	27	16#300
148	7802	28	16#300
149	7802	29	16#300
150	7802	30	81148#50
151	7902	1	19#30
152	7902	2	16#800
153	7902	3	60417#1
154	7902	4	16#800
155	7902	5	20#10
156	7902	6	16#800
157	7902	7	16#800
158	7902	8	6000110#5000
159	7902	9	16#800
160	7902	10	60407#1
161	7902	11	16#800
162	7902	12	16#800
163	7902	13	6000110#5000
164	7902	14	16#800
165	7902	15	60428#1
166	7902	16	16#800
167	7902	17	16#800
168	7902	18	6000110#5000
169	7902	19	16#800
170	7902	20	20#10
171	7902	21	16#800
172	7902	22	16#800
173	7902	23	6000110#5000
174	7902	24	16#800
175	7902	25	81148#100
176	7902	26	16#800
177	7902	27	16#800
178	7902	28	6000110#5000
179	7902	29	16#800
180	7902	30	20#10
