Id	PlayerPos	Block1	Block2	Block3	Block4	Block5
int	mut,float#float,1	mut,float#float,1	mut,float#float,1	mut,float#float,1	mut,float#float,1	mut,float#float,1
1	1001#999999	201#500	101#200	51#100	21#50	1#20
2	501#1000	101#200	51#100	31#50	21#30	1#20
3	201#500	51#100	31#50	21#30	11#20	1#10
4	101#200	31#50	21#30	11#20	5#10	1#4
5	11#100	7#10	4#6	2#3	1#1	-1#-20
6	5#10	4#4	3#3	2#2	1#1	-5#-10
7	3#4	2#2	1#1	-1#-4	-5#-7	-8#-15
8	2#2	1#1	-1#-1	-2#-4	-5#-7	-8#-15
9	1#1	-1#-1	-2#-2	-3#-3	-4#-4	-5#-10
